author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"赵良毕,洪烨","钒钛股份:国内钒钛战略资源综合利用龙头，储能打造第二增长曲线。公司探索出独具特色的多金属共生的钒钛磁铁矿资源综合利用道路，分产品看，2025年上半年公司产品以钒与钛白粉为主导，营业收入占比分别约45.4%与34.8%。公司2022年起持续优化产品结构，综合考虑品种效益情况后缩减钒氮规模，外购原料保持钒铁、钒铝等合金体量，深化钒在钢铁领域的应用推广，进一步扩大钒在储能领域的应用占比，拓宽氯化钛白的市场渠道，及时调整出口区域，重点关注东南亚、中东、日韩等地区，降低欧盟反倾销的不利影响。钒电池发展潜力巨大，钛性能优异引领新材料。中国是全球最大的钒产品生产国与消费国，2024年以五氧化二钒当量计产能与产量约占全球的70%，消费量接近全球的60%。钒电池具备本征安全、环境友好、响应快速、运行寿命长、100%深度放电、易规模化、容量可恢复、功率与容量解耦、耗材回收率高、无明显析氢析氧副反应等优势，发展潜力巨大。钛合金的比强度冠绝常用工业合金，国内钛矿采选主要集中于四川省攀枝花市与西昌市，2025)年钛材价格结构性分化，反倾销阴霾渐散钛白粉出口有望复苏。公司钒钛全产业链布局，钒电深度绑定龙头客户。公司拥有以五氧化二钒、高钒铁、钒氮合金、钒铝合金、钒电解液等为代表的钒系列产品，以钛白粉、钛渣等为代表的钛系列产品，目前具备年经营钛精矿185万吨与以五氧化二钒当量计年产钒制品4.42万吨、钛白粉30万吨、钛渣24万吨的综合生产能力。2026年1月公司连续第四年与大连融科签订钒储能原料合作框架协议，以五氧化二钒当量计预计为其供应多钒酸铵2万吨，同时双方合资建有一条2,000立方米/年的钒电解液产线，大连融科已建成全球规模最大的钒电解液生产基地，钒电池产品的全球市占率约60%，公司与龙头客户深度绑定。投资建议:我们预计公司2025-2027年营业收入分别为88.76/106.6/124.26亿、归母净利润分别为-0.92/4.47/13.54亿，对应EPS分别为-0.01/0.05/0.15元。考虑公司竞争优势，首次覆盖，给予钒钛股份“谨慎推荐”评级。风险提示:国内宏观经济波动的风险;下游钢铁、房地产等领域需求持续低迷的风险;全球贸易政策反复的风险;钒电池推广不及预期的风险等。",,银河证券,谨慎推荐,[None],2026-02-13,,增持,8449502,pdf_downloads/2026/2026-02-13/000629-钒钛股份（000629）：公司深度报告：钒钛全产业链布局，储能打造第二增长曲线.pdf,000629,钒钛股份,钒钛股份（000629）：公司深度报告：钒钛全产业链布局，储能打造第二增长曲线
"邱祖学,孙二春",钒钛股份(000629)事件：公司发布2024年年报：2024年公司实现营收132.09亿元，同比-8.15%（调整后，下同）；实现归母净利润2.85亿元，同比-73.03%；扣非后归母净利润2.53亿元，同比-75.87%。分季度看，2024Q4实现营业收入27.35亿元，同比-15.16%、环比-17.52%；实现归母净利1.02亿元，同比-45.91%、环比+122.04%；扣非后归母净利润0.88亿元，同比-52.10%、环比+143.77%点评：钒产品价格下跌拖累业绩（1）量：2024年钒产品销量增长6.74%，钛白粉和钛渣销量分别增长1.10%和下降24.18%。公司2024年钒产品销量为5.36万吨，同比增长6.74%；公司钛白粉销量为25.80万吨，同比增长1.10%。钛渣销量为14.61万吨，同比下降24.18%。（2）价：公司毛利率下降6.81pct，至7.59%。2024年五氧化二钒市场价格同比-26%，钛白粉和钛渣市场价格价格同比分别+2%和+17%。钒产品方面，由于产品价格下降，2024年公司钒产品毛利率下降17.05pct，至10.40%；钛产品方面，由于钛白粉毛利率下滑，钛产品毛利率下降1.53pct，至6.36%；公司整体毛利率下降6.81pct，至7.59%未来核心看点（1）公司是世界主要的钒制品供应商。公司拥有以五氧化二钒、高钒铁、钒氮合金、钒铝合金、钒电解液等为代表的钒系列产品，以钛白粉、钛渣等为代表的钛系列产品，具备年经营钛精矿175万吨和年产钒制品（以V2O5计）4.42万吨、钛白粉30万吨、钛渣24万吨的综合生产能力，是世界主要的钒制品供应商，中国主要的钛原料供应商，中国重要的钛渣生产企业，中国重要的硫酸法、氯化法钛白粉生产企业。（2）钒电池相关业务发展前景广阔，有望成为公司未来重要的业绩增长点。2025年2月，公司全资子公司攀钢集团成都钒钛资源发展有限公司与大连融科在四川省成都市签订了《2025年钒储能原料合作年度框架协议》，2025年公司向大连融科供应多钒酸铵20000吨（折五氧化二钒），比2024年实际销量增长35%（24年向大连融科销售14822吨），2022-2024年，公司与大连融科在电解液销售、钒电池用钒储能介质委托加工和钒储能介质购销交易金额合计约为24.73亿元（不含税）。随着钒电池业务逐步开拓，钒电池相关业务未来有望成为公司未来重要的业绩增长点。（3）5万吨熔盐氯化法钛白粉项目投产。截至2024年底，攀钢6万吨熔盐氯化法钛白项目已经在2024年投产，公司氯化法钛白粉产能达到7.5万吨/年，市场影响力进一步增强。投资建议：公司钒产品产能全球前列，随着钒行业景气度回升以及钒电池应用市场逐步扩大，公司业绩释放可期。我们预计公司2025-2027年归母净利润依次为5.92/7.83/9.32亿元，对应PE依次为40/30/26倍，首次覆盖，给予公司“推荐”评级。风险提示：下游需求不及预期；钒电池发展不及预期；项目进展不及预期。,,民生证券,推荐,[None],2025-04-08,,增持,6001418,pdf_downloads/2025/2025-04-08/000629-钒钛股份（000629）：2024年年报点评：钒产品价格下跌拖累业绩，期待行业反转.pdf,000629,钒钛股份,钒钛股份（000629）：2024年年报点评：钒产品价格下跌拖累业绩，期待行业反转
李斌,钒钛股份发布年报，2024年实现营收132.09亿元（yoy-8.15%），归母净利2.85亿元（yoy-73.03%），扣非净利2.53亿元（yoy-75.87%），低于我们先前的预期（4.42亿元），主因钒行业景气度下行导致公司钒产品价格承压。其中Q4实现营收27.35亿元（yoy-15.16%，qoq-17.52%），归母净利1.02亿元（yoy-45.91%，qoq+122.03%）。考虑到2025年公司钒产品有望量价齐升，业绩或有所修复，维持公司“持有”评级。钒产品价格下跌拖累2024年业绩2024年公司毛利同比下降51.62%、归母净利同比下降73.03%，主因钢铁领域需求偏弱，钒产品价格下降。据中国铁合金在线，2024年钒产品平均价格同比下滑24.51%。量方面，公司累计完成钒制品（V2O5）5.34万吨，同比增长7.27%；钛白粉25.29万吨（其中氯化钛白粉2.69万吨），同比增长0.76%；钛渣18.18万吨，同比下降5.99%。2025年钒产品有望量价齐升我们认为2025年钒行业景气度有望回暖，钒产品价格或反弹：1）国家将普通热轧螺纹钢筋标准 GB1499.2 在 2024年9月25日由推荐性标准转变为强制性标准，有望对钒氮需求量形成支撑。2）2025 年 2 月 9 日国家发展改革委、国家能源局发布《关于深化新能源上网电价市场化改革促进新能源高质量发展的通知》，明确要求不得将配置储能作为新建新能源项目核准、并网、上网等的前置条件，预计将对长寿命、安全性更高、全寿命周期成本更具竞争优势的全钒液流储能技术在独立储能和用户侧储能领域的发展带来重大机遇。此外，公司继2023年、2024年与战略合作伙伴大连融科顺利完成合作计划后，2025年与大连融科再次签订年度储能用钒原料供应框架协议，供应量上升至20000吨，同比增长35%，该订单有望带动公司钒产品产销量同比提升。盈利预测与估值考虑到2024年钒行业景气度下行，钒产品价格基数较低，我们下调2025- 2026年钒产品价格假设，预计公司2025-2027年EPS分别为0.05、0.06、0.06元（前值2025-2026年0.07、0.08元）、BPS分别为1.39、1.45、1.51元（前值2025-2026年1.42、1.50元）。可比公司25年Wind一致预期PB均值为2.25倍，给予公司25年2.25XPB，目标价3.12元（前值2.43元，基于24年PB估值1.80X），维持“持有”评级。风险提示：下游需求不及预期，原材料价格大幅波动，钢铁行业政策变化。,,华泰证券,持有,[None],2025-03-31,,中性,5969589,pdf_downloads/2025/2025-03-31/000629-钒钛股份（000629）：2025年钒产品有望量价齐升.pdf,000629,钒钛股份,钒钛股份（000629）：2025年钒产品有望量价齐升
"李斌,马晓晨",23年归母净利润同比-21.32%，维持“持有”评级公司23年实现营收143.8亿元（yoy-4.69%），归母净利润10.58亿元（yoy-21.32%），其中23Q4归母净利润1.89亿元（yoy+61.38%，qoq-29.15%）。考虑国内地产景气承压，钒、钛产品价格仍有一定压力，我们预计24-26年公司EPS为0.11/0.12/0.13元（前值0.19/0.21/-元）。可比公司PE（2024E）均值为16.1倍，考虑公司切入钒电池领域，增长前景广阔，给予公司24年25.8倍PE估值，对应目标价2.84元（前值3.99元），维持“持有”评级。2023年钒供大于求，钒价同比回落，公司钒产品毛利率同比-4.63pct据公司年报，2023年公司钒产品（以V2O5计，下同）产量4.98万吨（yoy+6.2%），不含税均价10.5万元/吨（yoy-15.2%），毛利率27.45%（yoy-4.63pct）。行业方面，2023年钒产品供需格局恶化，其中供给端国内钒产量约16.2万吨，同比增14.1%；而需求端占钒消耗约70%的螺纹钢产量同比减少，非钢领域钒铝合金及钒精细化工需求基本持平，行业总体呈现供大于求，钒价同比回落，毛利率有所承压。钛白粉出口需求支撑，公司钛产品毛利率同比+1.61pct钛产品方面，2023年公司钛白粉、钛渣产量分别25.1、19.34万吨（yoy+3.1%、+3.3%），钛白粉不含税均价1.4万元/吨（yoy-8.8%），钛产品综合毛利率7.89%（yoy+1.61pct），其中钛白粉毛利率10.55%（yoy+2.95pct），钛渣毛利率0.84（yoy-2.44pct）。行业方面，据公司年报，供给端2023年国内钛白粉产量约416万吨，同比增6.3%，而需求端国内地产行业景气承压，国内钛白粉需求明显下降，而国外需求增加带动钛白粉出口表现较好，2023年钛白粉出口数量同比增16.75%，对需求有所支撑。持续推动钒储能产业化进程，2024年储能用钒协议量翻倍公司根据市场为导向优化产品结构，据公司年报，1000吨高纯氧化钒产线及2000立方米电解液产线均实现达产达效，钒储能用钒产销量超过8800吨五氧化二钒当量，占比约18%，同时2024年加大钒储能领域投放量，与大连融科签订年度供应16000吨钒原料的战略协议。公司已具备钒制品4.42万吨产能，且产品品种齐全，钢铁用钒领域销量国内领先，非钢领域产品进入规模化生产阶段，持续推动钒储能产业化进程，有望对钒产品需求形成支撑。风险提示：下游需求不及预期，扩产进度不及预期，原材料价格波动。,,华泰证券,持有,[None],2024-03-26,,中性,5557497,pdf_downloads/2024/2024-03-26/000629-钒钛股份（000629）：钒储能持续推进，储能用钒高速增长.pdf,000629,钒钛股份,钒钛股份（000629）：钒储能持续推进，储能用钒高速增长
"田源,田庆争","事项：公司发布23年半年报，报告期内实现营收76.27亿元，同减7.53%；归母净利润6.03亿元，同减43.81%。其中Q2季度实现营收36.78亿元，同减10.58%，环减6.89%；归母净利润2.74亿元，同减53.56%，环减16.72%，业绩低于市场预期。产量稳步增长，钒钛价格下跌拖累公司业绩：报告期内公司钒制品（以V2O5 计）产量2.42 万吨，同增3.23%；钛白粉产量 13.17 万吨（其中含氯化钛白粉 7,190 吨），同增 1.03%；钛渣产量 10.64 万吨，同比降低7.39%。但同期五氧化二钒价格下跌6.07%、钛白粉价格下跌21.41%，使得整体毛利率下滑5.22pct，产品价格下滑是公司业绩下滑主因。其中Q2季度五氧化二钒价格环比下跌18.31%、钛白粉价格环比上涨3.95%，而Q2季度公司净利润环减16.72%，钒价继续下跌拖累Q2业绩。储能装机提速以及液流占比的提升，钒需求有望持续增长。上半年内新增 2 家规模提钒企业以及一家规模提钒企业全量生产，产量持续增加，下游需求方面，主要应用领域钢铁行业减产以及螺纹钢亏损，用钒需求整体呈减少趋势。展望下半年供给端已无新增产能且随着地产调控持续推进钢铁用钒需求有望企稳。在储能领域，根据CNESA统计，2023上半年储能新增投运规模8.0GW/16.7GWh，超过去年新增规模水平（7.3GW/15.9GWh）。CNESA预计2023年全年新增装机15-20GW，下半年或持续增长。从7月数据来看，液流电池在新型储能中占比已达5%，随着储能装机提速以及液流占比的提升，钒需求有望持续增长。投资建议：由于上半年钒价超预期下跌，我们预计公司23-25年实现归母净利润13.27/18.08/23.73 亿元，EPS 0.14/0.19/0.26 元/股，对应 PE 为 27/20/15倍，考虑下半年无新增供给且储能装机提速以及液流占比的提升，钒价有望触底回升，公司作为全球钒龙头，或将充分受益钒价上涨，继续给予“增持”评级。风险提示：钒电池储能需求不及预期；公司项目建设和投产进度不及预期；钛价格向下波动较大等。",,财通证券,增持,[None],2023-08-24,,增持,5297237,pdf_downloads/2023/2023-08-24/000629-钒钛股份（000629）：钢铁减产拖累钒价，储能装机提速钒价有望回升.pdf,000629,钒钛股份,钒钛股份（000629）：钢铁减产拖累钒价，储能装机提速钒价有望回升
"邓轲,王勇杰",,,中航证券,买入,[None],2023-08-22,,买入,5297424,pdf_downloads/2023/2023-08-22/000629-钒钛股份（000629）2023年中报点评：业绩承压，液流电池值得期待.pdf,000629,钒钛股份,钒钛股份（000629）2023年中报点评：业绩承压，液流电池值得期待
"李斌,马晓晨",23H1归母净利润同比-43.8%，下调至“持有”评级公司23H1实现营收76.27亿元（yoy-7.53%），归母净利6.03亿元（yoy-43.8%）；23Q2归母净利为2.74亿元（yoy-54.6 %、qoq-16.9%）。考虑地产、钢铁行业景气较低，我们下调钒、钛产品价格假设，预计23-25年公司EPS为0.15/0.19/0.21元（前值0.21/0.25/0.28元）。钒、钛业务可比公司PE（2023E）均值分别为16.27/14.74倍，考虑公司切入钒电池领域，增长前景广阔，给予公司23年26.6倍PE估值，对应目标价3.99元（前值5.25元），下调至“持有”评级。钒、钛价格同比回落，钒、钛产品毛利率分别同比-4.59pct、-6.24pct据公司半年报，2023H1公司钒产品（以V2O5计，下同）产量2.424万吨（yoy+3.23%），不含税均价11.7万元/吨（yoy-14.2%），毛利率31.81%（yoy-4.59pct）。钛产品方面，2023H1公司钛白粉、钛渣产量分别13.17、10.64万吨（yoy+1.0%、-7.4%），钛白粉不含税均价1.3万元/吨（yoy-17.5%），钛产品综合毛利率5.20%（yoy-6.24pct）。受地产行业调整影响，钒、钛产品价格承压运行钒主要用于钢铁行业，受钢铁行业景气低迷影响，钢铁领域用钒需求减少，据安泰科，23H1五氧化二钒含税均价12.36万元/吨（yoy-6%），而非钢领域，钒液流电池储能迎来示范项目向商业化发展机遇期，未来或可形成一定需求补充。钛白粉作为白色颜料，主要用于涂料、塑料、造纸等领域，受地产行业运行承压影响，23H1钛白粉含税均价1.55万元/吨（yoy-21.4%）。拟收购阳润科技51%股权，钒产品产能规模有望进一步扩张据公司公告，公司拟以自有资金5482.51万元，收购攀枝花市阳润科技51%股权，阳润科技主要产品为片状V2O5，设计产能4200吨/年，于2021年6月打通工艺流程开始正式生产，2021、2022年分别实现产量2456.5、3484.89吨，实现净利润分别1547.06、2647.38万元。本次收购后，公司钒产品产能进一步扩张，设计产能将达到4.42万吨/年。持续推动钒在储能领域的应用发展据公司公告，公司与大连融科储能集团在攀枝花共同投资成立钒融科技，建设2000立方米/年钒电解液产线，至2023年5月25日，该产线已完成设备安装和热负荷试车调试，正式开展试生产有关工作。公司在钒储能领域的供应能力进一步提升，也为后续与大连融科共同投资建设6万立方米/年钒电解液产线提供支撑。风险提示：下游需求不及预期，扩产进度不及预期，原材料价格波动。,,华泰证券,持有,[None],2023-08-22,下调评级,中性,5293733,pdf_downloads/2023/2023-08-22/000629-钒钛股份（000629）：钒、钛价格承压，业绩同比回落.pdf,000629,钒钛股份,钒钛股份（000629）：钒、钛价格承压，业绩同比回落
"邱祖学,张航,张建业,孙二春",钒钛股份(000629)事件概述：3月28日，公司发布2022年年报：公司2022年实现营业收入150.88亿元，同比+7.31%（调整后，下同）；实现归母净利13.44亿元，同比+1.24%；扣非后归母净利12.97亿元，同比+29.58%。分季度看，2022Q4实现营业收入37.00亿元，同比+17.40%、环比+17.88%；实现归母净利1.17亿元，同比-45.65%、环比-24.20%；扣非后归母净利润1.10亿元，同比-50.92%、环比-27.31%。点评：钒产品量价齐升，钛产品有所承压①量：2022年钒产品销量增长15.27%，钛白粉和钛渣销量分别下降3.10%和16.33%。公司2022年钒产品销量为4.91万吨（含西昌钒制品），同比增长15.27%；钛白粉销量为23.97万吨，同比下降3.10%；钛渣销量为17.87万吨，同比下降16.33%。②价：公司毛利率下降3.62pct，至16.30%。2022年五氧化二钒市场价格同比+7.6%，钛白粉和酸钛渣市场价格同比分别-13.1%和-4.21%。钒产品方面，受益于产品价格上涨，2022年公司钒产品毛利率提升至32.08%；钛产品方面，由于钛产品价格小幅下降而单位成本上涨，钛白粉与钛渣毛利率分别下降至7.60%和3.28%，公司整体毛利率水平下降3.62pct，至16.30%。未来核心看点①成功收购西昌钒制品+与四川德胜集团签订战略协议，公司钒制品龙头地位将更加稳固。公司2021年成功完成收购西昌钒制品（1.8万吨钒制品产能），现有钒制品产能达到4.3万吨（以V2O5计），产能规模全球前列。另外，公司与四川德胜签订合作框架协议，双方计划设立合资公司投资建设产能2万吨的V2O5的钒渣加工生产线，公司未来权益钒制品产能有望达到5.7万吨，届时龙头地位将更加稳固。②钒电池发展前景广阔，有望成为公司未来重要的业绩增长点。2022年12月，公司与大连融科签订《2023年钒电池储能原料合作年度框架协议》，约定双方采取多钒酸铵原料购销的合作模式，2023年度预计总数量（折五氧化二钒）8000吨，若年度框架协议得以全部顺利执行，公司预计交易总金额约10亿元。钒电池发展前景广阔，相关业务未来有望成为公司未来重要的业绩增长点。③计划定增建设5万吨熔盐氯化法钛白粉项目。公司拟募集资金总额不超过22.8亿元用于攀钢6万吨熔盐氯化法钛白项目和攀枝花钒厂五氧化二钒提质升级改造项目，（1000吨高纯五氧化二钒），将进一步提高公司产品竞争力和市场占有率。投资建议：公司钒产品产能全球前列，随着钒行业景气度回升以及钒电池应用市场逐步扩大，公司业绩释放可期。我们预计公司2023-2025年归母净利润依次为15.72/18.76/22.62亿元，对应PE依次为27/23/19倍，维持公司“推荐”评级。风险提示：下游需求不及预期；钒电池发展不及预期；项目进展不及预期。,,民生证券,推荐,[None],2023-03-31,,增持,5158918,pdf_downloads/2023/2023-03-31/000629-钒钛股份（000629）2022年年报点评：钒产品量价齐升，钒电池相关业务快速发展.pdf,000629,钒钛股份,钒钛股份（000629）2022年年报点评：钒产品量价齐升，钒电池相关业务快速发展
"邓轲,王勇杰",钒钛股份(000629)业绩概要：公司2022年实现营业收入150.9亿元（+7.3%），实现归母净利润13.4亿元（+1.2%），对应EPS为0.16元，扣非净利润为13.0亿元（+29.6%）；其中04营收36.3亿元（同比+17.4%、环比+17.9%），归母净利润1.2亿元（同比-45.6%，环比-24.2%），EPS为0.01元；背靠母集团资源，钒钛供给无虑：钒钛股份前身是攀钢板材，成立于1993年，位于具有大量优质钒钛磁铁矿的攀枝花市，经过多轮重组及收购，公司形成了钒钛为主体、附带少量电力的业务结构，实控人攀钢集团直接和间接持有累计51.6%的股份。集团现拥有四大矿区中的攀枝花、白马两大矿区，储量丰富，目前公司使用的提钒的钒渣原料以及钛精矿均由集团提供。凭借稳定充足的钒钛原料供给，公司晋身为国内产能和产量第一的钒产品制造商，目标进军世界一流专精特新示范企业；钛行业承压，钒价呈N型走势：2022年受到疫情扰动和房地产周期下行影响，钛白粉市场呈现高开低走的局面、价格从最高的2.1万元/吨下降至1.6万元/吨，进入三季度，钛白粉企业库存压力加大，价格加速回落，随后四季度供需重获平衡，价格企稳，2023年以来，受到经济复苏、房地产支持力度加大等积极因素影响，钛白粉价格有所反弹；钛渣受到下游渣转矿改造影响，价格持续回落；全年来看，五氧化二钒价格2022年呈N型，年初受俄乌冲突影响，国内钒价快速上涨，此后国内宏观经济走弱，带动钒价下行，8月以来价格回升，价格有所反弹，伴随着国家对房地产支持政策增多，需求回暖，钒价从2023年年初的12.8万吨上涨至13.6万元/吨；钛产品量价承压，业务稳健经营：报告期内，公司实现营业收入150.9亿元，业务收入方面，钛产品实现营业收入63.6亿元（同比-6%），除了钛精矿（18.2亿元，+14.2%）收入有所增长以外，钛白粉（36.5亿元，-10.5%）、钛渣（8.7亿元，-21.0%）收入均有所下滑，主要是在2022年需求走弱的情况下，公司钛业务量价齐跌，钛白粉价格（1.5万元/吨，-7.6%）、钛渣价格（0.5万元/吨，-5.6%）均有所下跌，钛白粉销量（24万吨，-3.1%）承压，同时钛渣销量（18万吨，-16.3%）受到下游改造影响较大；钒产品业务实现营业收入58.1亿元（同比+28.8%），主要是公司通过提高产品收率、非钢领域应用增加以及产品结构优化，实现了钒产品价格（11.8万/吨，+11.7%）和销量（4.9万吨，+15.3%）共同提升，电力方面公司实现营收19.2亿元（+1.7%），保持稳健。盈利性方面，2022年毛利率16.3%（-3.6pcts），净利率9.1%（-1.3pcts），其中仅钒产业由于产品均价上涨、工艺优化等原因，毛利率有所上升（+1.58pcts），其余行业均有所下降（钛产业-11.5pcts，电力-7.7pcts），或因为钛白粉、钛渣价格下降，煤炭价格上涨，同时需求下滑导致开工率较低等因素导致。期间费用率方面，公司通过降本增效，实现了管理费用率（-0.3pcts）的降低，财务费用率有所提升（0.2pcts）主要系公司理财利息减少，而研发费用率的降低（-1.0pcts）主要系公司低温氯化部分验证试验设备、设施未按期到货，进度有所延迟所致。所得税费用率降低（-1.02pcts）主要是由于公司2021年有较大的递延所得税资产减记，2022年消除了该部分影响；钒价易涨难跌，公司充分受益：供应端，钢的生产方式很多，包括钒渣提钒、钒矿提钒和固废液回收提钒，其中高炉炼铁过程中通过回转炉收集钒渣，再通过冶炼炉将钒渣提炼成五氧化二钒是成本最低、能耗最小，对环境伤害较少的方式，因此是目前主流的提钒方式，由于粗钢产量压降以及回转炉改造相对复杂等原因，供给端相对刚性；需求端来看，房地产行业支持力度加大，螺纹钢需求回升带动钢铁行业钒消费量回暖。此外，根据中航新能源团队预测，到2025年钒电池新增装机规模有望达到2.3GW，钒电解液在液流电池中价值量占比较高，根据1GWh液流电池消费量8000-1000吨来计算，到2025年液流电池领域钒消费量估计将达到6.3万吨；成本端来看，公司采购的钒渣定价采用成本加合理利润加成的模式，因此将充分享受钒价上涨红利；产能扩增布局未来，公司迈上新台阶：钒业务板块，公司现有五氧化二钒产能4.3万吨，对攀枝花钒厂进行技改以实现1000吨/年的高纯五氧化二钒生产能力。此外公司还持续布局电解液环节：与大连融科携手成立钒融储能合资公司（公司占股51%），规划建设2000立方米/年的电解液生产线，预计于2023上半年建成投产，后续60000立方米/年的产能将根据市场情况投放，此外，公司托管四川攀钛电解液试验线产能，在非公开发行项目中对钒电解液进行产业化及应用研发。钛产品板块，公司通过内生外延扩张，现有钛白粉产能23.5万吨（硫酸法22万吨、氯化法1.5万吨），定增规划建设氯化法产能6万吨，未来公司将加大氯化法钛白粉产能建设；投资建议：钢钛股份背靠母集团优质的钒钛磁铁矿资源，在经济复苏、钢钛价格企稳回升的背景下，积极布局钒液流电池等新兴领域，拓展钒产品应用领域，目标进军全球一流专精特新示范企业。我们预计公司2023-2025年实现营业收入161.0亿元、177.3亿元、194.9亿元，同比增长6.7%、10.1%、10.0%，实现归母净利润18.7亿元、20.8亿元、22.4亿元，同比增长38.9%、11.2%、7.6%，对应PE23X、20X、19X，首次覆盖，给予“买入”评级。风险提示：产品价格大幅波动风险，产能投放不及预期风险，下游需求不及预期风险,,中航证券,买入,[None],2023-03-30,,买入,5157919,pdf_downloads/2023/2023-03-30/000629-钒钛股份（000629）：有“钛”度，自超“钒”.pdf,000629,钒钛股份,钒钛股份（000629）：有“钛”度，自超“钒”
"李斌,马晓晨","22年归母净利同比增1.2%，维持“增持”评级公司22年实现营收150.9亿元（yoy+7.3%）；归母净利13.4亿元（yoy+1.2%）。其中22Q4实现归母净利1.16亿元（yoy-45.6%，qoq-24.2%）。考虑钒电池需求增长有望带动钒价上行，我们预计23-25年EPS为0.21/0.25/0.28元（前值0.20/0.21/-元），钒、钛业务可比公司PE（2023E）均值分别为16.1/9.0倍，考虑公司切入钒电池领域，增长前景旷阔，给予公司23年25.0倍PE，对应目标价5.25元（前值4.20元），维持“增持”评级。22年钒、钛价格分化，钒、钛产品毛利率分别同比+1.58pct、-11.46pct据公司年报，2022年公司钒产品（以V2O5计，下同）产量4.69万吨（yoy+8.25%），均价11.8万元/吨（yoy+11.7%），毛利率32.1%（yoy+1.58pct）。钛产品方面，2022年公司钛白粉、钛渣产量分别24.4、18.7万吨（yoy-0.36%、-11.8%），均价分别1.52万元/吨、4891元/吨（yoy-7.58%、-5.52%），钛产品综合毛利率6.28%（yoy-11.46pct）。2022年公司综合毛利率16.3%（yoy-3.62pct），期间费用率5.65%（yoy-1.14pct），销售净利率9.05%（yoy-1.3pct）。产业链深度合作,推动钒液流电池储能应用进程据公司公告（2023-03），公司与攀枝花市人民政府、大连融科签订了《战略合作框架协议》，攀枝花政府给予政策等方面支持，公司和大连融科发挥资源和技术优势，优先在攀枝花市投资设立全钒液流电池储能装备智能制造基地。产业链上下游深度合作，共同推动全钒液流电池应用。而公司与大连融科共同投资成立的四川钒融储能科技有限公司，已建设2000立方米/年电解液产线，预计2023年上半年投产，且后续拟建设更大规模产线。目前市场已出现中核汇能、新疆伊犁等多个GWh级项目，钒储能规模呈现快速发展趋势。钒制品龙头，受益钒电池需求增长钒方面，根据2022年12月公司与大连融科签订的《2023 年钒电池储能原料合作年度框架协议》，公司2023年将有8000吨左右钒产品提供给大连融科，储能领域钒产品占比接近20%。同时，钒电池需求增长给予钒价支撑，2023年3月24日五氧化二钒价格达13.55万元/吨，较2022年8月低点回升30%以上，公司将充分受益钒电池需求增长。钛方面，2023年2月以来钛白粉价格已开始回升，且公司在建6万吨熔盐氯化法钛白项目，规模进一步提升。风险提示：下游需求不及预期，原材料价格大幅波动，项目进展不及预期。",,华泰证券,增持,[None],2023-03-28,,增持,5154696,pdf_downloads/2023/2023-03-28/000629-钒钛股份（000629）：钒制品龙头，受益钒电池需求增长.pdf,000629,钒钛股份,钒钛股份（000629）：钒制品龙头，受益钒电池需求增长
