author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"闻学臣,蒋丹","公司发布《2025年第三季度报告》。2025年前三季度，公司实现营业总收入62.44亿元，同比增长12.04%，实现扣非归母净利润9.37亿元，同比增长14.03%。多业务线齐发力，第三季度营收净利双升。公司第三季度实现较好增长，单季度营业总收入实现22.24亿元，同比增长14.86%；扣非归母净利润达3.38亿元，同比增长29.77%。分业务来看，公司前三季度经营稳健向好，智能终端板块在欧美及拉美、中东非等新兴市场取得较大的突破，海外支付设备收入同比增长超26%；商户运营服务板块，公司支付服务累计交易规模达1.62万亿元，其中第三季度单季交易规模达5,700亿元，同比增速超过18%，自2024年三季度以来保持逐季度环比增长趋势。管理与研发费用率双降，费用管控能力提升。2025前三季度，公司毛利率35.74%，同比-2.29pct。费用层面，2025前三季度公司销售/管理/研发费用率分别为5.53%/5.54%/7.48%，同比0.49/-0.82/-0.88pct。持续加码AI，推进全球化布局。公司AI营销产品落地成效显著，目前已有超15万商户参与试用。未来，公司将持续深化AI技术在支付垂类场景的应用渗透，同时加快推进跨境支付及海外收单业务的全球化布局，致力于打造全球领先的线下数字商业服务标杆。盈利预测：公司作为国内支付行业龙头公司，凭借全球化战略的持续深化、网号网证的布局以及AI技术的深度赋能，有望打开长期成长空间。我们预测公司2025-2027年营业收入分别为81.54/92.24/105.22亿元，归母净利润分别为11.77/13.23/14.86亿元，对应PE分别为23/21/19倍，首次覆盖，给予“买入”评级。风险提示：业务发展不及预期；政策推进缓慢；市场竞争加剧；数据更新不及时等。",,中泰证券,买入,[None],2025-12-29,,买入,8301901,pdf_downloads/2025/2025-12-29/000997-新大陆（000997）：多业务线齐发力，推进全球化布局.pdf,000997,新大陆,新大陆（000997）：多业务线齐发力，推进全球化布局
熊莉,收入稳健提升，扣非净利润同比增长。公司2025年前三季度实现收入62.44亿元，同比增长12.04%；实现归母净利润9.18亿元，同比增长12.15%；实现扣非归母净利9.37亿元，同比增长14.03%。2025Q3单季增长显著，实现收入22.24亿元，同比增长14.86%；实现归母净利润3.23亿元，同比增长11.75%；实现扣非归母净利3.38亿元，同比增长29.77%，增长主要得益于智能终端海外业务的快速拓展以及国内商户运营服务规模的稳步提升。智能终端集群：海外加速拓展，欧美市场取得突破。公司加速拓展海外市场销售，在欧美及拉美、中东非等新兴市场取得突破，报告期内公司海外支付设备收入同比增长超26%。欧美支付终端市场壁垒高、盈利能力强，在零售数字化转型和高端商户终端迭代替换的驱动下，智能终端设备的需求持续提升。公司经多年本土化布局后逐步放量，有望带动公司智能终端业务量价齐升。同时，公司深化全球化战略，全球供应链保障能力持续提升。行业数字化集群：交易流水环比维持增长，AI产品推进顺利。2025年前三季度，公司支付服务交易总规模达1.62万亿，其中第三季度支付服务交易总规模近5700亿，同比增长超18%，自2024年三季度以来保持逐季度环比增长趋势。公司正加速海外牌照及账户体系布局，有望持续为公司收单业务贡献增量。公司聚焦AI营销智能体，可按商户个性化的想法和需求自动生成活动方案策划、文案及视频、数字人等，涵盖策略制定、内容创作及执行计划，完成的营销素材可一键投放至主流流量平台，当前已有超15万商户试用，较2025H1千家商户试用显著提升。风险提示：行业竞争加剧、AI落地不及预期、地缘政治等不确定因素影响供应链、关键技术人才流失风险等。投资建议：维持盈利预测，维持“优于大市”评级。公司充分受益于移动支付快速发展，推出Agent打开下游商户付费空间。随着三季度收单侧持续回暖，海外智能终端业务快速突进，预计公司2025/2026/2027年营业收入为86/95.33/107.62亿元，归母净利润12.22/14.71/18.14亿元，对应EPS为1.18/1.42/1.76元。,,国信证券,优于大市,[None],2025-11-03,,买入,7316181,pdf_downloads/2025/2025-11-03/000997-新大陆（000997）：Q3净利润同比提升，AI智能体扩展顺利.pdf,000997,新大陆,新大陆（000997）：Q3净利润同比提升，AI智能体扩展顺利
"刘高畅,杨然,李纯瑶","三季报业绩符合预期，跨境支付及数字ID领军持续验证事件：公司发布2025年三季报，2025年Q3，公司实现营业收入22.24亿元，同比+14.86%；实现归母净利3.23亿元，同比+11.75%，业绩符合预期。三季报业绩符合预期，海外支付设备同比增长超26%。1）2025年前三季度，公司实现营业总收入62.44亿元，同比增长12.04%，实现扣非归母净利润9.37亿元，同比增长14.03%，主要系第三季度实现较好增长，单季度扣非归母净利润达3.38亿元，同比增长29.77%。2）2025年前三季度公司经营稳健向好，智能终端板块公司加速拓展海外市场销售，在欧美及拉美、中东非等新兴市场取得较大的突破，报告期内公司海外支付设备收入同比增长超26%。商户运营服务板块，2025年前三季度，公司支付服务交易总规模达1.62万亿，其中第三季度支付服务交易总规模近5,700亿，同比增长超18%，自2024年三季度以来保持逐季度环比增长趋势。报告期内公司推出的AI营销产品，已有超15万商户试用，公司将持续加码AI在支付垂类场景的应用布局。同时公司将加速推进跨境支付及海外收单业务布局，致力于成为全球领军的线下数字商业服务商。跨境支付及AI领军地位，交易规模保持平稳向好。1）2025年，在商户拓展方面，公司增强了在重点区域和行业的获客能力，成功突破多个大型行业客户、连锁品牌及区域标杆商户，2025H1月流水在50万以上商户的占比较2024年末提升了近8个百分点，商户质量与服务深度显著提升。2025年上半年累计实现支付服务交易规模约1.05万亿，自去年三季度以来呈现逐季环比提升趋势，其中扫码交易笔数与金额快速提升，较去年同期分别增长超63%、38%。2）在跨境支付方面，公司加速海外牌照及账户体系布局，在香港及美国设立子公司香港星驿支付公司及NovaPay，已成功获批MSB牌照，并筹备MSO牌照申请。3）在数字人民币方面，2025H1公司已累计为超过11万商户提供数字人民币受理及一笔入账服务，覆盖零售、餐饮、医疗、娱乐等多个行业，未来将积极探索数字人民币在B2B贸易结算、跨境支付等场景的应用。公司已与全球各大卡组织建立战略合作关系增值服务方面。公司将AI深度融入数字商业战略，与阿里云达成深度战略合作，联合研发智能体开发平台，探索基于大模型的垂类应用场景的新产品及新服务，截至2025年6月末已为超过480万活跃商户提供各类经营服务与金融科技服务，活跃商户数较2024年年末增长近百万户。长期卡位的可信数字身份产业，网证管理办法正式实施。2025年5月六部委正式对外发布《国家网络身份认证公共服务管理办法》，明确了国家网络身份认证公共服务及网号、网证的概念、申领方式以及效力、应用场景，该办法自2025年7月15日起正式托生码、验码环境，积极与场景方开展生态合作，目前已完成文旅、教育、交通等场景的商业模式落地。下一步，公司将积极跟进场景端应用，为人民群众在数字化、网络化、智能化的条件下安全、便捷地证明个人身份提供一码通行解决方案。投资建议：根据关键假设，预计2025-2027年营业收入分别为85.27/99.68/108.90亿元，归母净利润分别为13.79/17.18/18.36亿元。维持“买入”评级。风险提示：宏观经济波动风险，新业务开拓不及预期，政策进展不及预期。",,国盛证券,买入,[None],2025-11-01,,买入,7187024,pdf_downloads/2025/2025-11-01/000997-新大陆（000997）：三季报业绩符合预期，跨境支付及数字ID领军持续验证.pdf,000997,新大陆,新大陆（000997）：三季报业绩符合预期，跨境支付及数字ID领军持续验证
Lin Yang,本报告导读：2025Q3利润增速相比Q2实现反弹，交易流水保持逐季度环比增长趋势；AI方面，首发支付行业专属大模型。投资要点：维持“优于大市”评级。考虑到公司25年设备业务存在阶段性市场拓展导致毛利率波动，对短期利润有一定拖累，2025年归母净利润预测值12.78亿元，调整2026-2027年归母净利润预测值为15.69/19.13亿元，对应2025-2027年EPS预测值为1.26/1.55/1.89元，参考可比公司，给予公司2026年25倍PE，目标价为38.71元。2025Q3公司收入同比+14.86%，扣非归母利润同比+29.77%。2025年前三季度公司实现营收62.44亿元，同比+12.04%；实现归母净利润9.18亿元，同比+12.15%；扣非归母利润9.37亿元，同比+14.03%；销售毛利率35.74%，同比-2.29pct。单Q3，公司实现营收22.24亿元，同比+14.86%；归母净利润3.23亿元，同比+11.75%；扣非归母利润3.38亿元，同比+29.77%，销售毛利率35.71%，同比-0.25pct。Q3利润增速相比Q2实现反弹，主要因为Q2设备业务阶段性市场拓展导致整体毛利率承压，而Q3毛利率明显有所恢复。收单服务及智能终端业务均维持边际增长态势。商户运营服务板块，公司前三季度交易流水1.62万亿，其中Q3交易流水近5700亿，同比增长超18%，24Q4-25Q3季度流水分别约为4500亿/5200亿/5300/5700亿，自2024年三季度以来保持逐季度环比增长趋势。智能终端板块，公司在欧美及拉美、中东非等新兴市场取得较大的突破，Q3海外支付设备收入同比增长超26%。首发支付行业专属大模型，逐步搭建支付行业MCP广场。AI方面，公司2025Q3推出的AI营销产品，已有超15万商户试用。在2025年9月的云栖大会，公司子公司国通星驿携手阿里云首发支付行业专属大模型——星驿支付专属大模型，并依托该模型自研星驿智能体开发平台LLMOps，成功开发小驿秒哒、AI生意有数、AI商户审核助手、AI营销助手等智能体，并在此基础上逐步搭建支付行业MCP广场，面向SaaS软件开发商、聚合支付服务商、银行及商户开放MCP服务，目前已在阿里云点金平台上线部分MCP服务。风险提示。行业竞争加剧，费率提升不及预期，业务出海不及预期,,海通国际证券,优于大市,[None],2025-10-30,,买入,7030244,pdf_downloads/2025/2025-10-30/000997-新大陆（000997）：Q3利润增速实现反弹，首发支付行业专属大模型.pdf,000997,新大陆,新大陆（000997）：Q3利润增速实现反弹，首发支付行业专属大模型
"杨林,杨蒙,张盛海",维持“增持”评级。考虑到公司25年设备业务存在阶段性市场拓展导致毛利率波动，对短期利润有一定拖累，我们略下调2025年归母净利润预测值至12.78亿元（原值为13.44亿元），调整2026-2027年归母净利润预测值为15.69/19.13亿元（原值为15.80/19.24亿元），对应2025-2027年EPS预测值为1.26/1.55/1.89元，参考可比公司，给予公司2026年25倍PE，目标价为38.71元。2025Q3公司收入同比+14.86%，扣非归母利润同比+29.77%。2025年前三季度公司实现营收62.44亿元，同比+12.04%；实现归母净利润9.18亿元，同比+12.15%；扣非归母利润9.37亿元，同比+14.03%；销售毛利率35.74%，同比-2.29pct。单Q3，公司实现营收22.24亿元，同比+14.86%；归母净利润3.23亿元，同比+11.75%；扣非归母利润3.38亿元，同比+29.77%，销售毛利率35.71%，同比-0.25pct。Q3利润增速相比Q2实现反弹，主要因为Q2设备业务阶段性市场拓展导致整体毛利率承压，而Q3毛利率明显有所恢复。收单服务及智能终端业务均维持边际增长态势。商户运营服务板块，公司前三季度交易流水1.62万亿，其中Q3交易流水近5700亿，同比增长超18%，24Q4-25Q3季度流水分别约为4500亿/5200亿/5300/5700亿，自2024年三季度以来保持逐季度环比增长趋势。智能终端板块，公司在欧美及拉美、中东非等新兴市场取得较大的突破，Q3海外支付设备收入同比增长超26%。首发支付行业专属大模型，逐步搭建支付行业MCP广场。AI方面，公司2025Q3推出的AI营销产品，已有超15万商户试用。在2025年9月的云栖大会，公司子公司国通星驿携手阿里云首发支付行业专属大模型——星驿支付专属大模型，并依托该模型自研星驿智能体开发平台LLMOps，成功开发小驿秒哒、AI生意有数、AI商户审核助手、AI营销助手等智能体，并在此基础上逐步搭建支付行业MCP广场，面向SaaS软件开发商、聚合支付服务商、银行及商户开放MCP服务，目前已在阿里云点金平台上线部分MCP服务。风险提示。行业竞争加剧，费率提升不及预期，业务出海不及预期,,国泰海通,增持,[None],2025-10-30,,买入,7019322,pdf_downloads/2025/2025-10-30/000997-新大陆（000997）：2025年三季报点评：Q3 利润增速实现反弹，首发支付行业专属大模型.pdf,000997,新大陆,新大陆（000997）：2025年三季报点评：Q3 利润增速实现反弹，首发支付行业专属大模型
"吕伟,丁辰晖","25Q3单季度收入加速，利润显著增长事件：新大陆于2025年10月28日晚发布三季报，2025年前三季度公司实现营收62.44亿元，同比增长12.04%；实现归母净利润9.18亿元，同比增长12.15%；实现扣非净利润9.37亿元，同比增长14.03%。Q3单季度扣非利润增长30%，单季度收入加速。2025Q3公司实现营收22.24亿元，同比增长14.86%；实现归母净利润3.23亿元，同比增长11.75%；实现扣非净利润3.38亿元，同比增长29.77%。得益于海外业务保持快速增长，同时支付业务的流水回暖趋势明显，公司单季度收入呈现加速态势。从费用端看，2025年前三季度公司销售、管理、研发费用分别为3.45、3.46、4.67亿元，同比变动分别为+22.9%、-2.4%、+0.2%，整体费用投入保持稳健。三大业务齐头并进，经营数据保持良好增长态势。1）出海业务：2025前三季度公司海外支付设备收入同比增长超26%。2）支付业务：2025年前三季度，公司支付服务交易总规模达1.62万亿，其中第三季度支付服务交易总规模近5,700亿，同比增长超18%，自2024年三季度以来保持逐季度环比增长趋势。3）AI业务：公司推出的AI营销产品，已有超15万商户试用，公司将持续加码AI在支付垂类场景的应用布局。发布支付行业大模型，进一步巩固行业领导者地位。9月24日至26日，由阿里云主办的2025云栖大会在杭州召开。作为云计算与AI产业链的年度盛会，2025云栖大会以“云智一体·碳硅共生”为主题，从基础设施、大模型到Agent和具身智能，全景呈现AI的技术演进与产业落地。新大陆福建国通星驿公司作为阿里云AI战略合作伙伴，公司董事长陈艺、总经理林坚受邀出席2025云栖大会。新大陆子公司国通星驿作为国内领先的第三方支付机构，进一步深化“支付+AI”服务能力，于论坛现场首发星驿支付专属大模型——商户经营场景识别模型，不仅强化“支付+AI”技术底座，更为支付行业智能化升级提供可复用的技术范式。投资建议：预计公司25-27年归母净利润分别为12.81、14.99、17.62亿元，当前市值对应25/26/27年的PE估值分别为22/18/16倍，考虑到支付行业供给格局持续改善，以及海外支付市场进一步扩大，公司主营业务有望充分受益。另外，公司全面拥抱AI，有望打造新增长曲线。维持“推荐”评级。风险提示：市场竞争加剧；监管风险；无法持续享受税收优惠；技术风险。",,民生证券,推荐,[None],2025-10-30,,增持,7059144,pdf_downloads/2025/2025-10-30/000997-新大陆（000997）：2025 年三季报点评：25Q3单季度收入加速，利润显著增长.pdf,000997,新大陆,新大陆（000997）：2025 年三季报点评：25Q3单季度收入加速，利润显著增长
"Lin Yang,Liang Song",维持“优于大市”评级，目标价39.00元/股。我们维持公司2025-2027年归母净利润预测值为13.44/15.80/19.24亿元，对应EPS预测值为1.30/1.53/1.86元，给予公司2025年30倍PE，目标价39.00元/股。上半年公司收入端表现良好，Q2利润受设备毛利率制约。2025H1公司实现营收40.20亿元，同比+10.54%；实现归母净利润5.95亿元，同比+12.36%；经营现金流净额3.76亿元，同比+314.32%；上半年整体收入端表现良好，经营现金流实现高增。单Q2，公司实现营收21.23亿元，同比+12.03%；归母利润2.84亿元，同比+1.06%；扣非归母利润2.62亿元，同比-6.88%，Q2利润主要受设备业务毛利率阶段性承压影响，Q2整体销售毛利率为32.92%，同比-6.41pct。收单流水逐季提升，费率稳步上行，收单业务边际向好。25H1公司收单及增值服务（不含小额贷款业务）实现收入14.50亿元，同比+2.39%，毛利率38.4%，同比+2.0pct。上半年收单业务实现交易流水1.05万亿元，同比基本持平，自24年三季度以来流水呈现逐季环比提升趋势，24Q4-25Q2季度流水分别约为4500亿/5200亿/5300亿。根据测算，25H1收单费率为0.138%，比24年同期的0.132%提升0.006%，费率提升主要得益于公司增值服务带来的商户提价，上半年公司增值服务实现收入4.27亿元，其中经营类增值服务收入2.57亿，单商户加权ARUP值达98元。设备毛利率因市场拓展阶段性承压，欧美市场涨势强劲。25H1公司设备业务实现收入18.98亿元，同比+24.90%，毛利率34.80%，同比-6.82pct，毛利率变动主要因为公司在部分新兴市场阶段性采用市占率优先策略，后续随着市场拓展完成以及欧美高毛利市场收入占比提升，毛利率预期将逐步恢复。上半年公司POS机在全球各主要市场营收均实现超20%的增幅，其中，欧美区域的本地化建设成效进一步显现，出货量及营收同比增长均超90%。风险提示。行业竞争加剧，费率提升不及预期，业务出海不及预期。,,海通国际证券,优于大市,[None],2025-09-09,,买入,6408465,pdf_downloads/2025/2025-09-09/000997-新大陆（000997）：收单业务边际向好，设备出海进展加速.pdf,000997,新大陆,新大陆（000997）：收单业务边际向好，设备出海进展加速
"刘高畅,杨然,李纯瑶",25H1业绩符合预期，跨境支付及数字ID领军持续验证事件：公司发布2025年半年报，2025H1公司实现营业总收入40.20亿元，同比增长10.54%，归属于上市公司股东的净利润5.95亿元，同比增长12.36%，经营性现金流量净额3.76亿元，同比增长314.32%，业绩符合预期。半年报业绩符合预期，智能终端集群同比+24.90%。1）2025年Q2，公司实现营业收入21.23亿元，同比+12.03%；实现归母净利2.84亿元，同比+1.06%，业绩符合预期。2）分业务来看，2025H1智能终端集群实现营业总收入18.98亿元，同比上升24.90%，毛利率34.08%，同比下降6.82个百分点；行业数字化集群实现营业总收入21.16亿元，同比增长0.36%。跨境支付及AI领军地位，交易规模保持平稳向好。1）在商户拓展方面，公司增强了在重点区域和行业的获客能力，成功突破多个大型行业客户、连锁品牌及区域标杆商户，月流水在50万以上商户的占比较2024年末提升了近8个百分点，商户质量与服务深度显著提升。2025年上半年累计实现支付服务交易规模约1.05万亿，自去年三季度以来呈现逐季环比提升趋势，其中扫码交易笔数与金额快速提升，较去年同期分别增长超63%、38%。2）在跨境支付方面，公司加速海外牌照及账户体系布局，在香港及美国设立子公司香港星驿支付公司及NovaPay，已成功获批MSB牌照，并筹备MSO牌照申请。3）在数字人民币方面，公司已累计为超过11万商户提供数字人民币受理及一笔入账服务，覆盖零售、餐饮、医疗、娱乐等多个行业，未来将积极探索数字人民币在B2B贸易结算、跨境支付等场景的应用。公司已与全球各大卡组织建立战略合作关系增值服务方面，公司将AI深度融入数字商业战略，与阿里云达成深度战略合作，联合研发智能体开发平台，探索基于大模型的垂类应用场景的新产品及新服务，截至2025年6月末已为超过480万活跃商户提供各类经营服务与金融科技服务，活跃商户数较2024年年末增长近百万户。长期卡位的可信数字身份产业，网证管理办法正式实施。2025年5月六部委正式对外发布《国家网络身份认证公共服务管理办法》，明确了国家网络身份认证公共服务及网号、网证的概念、申领方式以及效力、应用场景，该办法自2025年7月心验证底座，依托生码、验码环境，积极与场景方开展生态合作，目前已完成文旅、教育、交通等场景的商业模式落地。下一步，公司将积极跟进场景端应用，为人民群众在数字化、网络化、智能化的条件下安全、便捷地证明个人身份提供一码通行解决方案。投资建议：根据关键假设，预计2025-2027年营业收入分别为85.27/99.68/108.90亿元，归母净利润分别为13.79/17.18/18.36亿元。维持“买入”评级。风险提示：宏观经济波动风险，新业务开拓不及预期，政策进展不及预期。,,国盛证券,买入,[None],2025-09-02,,买入,6379323,pdf_downloads/2025/2025-09-02/000997-新大陆（000997）：25H1业绩符合预期，跨境支付及数字ID领军持续验证.pdf,000997,新大陆,新大陆（000997）：25H1业绩符合预期，跨境支付及数字ID领军持续验证
"杨林,魏宗,张盛海",维持“增持”评级，保持目标价为39.00元/股。我们维持公司2025-2027年归母净利润预测值为13.44/15.80/19.24亿元，对应EPS预测值为1.30/1.53/1.86元，给予公司2025年30倍PE，维持目标价为39.00元/股。上半年公司收入端表现良好，Q2利润受设备毛利率制约。2025H1公司实现营收40.20亿元，同比+10.54%；实现归母净利润5.95亿元，同比+12.36%；经营现金流净额3.76亿元，同比+314.32%；上半年整体收入端表现良好，经营现金流实现高增。单Q2，公司实现营收21.23亿元，同比+12.03%；归母利润2.84亿元，同比+1.06%；扣非归母利润2.62亿元，同比-6.88%，Q2利润主要受设备业务毛利率阶段性承压影响，Q2整体销售毛利率为32.92%，同比-6.41pct。收单流水逐季提升，费率稳步上行，收单业务边际向好。25H1公司收单及增值服务（不含小额贷款业务）实现收入14.50亿元，同比+2.39%，毛利率38.4%，同比+2.0pct。上半年收单业务实现交易流水1.05万亿元，同比基本持平，自24年三季度以来流水呈现逐季环比提升趋势，24Q4-25Q2季度流水分别约为4500亿/5200亿/5300亿。根据测算，25H1收单费率为0.138%，比24年同期的0.132%提升0.006%，费率提升主要得益于公司增值服务带来的商户提价，上半年公司增值服务实现收入4.27亿元，其中经营类增值服务收入2.57亿，单商户加权ARUP值达98元。设备毛利率因市场拓展阶段性承压，欧美市场涨势强劲。25H1公司设备业务实现收入18.98亿元，同比+24.90%，毛利率34.80%，同比-6.82pct，毛利率变动主要因为公司在部分新兴市场阶段性采用市占率优先策略，后续随着市场拓展完成以及欧美高毛利市场收入占比提升，毛利率预期将逐步恢复。上半年公司POS机在全球各主要市场营收均实现超20%的增幅，其中，欧美区域的本地化建设成效进一步显现，出货量及营收同比增长均超90%。风险提示。行业竞争加剧，费率提升不及预期，业务出海不及预期。,,国泰海通,增持,[None],2025-08-30,,买入,6369398,pdf_downloads/2025/2025-08-30/000997-新大陆（000997）：收单业务边际向好，设备出海进展加速.pdf,000997,新大陆,新大陆（000997）：收单业务边际向好，设备出海进展加速
"吕伟,丁辰晖",收入保持增长，AI、海外业务加速推进事件：新大陆于2025年8月25日晚发布年报，2025H1公司实现营收40.2亿元，同比增长10.54%；实现归母净利润5.95亿元，同比增长12.36%；实现扣非净利润5.99亿元，同比增长6.72%。25Q2继续保持收入增长，利润有所承压。2025Q2公司实现营收21.23亿元，同比增长12.03%；实现归母净利润2.84亿元，同比增长1.06%；实现扣非净利润2.62亿元，同比下滑6.88%。2025H1公司销售/管理/研发费用同比增速分别为+30.7%/-3.5%/+1.2%，费用端整体保持良好的控制能力。2025H1公司毛利率38.5%，同比下降5pct，公司智能终端业务调整销售策略，导致毛利率有所下滑。支付业务：流水保持环比增长，加强跨境支付领域布局。2025H1公司商户及运营业务营收16.19亿元，同比下滑3.26%。公司增强了在重点区域和行业的获客能力，成功突破多个大型行业客户、连锁品牌及区域标杆商户，月流水在50万以上商户的占比较2024年末提升了近8个百分点。2025年上半年累计实现支付服务交易规模约1.05万亿，自去年三季度以来呈现逐季环比提升趋势。在跨境支付方面，公司加速海外牌照及账户体系布局，在中国香港及美国设立子公司香港星驿支付公司及NovaPay，已成功获批MSB牌照，并筹备MSO牌照申请；同时公司持续推进跨境B2B、海外收单等产品和渠道建设，在福建、广东、浙江等对外贸易活跃、具备跨境支付产业基础的优势省份加速布局。智能终端设备：海外业务快速增长，调整策略加速抢占市场。2025H1智能设备业务实现营收18.98亿元，同比上升24.90%，毛利率34.08%，同比下降6.82pct。公司持续推进全球化战略，加速拓展欧美以及拉美新兴市场的区域及客户所致，海外业务收入占集群总收入比例超76%。毛利率下滑主要系公司海外销售策略更加主动，在部分发展中国家新兴市场采用市占率优先策略，导致海外销售毛利率有所下滑。AI+营销产品开始加速推广。在营销服务方面，公司聚焦于AI营销智能体，可按商户个性化的想法和需求自动生成活动方案策划、文案及视频、数字人等，涵盖策略制定、内容创作及执行计划，完成的营销素材可一键投放至主流流量平台；目前已有超千家商户试用，未来将成为商户提升营销效能的重要工具，以及服务商拓展商户的关键卖点。2025H1，营销补贴及手续费金额超5亿元。投资建议：预计公司25-27年归母净利润分别为12.81、14.99、17.63亿元，当前市值对应25/26/27年的PE估值分别为24/20/17倍，考虑到支付行业供给格局持续改善，以及海外支付市场进一步扩大，公司主营业务有望充分受益。另外，公司全面拥抱AI，有望打造新增长曲线。维持“推荐”评级。风险提示：市场竞争加剧；监管风险；无法持续享受税收优惠；技术风险,,民生证券,推荐,[None],2025-08-27,,增持,6357515,pdf_downloads/2025/2025-08-27/000997-新大陆（000997）：2025年中报点评：收入保持增长，AI、海外业务加速推进.pdf,000997,新大陆,新大陆（000997）：2025年中报点评：收入保持增长，AI、海外业务加速推进
