author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
袁文翀,光迅科技是国内光通信领军企业，主营光接入/数通和光传输产品。公司是中国信科集团所属公司，拥有从芯片、器件、模块到子系统的垂直集成能力，产品应用于电信光通信网络和数据中心网络。公司国内市场竞争力凸显，并积极拓展海外市场。据Omida数据，公司在全球光器件行业排名第四，并在传输网、接入网和数通等领域份额靠前。2025年三季度，公司归母净利润为3.47亿元，同比+35.42%，环比+56.00%，创历史新高。全球AI算力高景气度持续，光迅科技国内市场份额领先。（1）数通市场受益于AI催化，高速率光模块需求旺盛。全球各CSP云厂均加大AI算力基础设施投入，预计2025年，海外谷歌、微软、亚马逊、Meta等CSP厂商合计Capex超过3700亿美元，同比增幅超60%；国内字节、腾讯、阿里、百度等Capex超过3600亿元。国内智算中心正加速建设，国产算力芯片日渐成熟，推动国产算力配套光模块需求爆发。公司400G光模块已批量交付，800G产品获得订单，产品结构升级带动毛利提升，有望受益国内算力需求，并积极突破海外市场。（2）“东数西算”到“毫秒用算”网络建设推动传输网络需求增长。随着东数西算建设推进和智算中心发展，数据中心互联网络（DCI）需求有望爆发。同时，“毫秒用算”专项行动的开展，带动传输网升级，拉动高速低时延网络设备需求释放。公司具备光传送网端到端整体解决方案，有望受益传输网需求增长。Ciena预测2028年全球光传输网络市场规模（光接入DCA、光互联路由DCI、数据中心内DCN等）有望达140亿美元。公司自研光芯片实现垂直布局，产能持续扩充。公司通过自研以及收购形成三大光芯片平台布局（平面光波导、III-V族以及SiP），低速光芯片自供率较高，积极研发100G以上高速率产品，实现从芯片到子系统的产业垂直整合。作为央企所属公司，有望发挥垂直优势，受益国产算力发展。产能方面，公司多次扩产支撑长期发展，2025年公司拟定增募资35亿元，用于算力中心高速光传输等产品生产建设和高速光互联及新兴光电子技术研发项目。技术方面，公司积极布局CPO/OCS等新技术，引领光电互联技术升级。盈利预测与估值：预计公司2025-2027年收入分别为116.81/150.12/169.93亿元，归母净利润分别为10.60/15.08/18.51亿元，对应A股PE分别为52/37/30X。结合绝对估值和相对估值法，预计A股合理估值区间在74.78-81.84元，相对于目前股价有7%~18%空间，维持“优于大市”评级。风险提示：激烈竞争导致产品价格下降、毛利下滑的风险；海外订单拓展的风险；算力网络等下游需求假设不及预期风险，贸易摩擦等其他风险。,,国信证券,优于大市,[None],2025-12-29,,买入,8301355,pdf_downloads/2025/2025-12-29/002281-光迅科技（002281）：自研光芯片垂直布局，受益国内AI算力发展.pdf,002281,光迅科技,光迅科技（002281）：自研光芯片垂直布局，受益国内AI算力发展
Weimin Yu,本报告导读：业绩环比高增长，数通业务贡献显著；国产算力芯片登上舞台，云厂商展望积极。投资要点：维持优于大市评级。公司公告2025年三季度业绩，公司2025-2027年归母净利润11.09/18.26/23.31亿元，对应EPS为1.37/2.26/2.89元。考虑行业可比公司平均估值，给予2026年43.8x PE，目标价99.0元，维持优于大市评级。业绩环比高增长，数通业务贡献显著。公司发布三季度财报，前三季度实现营收85.32亿元，同比增长58.65%，实现归母净利润7.19亿元，同比增长54.95%。单三季度实现营收32.89亿元，环比增长2亿元；实现归母净利润3.47亿元，环比增长约1亿元。公司q3单季度毛利率为24.14%，环比增长约4个pct。我们认为主要是800g占比提升，带来盈利能力的持续改善。我们认为2026年国内800g需求有望快速提升，带动行业持续高速增长，公司作为国内最核心供应商有望受益。国产算力芯片登上舞台，云厂商展望积极。近日，国内摩尔线程，沐曦等国产芯片陆续过会，并有望登陆资本市场扩大产能。国内华为召开全连接大会，发布未来2代算力芯片架构图。而国内云厂商层面，阿里云栖大会宣布未来预计扩大数据中心电力产能10倍。我们对公司未来受益数据中心建设国产化方案展望乐观。催化剂：业绩高增长；行业订单落地。风险提示：行业需求低于预期。,,海通国际证券,优于大市,[None],2025-11-21,,买入,8163032,pdf_downloads/2025/2025-11-21/002281-光迅科技（002281）：公司三季度业绩报告：业绩环比高增长，数通贡献显著.pdf,002281,光迅科技,光迅科技（002281）：公司三季度业绩报告：业绩环比高增长，数通贡献显著
"余伟民,王彦龙,黎明聪",下调盈利预测，上调目标价，维持增持评级。公司公告2025年三季度业绩，我们下调公司2025-2027年归母净利润至11.09/18.26/23.31亿元（前值为13.45/16.17/18.65亿元），对应EPS为1.37/2.26/2.89元。考虑行业可比公司平均估值，给予2026年43.8x PE，上调目标价至99.0元（前值69.70元），维持增持评级。业绩环比高增长，数通业务贡献显著。公司发布三季度财报，前三季度实现营收85.32亿元，同比增长58.65%，实现归母净利润7.19亿元，同比增长54.95%。单三季度实现营收32.89亿元，环比增长2亿元；实现归母净利润3.47亿元，环比增长约1亿元。公司q3单季度毛利率为24.14%，环比增长约4个pct。我们认为主要是800g占比提升，带来盈利能力的持续改善。我们认为2026年国内800g需求有望快速提升，带动行业持续高速增长，公司作为国内最核心供应商有望受益。国产算力芯片登上舞台，云厂商展望积极。近日，国内摩尔线程，沐曦等国产芯片陆续过会，并有望登陆资本市场扩大产能。国内华为召开全连接大会，发布未来2代算力芯片架构图。而国内云厂商层面，阿里云栖大会宣布未来预计扩大数据中心电力产能10倍。我们对公司未来受益数据中心建设国产化方案展望乐观。催化剂：业绩高增长；行业订单落地。风险提示：行业需求低于预期。,,国泰海通,增持,[None],2025-11-21,,买入,8161562,pdf_downloads/2025/2025-11-21/002281-光迅科技（002281）：公司三季度业绩报告：业绩环比高增长，数通贡献显著.pdf,002281,光迅科技,光迅科技（002281）：公司三季度业绩报告：业绩环比高增长，数通贡献显著
郝润祺,事件：2025年10月24日晚间，光迅科技发布2025年三季度报告。2025年前三季度，公司实现营业收入85.32亿元，同比增长58.65%；实现归母净利润7.19亿元，同比增长54.95%。2025年Q3，公司实现营业收入32.89亿元，同比增长45.01%，环比增长8.88%；实现归母净利润3.47亿元，同比增长35.76%，环比增长56%。点评：单季度收入同环比增长，盈利能力环比修复收入端，国内外AI基础硬件军备赛竞争加剧，随着海外的资本开支持续扩张，国内互联网大厂及电信运营商资本开支亦较为激进，受益于旺盛的下游需求，光迅科技销售规模同环比高速扩张。盈利端，Q2传输产品结构变化，叠加数通侧国内市场竞争加剧，导致单季度毛利率环比回落5.38pct。Q3公司毛利率环比提升3.9pct，实现24.14%。虽然毛利率受到以上众多因素影响有一定波动，但公司净利率季度间呈环比改善，从Q1的6.59%环比提升至Q3的10.48%，降本控费效果初现。下游CAPEX持续上行，光迅科技产能同步扩大互联网方面，腾讯2025Q2资本开支191.07亿人民币，同比增长118.89%。阿里2025Q2资本开支386.76亿人民币，同比增长219.79%，该资本开支多用于AI基础设施的投入，对于未来的预期阿里更是提出了三年3800亿的长期增长预期。运营商方面，2025年预计，中国移动算力专项支出373亿元，占公司CAPEX比重提升2pct至25%；期末智算规模目标34EFLOPS，增量部分以训练集群为主，推理资源“按需不设上限”。中国电信产业数字化（含算力）支出占比预计提升至38%，其中算力投资同比增长22%，资金主要用于GPU/AI服务器、AIDC机电配套。中国联通算力方向支出同比增长28%，公司还为人工智能重点基础设施和重大工程专项作了特别预算安排，根据智算和6G的需求及国内外发展趋势，及时调整投资规模。投资建议与盈利预测作为国内领先的光模块供应商，公司有望受益于国内互联网及运营商的算力需求扩张。我们预计2025-2027年，公司归母净利润分别为10.62、12.97、15.09亿元，对应PE估值分别为47、39、33倍，维持“增持”评级。风险提示国际贸易摩擦加剧、AI硬件需求及部署节奏不及预期、宏观经济波动风险,,国元证券,增持,[None],2025-10-31,,增持,7126536,pdf_downloads/2025/2025-10-31/002281-光迅科技（002281）：技术储备充裕，盈利能力高增.pdf,002281,光迅科技,光迅科技（002281）：技术储备充裕，盈利能力高增
"赵良毕,刘璐",光迅科技(002281)事件：光迅科技发布2025年半年度报告，公司2025年上半年实现营业收入52.43亿元，同比增长68.59%；实现归母净利润3.72亿元，同比增长78.98%。2Q25实现营业收入30.21亿元，同比增长66.06%；实现归母净利润2.22亿元，同比增长69.55%。垂直集成技术能力领先，海外交付能力持续攀升：分地区来看，上半年公司实现国内营收39.34亿元，同比增长91.18%，营收占比为75.04%，毛利率为20.35%，同比增长0.12pct；实现国外营收13.09亿元，同比增长24.39%，营收占比为24.96%，毛利率为29.00%，同比增长1.51pct。公司连续十八年入选中国光器件与辅助设备及原材料最具竞争力企业10强（第1名）、全球光器件最具竞争力企业10强（第4名）。公司在光通信传输网、接入网和数据中心等领域构筑了全方位的综合解决方案及柔性制造与高质量交付能力，产品年出货量行业前三。产能方面，公司在上半年持续提升海外制造及高端数通产品交付能力，顺利完成了海外制造基地及武汉东湖综合保税区高端光电子器件产业基地的产能建设。公司2025年股权激励计划首次授予登记完成，实际授予967人，此次激励覆盖面广、考核目标明确，既设净利润复合增长率、净资产收益率等财务指标，也突出新产品销售收入占比等创新导向。在AI驱动光模块需求爆发、技术迭代加速的产业机遇期，有望进一步激发团队积极性，提升经营效率，为公司的可持续增长注入强劲动力。投资建议：公司是目前国内少数对光芯片具备战略研发能力的厂商，年产能非常可观，低速光芯片自给率较高，是国内少数量产25G以下DFB芯片的厂商，并持续突破100G和200G光芯片等高端产品。我们预计公司2025-2027年整体营业收入分别为110.50亿元、132.93亿元和153.14亿元，同比增速分别为33.58%、20.30%和15.20%。归母净利润分别为10.05亿元、13.68亿元和16.26亿元，同比增速分别为51.97%、36.14%和18.87%，EPS分别为1.25元、1.70元和2.02元，对应市盈率分别为53.61倍、39.38倍和33.13倍，维持对公司的“推荐”评级。风险提示：AI应用发展不及预期的风险；国际经济形势复杂度进一步提升的风险：AI硬件发展速度不及预期的风险：AI产业链上下游短期波动等风险。,,银河证券,推荐,[None],2025-09-04,,买入,6392098,pdf_downloads/2025/2025-09-04/002281-光迅科技（002281）：2025年半年报业绩点评：数通贡献业绩高增，垂直集成优势持续兑现.pdf,002281,光迅科技,光迅科技（002281）：2025年半年报业绩点评：数通贡献业绩高增，垂直集成优势持续兑现
马成龙,【投资要点】 受益于下游需求高景气，公司业绩高速增长。2025H1 公司实现营业收入52.43 亿元，同比+68.59%（调整后口径，同下）；归母净利润3.72亿元，同比+78.98%；扣非归母净利润3.60 亿元，同比+74.65%。单季度来看，2025Q2 实现营业收入30.21 亿元，同比+66.06%，环比+35.92%；归母净利润2.22 亿元，同比+69.55%，环比+47.94%；扣非归母净利润2.19 亿元，同比+64.17%，环比+54.82%。 持续优化业务布局并调整产品结构，数据与接入类产品毛利率显著提升。当前电信市场需求相对疲软，2025H1 传输类产品业绩承压。公司数据通信产品深度供应国内头部互联网厂商，中标份额领先，持续受益于下游算力需求的高速增长。2025H1 数据与接入类产品收入同比+149.27%至37.15 亿元，营收占比同比+22.93pct 至70.86%，同时，受产品结构、产能释放、良品率提升等综合因素影响，毛利率同比+7.13pct 至19.96%。分地区来看，2025H1 国内收入同比+91.18%至39.34 亿元，营收占比达到75.04%；海外方面，公司顺利完成了海外制造基地及武汉东湖综合保税区高端光电子器件产业基地的产能建设，2025H1 海外收入同比+24.39%至13.09 亿元。 掌握光通信领域一站式产品提供能力，有望紧抓全球AI 算力建设的历史性机遇。公司具备行业领先的从芯片到器件、模块、子系统的垂直整合能力，产品涵盖全系列光通信模块、无源光器件和模块、光波导集成器件、光纤放大器，广泛应用于骨干网、城域网、宽带接入、无线通信、数据中心等领域，产品年出货量行业前三。得益于全球算力投资的快速增长，算力中心和数据中心建设加速，高端光器件和高速光模块的市场需求持续增长。公司目前提供数据中心内和数据中心间光模块及AOC 等产品，光模块产品支持不同速率、封装方式和传输距离，通过持续加强产品迭代开发及客户技术支持，有望把握AI 算力底座对高速光连接需求的时间窗口。 完成股权激励首次授予，员工凝聚力提升助力业绩增长。2025 年5 月30 日，公司发布2025 年限制性股票激励计划首次授予完成公告，授予数量达1325.91 万股，占授予前公司总股本的1.67%，授予人数为967 人，覆盖核心管理、业务及技术骨干人员，授予价格为28.27 元/股。业绩考核方面，公司要求2025-2027 年扣非归母净利润在2023年基础上CAGR 不低于6%、7%、8%，且不低于同行业平均水平或对标企业75 分位值，并对净资产收益率和新产品销售收入占主营业务收入的比例提出了考核要求。我们认为股权激励的实施有望充分调动公司核心管理团队以及业务骨干的主动性和创造性，提升公司凝聚力，同时加强相关人员与股东的利益共享，持续带来股东回报提升。 【投资建议】 公司是全球少有的光电器件一站式服务提供商，具备领先的垂直集成技术能力，产品深度供应电信运营商及头部互联网厂商，受益于下游AI 算力建设需求高景气，业绩有望实现快速增长。我们预计公司2025-2027 年营收分别为117.47/143.49/167.56 亿元，归母净利润分别为9.85/12.46/15.29 亿元，基于2025 年9 月2 日收盘价，对应2025-2027 年PE 分别为54.67/43.23/35.24 倍。 首次覆盖，给予“增持”评级。 【风险提示】 宏观环境变化的风险。全球局势、国际贸易争端及海外贸易政策、货币政策、进出口政策均存在一定的不确定性，若宏观环境变化，公司未来经营表现可能不及预期。 行业竞争加剧的风险。AI 的快速发展为数通市场带来机遇的同时亦加剧了光模块行业厂商间的竞争，叠加相关技术升级迭代迅速，过度的竞争可能对公司业绩增速造成负面影响。 下游需求不及预期的风险。当前下游AI 算力投资不断加速，高端光器件和高速光模块需求旺盛，若后续下游投资节奏放缓、光通信产品需求出现波动，公司业绩增速可能受到不利冲击。 供应链及原材料价格波动风险。公司生产所需的部分关键原材料仍然存在交付瓶颈，若相关供应链出现短缺或原材料价格出现大幅波动，可能影响公司产品交付能力及盈利性。,,东方财富证券,增持,[None],2025-09-02,,增持,6385079,pdf_downloads/2025/2025-09-02/002281-光迅科技（002281）：财报点评：把握AI算力建设机遇，业绩高速增长.pdf,002281,光迅科技,光迅科技（002281）：财报点评：把握AI算力建设机遇，业绩高速增长
马佳伟,数通业务需求高企，收入增速显著事件：8月27日，公司发布2025年半年报，上半年实现营收52.43亿元，同比增长68.6%，实现归母净利润3.72亿元，同比增长79.0%，实现扣非归母净利润3.60亿元，同比增长74.7%。25Q2单季度来看，实现营收30.21亿元，同比增长66.1%，环比增长35.9%，实现归母净利润2.22亿元，同比增长69.3%，环比增长47.9%，实现扣非归母净利润2.19亿元，同比增长63.9%，环比增长54.8%。AI需求驱动，公司数通业务需求高企助力公司业绩高增：公司上半年营收和归母净利润分别实现68.6%和79.0%的大幅增长，具体按应用领域拆分营收，1）传输业务：2025年上半年实现营收15.17亿元，同比下降-3.7%，营收占比为28.94%，毛利率为28.37%，同比下降1.72pct；2）数据与接入业务：2025年上半年实现营收37.15亿元，同比增长149.27%，营收占比为70.86%，毛利率为19.96%，同比增长7.13pct，我们预计毛利率大幅提升可能源于高端品类出货占比增加带来的营收结构优化。按地区拆分营收，1）国内：2025年上半年实现营收39.34亿元，同比增长91.2%，营收占比为75.04%，毛利率为20.35%，同比增长0.12pct；2）国外：2025年上半年实现营收13.09亿元，同比增长24.4%，营收占比为24.96%，毛利率为29.00%，同比增长1.51pct。产能方面，公司持续提升海外制造及高端数通产品交付能力，顺利已完成了海外制造基地及武汉东湖综合保税区高端光电子器件产业基地的产能建设。费用管控良好，持续加大研发投入强化前沿领域布局，把握AI发展大机遇：费用率方面，25H1销售费用率为2.32%，较2024年全年的2.49%下降0.17pct，管理费用率为1.73%，较2024年全年的1.93%下降0.20pct，研发费用率为8.51%，较2024年全年的8.62%下降0.11pct。研发费用来看，2025H1达4.91亿元，同比大幅增长42.9%。投资建议：我们预计公司25~27年的归母净利润分别为11.04/15.05/19.00亿元，对应PE为50/37/29倍。公司是国内稀缺的光芯片/器件/模块/子系统领域全覆盖的供应商，整体实力突出，数通光模块领域产品全覆盖&光芯片自主可控，当前AI快速发展显著提振高端数通光模块需求，公司有望核心受益。此外，AI带来的数据中心互联（DCI）需求提升、接入网25G/50G PON商用化进程推进、量子通信等新兴领域的快速发展也都将为公司提供重要的发展机遇。维持“推荐”评级。风险提示：AI发展不及预期，电信需求不及预期，行业竞争加剧，原材料供应短缺。,,民生证券,推荐,[None],2025-08-31,,增持,6371631,pdf_downloads/2025/2025-08-31/002281-光迅科技（002281）：数通业务需求高企，收入增速显著.pdf,002281,光迅科技,光迅科技（002281）：数通业务需求高企，收入增速显著
李璐毅,事件：公司发布2025H1业绩预告，预计2025H1实现归母净利润3.23-4.07亿元，同比增长55.0%-95.0%，预计2025Q2归母净利润为1.73-2.57亿元，同比增长32.1%-96.2%。点评：公司受益于算力投资的快速增长，2025H1营收和净利润同比大幅增长。公司具备领先的垂直集成技术能力，产品涵盖全系列光通信模块、无源器件、光波导集成产品、光纤放大器、广泛用于数据中心、骨干网、城域网、宽带接入网、无线通信、物联网等。公司产品可分为传输类、接入类和数据通信类产品，2024年，接入和数据类产品占营收比为61.67%，传输类产品占营收比为37.50%。算力中心需求增长，数据产品的占比将逐渐增加。受益于全球算力投资的快速增长，算力中心和数据中心建设加速，推动高端光器件和高速光模块的市场需求，公司持续优化业务布局和调整产品结构，预计2025H1营收和净利润同比大幅增长。国外业务毛利率较高，数据中心光模块毛利率明显提升。公司持续加大降本力度，提升毛利率水平。2025Q1，公司销售毛利率为25.61%，同比+3.08pct，环比+5.47pct；期间费用率为15.27%，同比-0.57pct，其中，销售费用率、管理费用率、财务费用率同比-0.68pct、-0.65pct、+1.90pct。2024年公司国内、国外业务毛利率分别为20.01%、28.69%，2025Q1数据中心光模块毛利率明显提升。公司毛利率受产品结构、产能释放、良品率提升等综合因素影响，未来有望继续提高。国内业务占比较高，细分市场均排名前列。2024年公司国内业务、国际业务占营收比分别为71.7%、28.3%。国内云服务厂商加大数据中心建设，公司在国内云服务提供商中的中标份额较高。根据2024年LightCounting全球光模块厂商排名，公司位列第六。根据Omdia的统计，2023Q4-2024Q3周期内，细分市场中，数通通信光器件市场公司排名第五，市场份额为4.7%；电信光器件市场公司排名第六，市场份额为5.7%；接入光器件市场公司排名第三，市场份额为8.2%。重视研发创新，具备领先的垂直集成技术能力、一站式的产品提供能力、大规模柔性制造能力。2025Q1，研发费用同比+55.14%。公司具备从芯片到器件、模块、子系统的垂直整合能力，拥有多种类型激光器芯片、探测器芯片以及SiP芯片平台，为直接调制和相干调制方案提供支持，还拥有COC、混合集成、平面光波导、微光器件、MEMS 器件等封装平台，为相关产品提供支持。公司在光通信传输网、接入网和数据中心等领域构筑全方位的综合解决方案及柔性制造与高质量交付能力，产品年出货量行业前三。算力基础设施产业链景气度高，光模块产业持续受益。电信光器件市场需求逐渐回暖，接入光器件市场将于2025年开始复苏，中美云厂商持续加码AI算力领域投入，AI成为数据通信市场的主要驱动力。以太网光模块目前及未来都将是数通光器件市场的主流产品。LightCounting预计2024-2029年全球数通光模块市场CAGR将达到27%。海内外各大厂商在大模型、云计算、搜索及广告、生产力工具等赛道积极拥抱AI商业化浪潮，发力布局AI大模型应用及产品服务，带动算力基础设施产业链的高景气度，AI产业链中光模块等产业持续受益。盈利预测及投资建议：国内光模块需求同比大幅度增长，海外需求稳步上升，作为全球少有的光电器件一站式服务提供商，公司持续受益于国产算力发展。我们预计公司2025-2027年归母净利润分别为11.77亿元、15.09亿元、18.11亿元，对应PE分别为35.45X、27.65X、23.03X，首次覆盖，给予“买入”评级。风险提示：国际贸易争端风险；AI发展不及预期；行业竞争加剧；供应链风险。,,中原证券,买入,[None],2025-07-31,,买入,6267505,pdf_downloads/2025/2025-07-31/002281-光迅科技（002281）：高速率光模块批量出货，国内云厂商中标份额领先.pdf,002281,光迅科技,光迅科技（002281）：高速率光模块批量出货，国内云厂商中标份额领先
"余伟民,王彦龙,黎明聪",中报业绩高增长，数通业务贡献显著；2025 股权激励完成授予，更好鼓舞力争上游投资要点：维持盈利预测 和目标价，维持增持评级。公司公告2025 年半年度业绩预告，我们维持公司2025-2027 年归母净利润至13.45/16.17/18.65亿元，对应EPS 为1.67/2.00/2.31 元。维持目标价69.70 元，维持增持评级。中报业绩高增长，数通业务贡献显著。公司公告2025 年半年度业绩预告，上半年实现归属于母公司净利润为3.23-4.07 亿元，同比增长55.00%-95.00%。单看Q2，实现归母净利润为1.73-2.57 亿元，而2024Q2 为1.23 亿元，依然是同比大幅增长。从行业看，随着全球算力投资的高速增长，国内互联网等厂商对AI 投入的需求也在涌现，带动了国内高速光模块的需求。2025 股权激励完成授予，更好鼓舞力争上游。2025 年5 月30 日，公司公告2025 年限制性股票激励计划首次授予完成公告，首次授予达到967 人，覆盖核心骨干人员和主要管理层。我们认为本次股权激励覆盖全面，在当前AI 市场大幅增长的时间窗口，有望更好的鼓舞公司员工，未来公司的业绩成长性值得期待。催化剂：业绩高增长；行业订单落地风险提示：行业需求低于预期。,,国泰海通,增持,[None],2025-07-17,,买入,6231862,pdf_downloads/2025/2025-07-17/002281-光迅科技（002281）：公司更新报告：业绩高增长，数通贡献显著.pdf,002281,光迅科技,光迅科技（002281）：公司更新报告：业绩高增长，数通贡献显著
"余伟民,王彦龙,黎明聪",本报告导读：Q4营收创历史新高，良率爬坡带动毛利率回升；研发投入持续增加，核心领域已有成果交付。投资要点：下调盈利预测，上调目标价，维持增持评级。公司发布2024年年报及2025年一季报，考虑2025Q1业绩情况和后续达产节奏，我们下调并更新2025-2027年归母净利润至13.45/16.17/18.65亿元 (前值14.76/19.14/-亿元)，对应EPS 1.70/2.04/2.35元。考虑行业当前平均估值，给予2025年41x PE，上调目标价至69.7元（前值为55.8元），维持增持评级。Q4营收创历史新高，良率爬坡带动毛利率回升。公司发布2024年年报及2025年一季度业绩。其中2024年营收82.72亿元，同比增长36.49%，归母净利润6.61亿元，同比增长6.82%。2024Q4单季度实现营收28.95亿元，创单季度历史新高。2025Q1 公司实现营收22.22亿元，同比增长72.14%。毛利率层面，2024Q3-2025Q1分别为25.10%/20.14%/25.61%，波动原因主要为2024Q4公司有在建工程密集转固开始折旧，拖累了Q4季度毛利率。随着公司产能良率逐渐爬坡，最新季度毛利率已经整体回升至25%。研发投入持续增加，核心领域已有成果交付。从2024年报看，公司研发人员相比2023年增加近150人，研发投入同比增长26.96%。具体方向看，公司积极投入高速光电子芯片（包括激光器、探测器、薄膜铌酸锂）、相干光模块器件、车载光电子领域，当前公司部分领域如高速光电子芯片已经开始释放交付，超带宽光放大器已经开始批量交付，800G/1.6T AI光模块也开始部分交付，成果较为显著。催化剂：国内需求放量；新客户导入；新工厂启用。风险提示：国内需求放缓，公司降本不及预期。,,国泰海通,增持,[None],2025-05-03,,买入,6644230,pdf_downloads/2025/2025-05-03/002281-光迅科技（002281）：2024年报和2025年一季报业绩点评：Q4季度营收创新高，研发投入持续增加.pdf,002281,光迅科技,光迅科技（002281）：2024年报和2025年一季报业绩点评：Q4季度营收创新高，研发投入持续增加
