author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
张志邦,主要观点：事件：公司发布2025年三季报公司发布2025年三季报，前三季度实现营业收入73.99亿元，同比增长33.92%；归母净利润5.03亿元，同比增长8.30%；扣非净利润3.87亿元，同比增长20.38%。其中，2025年Q3单季度实现营业收入29.67亿元，同比增长49.54%；归母净利润1.92亿元，同比增长8.02%；扣非净利润1.36亿元，同比增长29.36%。在行业调整期，公司业绩展现出较强韧性，盈利能力保持行业领先水平。公司产品种类丰富，各类新品研发进展顺利公司已在高镍、中镍高电压、磷酸铁锂及下一代固态电池材料等领域形成完整产品布局。1) 多元材料技术领先：公司高镍、超高镍NCM/NCA及中镍高电压等多元材料技术持续领跑，产品已批量供应全球高端电池客户。2) 固态电池材料取得关键突破：公司行业首创的氯碘复合硫化物电解质可将全固态电池工作压力显著降低至5MPa以内，解决了行业关键痛点，目前样品在多家头部企业评测效果显著。公司已建成数吨级固态电解质小试线。配套的固态专用高镍正极（支持>400Wh/kg电池）和富锂锰基正极已实现10吨级出货。持续开拓海内外客户，国内市场渗透率持续提升公司持续开拓海内外客户，海外方面，与LGES、SK on、三星SDI、Murata、欧美大客户等国际巨头建立深度合作关系，并与LGES、SK on两大锂电巨头签订未来三年上百亿元订单，为未来销量和盈利奠定了坚实基础，产品配套进入大众、现代、戴姆勒、宝马等海外高端新能源车企。国内方面，公司成功批量导入国内主流新能源汽车及动力电池企业，深度绑定中创新航、瑞浦兰钧、宜春清陶等客户，配套用于理想、蔚来、长城、广汽等国内高端车企，市场渗透率持续上升。投资建议：公司技术研发领先，固态进展顺利，但行业竞争加剧。我们调整公司25/26/27年归母净利润至7.79/10.91/13.19亿元（25/26年预测前值为9.08/11.03亿元），对应 P/E 为40x/29x/24x，维持“买入”评级。风险提示：新能源车需求不及预期；下游市场增速不及预期；原材料价格大幅上涨；行业竞争加剧；客户拓展不及预期等。,,华安证券,买入,[None],2025-11-21,,买入,8162791,pdf_downloads/2025/2025-11-21/300073-当升科技（300073）：固态深度布局，三元正极加速出海.pdf,300073,当升科技,当升科技（300073）：固态深度布局，三元正极加速出海
武佳雄,"当升科技正极材料销量同比大幅增长，固态材料有望放量公司发布2025年三季报，前三季度实现盈利5.03亿元，同比增长8.30%。公司正极材料销量实现同比大幅增长，铁锂材料实现盈利，固态电池材料有望放量，未来业绩有望提升。维持增持评级。支撑评级的要点2025年前三季度盈利同比增长8.30%：公司发布2025年三季报，前三季度实现营收73.99亿元，同比增长33.92%，实现盈利5.03亿元，同比增长8.30%，扣非盈利3.87亿元，同比增长20.38%。其中，2025Q3实现盈利1.92亿元，同比增长8.02%，环比下降4.43%，扣非盈利1.36亿元，同比增长29.36%，环比下降26.42%。铁锂材料实现盈利，国际客户销量大幅提升：出货方面，2025年第三季度，公司锂电正极材料销量实现同比大幅增长，市场竞争力不断增强。其中，多元材料出货量超过15,000吨，磷酸铁锂业务产销两旺并实现盈利，销量同比实现大幅增加，出货量达23,000吨，已跻身国内磷酸铁锂电池主流厂商战略供应商行列。国际市场方面，2025年第三季度，公司国际客户销量同比大幅提升。公司与LGES、SK on签订的战略供货协议顺利履行，已成为公司未来三年业绩稳定增长的重要贡献来源。固态电池正极材料规模化出货，氯碘复合硫化物电解质开启客户验证：固态电池正极材料方面，公司全固态电池用超高镍多元材料和超高容量富锂锰基材料已经实现20吨级以上批量供货。电解质方面，公司为适配全固态电池技术，已率先开发出具有良好界面浸润性的新型氯碘复合硫化物固态电解质。目前公司已完成硫化物固态电解质数吨级小试线建设，产品已进入多家头部客户验证阶段。",,中银国际,增持,[None],2025-10-31,,增持,7087635,pdf_downloads/2025/2025-10-31/300073-当升科技（300073）：正极材料销量同比大幅增长，固态材料有望放量.pdf,300073,当升科技,当升科技（300073）：正极材料销量同比大幅增长，固态材料有望放量
于庭泽,投资摘要事件概述10月24日，公司发布2025年第三季度报告。2025Q1-Q3，公司实现营业收入 73.99 亿元，同比+33.92%；归母净利润 5.03 亿元，同比+8.30%；扣非归母净利润 3.87 亿元，同比+20.38%。单季度来看，2025Q3，公司实现营业收入 29.67 亿元，同比+49.54%，环比+17.52%；归母净利润 1.92 亿元，同比+8.02%，环比-4.43%；扣非归母净利润1.36亿元，同比+29.36%，环比-26.42%。正极材料出货规模大幅增长。截至2025年第三季度，公司出货量累计达到11万吨，同比大幅增长。多元材料：25Q3出货量超过15000吨，在国内外头部客户快速放量，为公司盈利的稳定增长奠定基础。磷酸铁锂：25Q3出货量达23000吨，产销两旺并实现盈利，累计销量已达6.7万吨，将成为公司新的业绩增长极。产能方面，攀枝花首期一阶段4 万吨产能已建成，首期二阶段项目年产 8 万吨产线预计 2025 年底建成投产，建成后，公司磷酸（锰）铁锂正极材料自有产能将大幅增加至 12 万吨。固态电池材料领域持续取得突破。技术研发方面，公司全固态正极材料和硫化物电解质取得突破性进展。全固态正极材料方面，全固态电池用超高镍多元材料和超高容量富锂锰基材料已实现 20 吨级以上批量供货。其中，全固态专用的高镍多元材料在全固态电池当中的性能发挥（循环、容量等）已经接近液态电池的水平，电池的能量密度则超过400Wh/kg，远超当前液态电池的能量密度水平。固态电解质方面，公司已率先开发出具有良好界面浸润性的新型氯碘复合硫化物固态电解质，在保持高离子电导率的基础上，可以显著降低全固态电池使用压力，有效解决固固界面接触难题。目前公司已完成硫化物固态电解质数吨级小试线建设，产品已进入多家头部客户验证阶段。投资建议我们预测2025-2027年公司营业收入分别为102.99/133.72/154.69亿元，同比增速分别为35.6%、29.8%、15.7%，归母净利润分别为6.92/8.66/9.81亿元， 同比增速分别为46.6%、25.2%、13.2%。维持“买入”评级。风险提示产能建设不及预期，需求不及预期，行业竞争加剧，技术路线变化,,上海证券,买入,[None],2025-10-30,,增持,7052569,pdf_downloads/2025/2025-10-30/300073-当升科技（300073）：出货稳步提升，铁锂盈利改善.pdf,300073,当升科技,当升科技（300073）：出货稳步提升，铁锂盈利改善
"王蔚祺,李全",公司2025Q3实现归母净利润1.92亿元，同比+8%。公司2025年前三季度实现营收73.99亿元、同比+34%；实现归母净利润5.03亿元、同比+8%；实现扣非归母净利润3.87亿元、同比+20%。公司2025Q3实现营收29.67亿元，同比+50%、环比+18%；实现归母净利润1.92亿元，同比+8%、环比-4%；实现扣非归母净利润1.35亿元，同比+29%、环比-26%。公司三元正极销量稳步提升。我们估计2025Q3公司三元正极销量近1.5万吨，同比增长超50%、环比增长7%；Q3三元正极单吨净利润约为1万元、环比有所下滑，主要系国内外出货结构有所变化。2025年以来，公司与SKOn、LG新能源等客户先后签署三元正极供货协议，客户合作持续深化。展望后续，欧洲新能源车需求有望回暖、公司海外客户拓展持续取得新进展，三元正极出货量有望持续提升。同时，公司三元正极产能利用率或将持续改善，叠加出货结构持续优化，三元正极盈利能力有望稳中向好。公司磷酸盐系正极出货快速增长，Q3实现扭亏为盈。我们估计2025Q3公司磷酸盐系正极销量近2.3万吨，环比增长14%。在产能利用率持续高位背景下，公司磷酸盐系正极业务规模优势与成本控制能力持续体现，Q3实现扭亏为盈。公司目前深度绑定中创新航、瑞浦兰钧等国内领先动力及储能电池客户。同时，公司持续推进产能扩张，随着攀枝花首期项目年产12万吨的建成投产，公司客户保障能力有望显著提升。公司在固态电池材料等领域积极布局。正极材料方面，公司半固态电池用正极材料已经实现累计超千吨级出货；全固态电池用超高镍多元材料和超高容量富锂锰基材料已实现20吨级以上批量供货。固态电解质方面，公司已率先开发出具有良好界面浸润性的新型氯碘复合硫化物固态电解质，可以显著降低全固态电池使用压力，有效解决固固界面接触难题。目前公司已完成硫化物固态电解质数吨级小试线建设，产品已进入多家头部客户验证阶段。风险提示：电动车销量不及预期；原材料价格大幅波动；高镍需求不及预期。投资建议：上调盈利预测，维持“优于大市”评级。基于欧洲补贴政策推动下新能源车市场需求回暖对于公司出货的积极影响，我们上调盈利预测，预计2025-2027年公司实现归母净利润7.97/10.82/13.54亿元（原预测为6.45/8.26/10.01亿元），同比+68%/+36%/+25%，EPS分别为1.46/1.99/2.49元，动态PE为47.0/34.6/27.7倍。,,国信证券,优于大市,[None],2025-10-28,,买入,6916098,pdf_downloads/2025/2025-10-28/300073-当升科技（300073）：正极材料出货持续提升，固态电池材料布局快速推进.pdf,300073,当升科技,当升科技（300073）：正极材料出货持续提升，固态电池材料布局快速推进
"曾朵红,阮巧燕,胡锦芸",Q3业绩符合预期。公司25Q1-3营收74亿元，同+33.9%，归母净利润5亿元，同+8.3%，毛利率12.8%，同-0.4pct，归母净利率6.8%，同-1.6pct；其中25Q3营收29.7亿元，同环比+49.5％/+17.5％，归母净利润1.9亿元，同环比+8%/-4.4％，毛利率12%，同环比+0.6/-3pct，归母净利率6.5%，同环比-2.5/-1.5pct。三元：充分受益于欧洲电动化新周期，盈利水平将稳步提升。出货端，25Q1-3正极材料出货约11万吨，同增70%+，其中Q3正极出货4万吨，环增14%。三元正极25Q1-3出货约4万吨，同增30%+，其中Q3出货约1.5万吨，环比略增。根据LGES、SK On长期供货协议，我们预计25年公司三元正极出货近6万吨，同增40-50%，26年有望同增30-40%。盈利端，我们测算Q3三元正极单吨利润1万元+，环比略降，主要由于国际客户占比略有下降；随着LGES放量，国际客户占比保持增长态势，我们预计盈利水平稳步提升。铁锂：25Q3出货环增10%+，单吨净利大幅提升至600-700元。出货端，25Q1-3铁锂正极出货约6.3万吨，同比翻倍以上增长，其中Q3出货近2.3万吨，环增10%+。公司现有4万吨自有产能+7-8万吨代工厂产能，攀枝花首期二阶段8万吨25年内投产，我们预计25年铁锂出货近10万吨，同增约70%，26年有望同增60-70%。盈利端，我们测算25Q3铁锂单吨净利约600-700元，环比扭亏，随着锂价反弹且自有产能投产，我们预计铁锂盈利趋势向好。全固态电池专用正极材料率先出货，固态电解质进展领先。公司固态锂电材料持续放量，其中硫化物全固态电池专用正极材料率先实现十吨级出货，双相复合正极材料已导入清陶、卫蓝、辉能等多家客户。硫化物电解质方面，公司已建成10吨级小试线并正常运行，26年计划建成千吨级产线，将实现百吨级出货。Q3汇兑损失影响财务费用率，现金流环比提升明显。公司25Q1-3期间费用率6.6%，同-0.4pct，其中Q3费用率6.4%，同环比-0.8/+0.1pct；Q3汇兑损失0.17亿元，公允价值变动收益0.26亿元。25Q1-3经营性净现金流7.3亿元，同-36.7%，其中Q3经营性现金流3.4亿元，同环比-50.9%/1069%；25Q1-3资本开支11亿元，同71%，其中Q3资本开支4.9亿元，同环比135.9%/-1.5%；25Q3末存货16亿元，较年初51.1%。盈利预测与投资评级：我们维持2025-2027年盈利预测，预计2025-2027年公司归母净利润8.0/10.5/13.7亿元，同比+ 70%/+31%/+30%，对应PE为46x/35x/27x，考虑公司固态技术领先，可给予估值溢价，给予26年50x PE，目标价97元，维持“买入”评级。风险提示：产能释放不及预期，需求不及预期。,,东吴证券,买入,[None],2025-10-27,,买入,6835796,pdf_downloads/2025/2025-10-27/300073-当升科技（300073）：三元受益于欧洲电动化新周期，铁锂盈利大幅改善.pdf,300073,当升科技,当升科技（300073）：三元受益于欧洲电动化新周期，铁锂盈利大幅改善
"刘俊,边文姣",2025年10月25日│中国内地 电力设备与新能源 公司发布三季报，25Q3收入29.67亿元，同/环比+49.5%/+17.5%，归母净利1.92亿元，同/环比+8.0%/-4.4%，扣非净利1.36亿元，同/环比+29.4%/-26.4%，Q3三元材料海外客户占比下滑，一定程度上影响公司利润释放。公司未来海外三元订单有望持续攀升，铁锂有望逐步增厚盈利，固态电池材料等多种新技术进展积极，我们维持“增持”评级。受客户结构影响Q3三元单吨盈利环减，铁锂实现扭亏为盈根据公司业绩会，公司25Q3三元及钴酸锂出货量1.65万吨，环增约18%，单吨净利超1万元/吨，环比有所下滑，主要系Q2存在原材料涨价的库存收益+Q3三元海外客户出货占比阶段性下滑。公司25Q3磷酸铁锂出货量约2.3万吨，环增约10%，产能利用率维持高位，单吨盈利约700元，实现扭亏为盈，随后续铁锂产线投产爬坡，我们预计铁锂盈利有望进一步提升。三元正极：国内外客户资源优质，海外产能有望释放公司三元正极业务国内外进展俱佳：1）国内市场方面，高镍、中镍高电压产品已批量导入亿纬锂能、比亚迪、远景等电池厂商；2）海外市场方面，公司与LGES、SK on、三星SDI、Murata、欧美大客户等建立深度合作关系，今年与LGES、SK on签订未来三年超百亿元订单。公司芬兰基地预计一期6万吨三元材料在26年底实现试生产，后续有望贡献业绩增量。磷酸铁锂：高压实技术持续推进，新技术有望享受更高溢价公司持续加快高压实磷酸铁锂产品开发，压实密度2.58g/cm³的三代半产品已稳定量产供货，压实密度2.68g/cm³的四代半产品出货量不断提升，第五代超高压实密度磷酸铁锂产品验证进展顺利并完成头部客户导入，我们看好公司高压实铁锂产品享受更高的产品溢价，带动公司铁锂业务盈利提升。布局含碘固态电解质，战略合作加速产业化进程针对固态电解质，公司已完成氧化物电解质百吨级中试线建设和硫化物电解质数吨级小试线建设。针对固态电解质目前面临的固固界面技术障碍，公司研发出具备良好界面浸润性的氯碘复合硫化物电解质，产品已在头部客户批量验证，公司在10月公告与博苑股份达成共同研发硫化物—碘化锂电解质的战略合作协议，技术协同下含碘固态电解质产业化或将进一步加速。新技术布局卡位优异，高附加值产品有望陆续放量1）固态用正极：公司全固态正极材料采用超稳定快离子导体修饰工艺，在全固态电池体系中实现了超高容量、长循环寿命，已开始10 吨级的批量出货，相关产品已导入清陶、卫蓝、赣锋锂电等多家固态电池客户；2）高倍率钴酸锂：公司高容量高电压钴酸锂产品在数码类电子高端产品和头部锂电厂商实现批量供货，其中已实现锂威客户的百吨级出货。维持“增持”评级考虑到公司铁锂实现扭亏，三元业务持续上量，我们26-27年上修铁锂盈利能力及三元出货量假设，预计25-27年归母净利8.94/12.49/14.41亿元（前值8.94/11.46/12.94亿元，上修0%/9%/11%）。参考可比公司26年Wind一致预期下平均PE 26倍（前值25年28倍），考虑到公司海外三元出货回暖，高镍产线陆续在海外布局有望放量，固态电池新技术进展积极，给予公司26年目标PE 33倍（前值25年34倍），对应目标价75.57元（前值55.76元），维持“增持”评级。风险提示：新能源车销量不及预期；客户开拓不及预期；行业竞争加剧。,,华泰证券,增持,[None],2025-10-26,,增持,6791243,pdf_downloads/2025/2025-10-26/300073-当升科技（300073）：Q3铁锂实现盈利，固态进展积极.pdf,300073,当升科技,当升科技（300073）：Q3铁锂实现盈利，固态进展积极
于庭泽,投资摘要锂电正极材料龙头，产品矩阵丰富。公司深耕正极材料二十余年，业务涵盖多元材料、磷酸（锰）铁锂、钠电材料、钴酸锂和多元前驱体等正极材料的研发、生产和销售，广泛应用于电动汽车、储能设施及3C电子产品等领域。截至2025年上半年，公司已拥有锂电材料产能7.4万吨，多元材料产能国内领先，在建产能包括攀枝花基地年产8 万吨磷酸（锰）铁锂正极材料产线和芬兰基地年产6 万吨高镍多元材料产线。技术实力保持业内领先，新兴领域充分前瞻布局。公司已在高镍、超高镍、中镍高电压、磷酸铁锂、钴酸锂及下一代电池材料等领域形成了完整的产品布局，其中，高镍和超高镍多元材料技术持续领跑行业发展。固态电池产业化在即，公司系统布局氧化物、硫化物、卤化物等固态电池材料体系，全固态正极材料已批量出货。全球化战略深入推进，卡位高端产业链。公司多元材料多项产品作为行业标杆，深度绑定优质国内外客户，海外市场方面，与LGES、SK on、三星SDI、Murata等国外客户建立深度合作关系，进入海外高端新能源车企供应链；国内市场方面，高镍、中镍高电压产品批量导入亿纬锂能、比亚迪等国内主流动力电池厂商。积极拓展磷酸（锰）铁锂业务，深度绑定中创新航、中汽新能、瑞浦兰钧、宜春清陶、Power Co 等国内外客户，在动力、储能及EV 领域实现应用。投资建议我们预测2025-2027年公司营业收入分别为102.99/133.72/154.69亿元，同比增速分别为35.6%、29.8%、15.7%，归母净利润分别为6.92/8.72/9.87亿元， 同比增速分别为46.6%、26.0%、13.2%，EPS 为1.27/1.60/1.81元/股，2025年10月22日收盘价对应PE分别为50.57x、40.12x、35.45x。首次覆盖，给予“买入”评级。风险提示产能建设不及预期，需求不及预期，行业竞争加剧，技术路线变化,,上海证券,买入,[None],2025-10-23,,增持,6691949,pdf_downloads/2025/2025-10-23/300073-当升科技（300073）：首次覆盖：正极龙头全球化布局，卡位固态关键材料.pdf,300073,当升科技,当升科技（300073）：首次覆盖：正极龙头全球化布局，卡位固态关键材料
"曾朵红,阮巧燕,胡锦芸",事件：当升科技在投资者关系活动中介绍了公司在固态锂电正极材料、富锂锰基材料、固态电解质、三元材料、钴酸锂产品、磷酸（锰）铁锂业务以及国际市场开发等方面的进展。其中，公司固态锂电正极材料已实现10吨级批量出货，并导入多家固态电池客户。同时，公司在富锂锰基材料方面已突破关键技术问题，开发出中高容量和超高容量产品。此外，公司在固态电解质方面已成功开发出多种电解质体系，并实现规模化供应能力。三元构筑持续盈利基石，铁锂后发优势逐步凸显。三元正极方面，我们预计25-27年出货6/8/11万吨，同增50%/33%/38%，重点布局欧洲市场，国际客户占比保持60%，主供LG、SK、村田等；芬兰首期NCM 6万吨预计26年11月建成，二期LFP/LMFP预计27年12月建成。铁锂正极方面，采用一烧极简工艺，我们预计25-27年出货11/20/30万吨，同增90%/100%/50%，主供中航、瑞浦、欣旺达、亿纬等。钴酸锂正极方面，25H1倍率型市占率超50%，我们预计25-27年出货0.6/0.85/1万吨，同增100%/42%/18%，主供实达、亿纬、豪鹏、锂威、冠宇等。固态材料关键卡位，三大五新实现突围。电解质方面，硫化物与比亚迪、吉利、一汽、中航等合作，我们预计全年出货50吨，26年实现超百吨级出货，与宁德时代后续有望实现合作突破。公司开发氯碘复合硫化物，离子电导率10mS/cm，满足＜5Mpa使用，已实现稳定制备，并具备规模化供应能力。正极方面，25年看，全固态NCM已实现十吨级出货，与主流厂商均有合作，富锂锰基实现吨级出货，与卫蓝、清陶、欣界、辉能、一汽等合作，27年看，全固态NCM有望实现千吨级出货，富锂锰基实现百吨级出货。公司开发液态LRM中高容量（220-250mAh/g），固态LRM高容量（＞280mAh/g），综合性能行业领先。盈利预测与投资评级：考虑公司盈利能力显著提升，我们上调2025-2027年盈利预测，预计2025-2027年公司归母净利润8.0/10.5/13.7亿元（原预期7.0/8.4/11.4亿元），同比+ 70%/+31%/+30%，对应PE为43x/33x/25x，维持“买入”评级。风险提示：产能释放不及预期，需求不及预期。,,东吴证券,买入,[None],2025-09-26,,买入,6483344,pdf_downloads/2025/2025-09-26/300073-当升科技（300073）：三元构筑盈利基石，固态材料实现关键卡位.pdf,300073,当升科技,当升科技（300073）：三元构筑盈利基石，固态材料实现关键卡位
杨鑫,事件：公司发布2025年半年度报告，公司2025年上半年实现营收44.32亿元，同比增长25.17%，实现归母净利润3.11亿元，同比增长8.47%。二季度盈利能力修复：公司2025年上半年实现营收44.32亿元，同比增长25.17%，实现归母净利润3.11亿元，同比增长8.47%。单看第二季度，公司实现营收25.24亿元，同比增长24.69%，环比增长32.31%，实现归母净利润2.01亿元，同比增长13.63%，环比增长81.27%。利润率方面，公司第二季度的毛利率和净利率分别为15.04%和7.38%，盈利能力明显修复。产品布局完善：公司已在高镍、超高镍、中镍高电压、磷酸铁锂、钴酸锂及下一代电池材料等领域形成了完整的产品布局。2025上半年，公司高镍和超高镍多元材料技术持续领跑行业发展，续航、安全、寿命、效率以及低温性能指标全面提升，已率先批量供应全球高端电池客户。同时，针对大圆柱电池对快充、高倍率等性能的要求，公司开发出了高容量、高压实密度、长寿命、低阻抗的高镍正极材料，出货同比大幅增长。中镍高电压多元材料实现了5、6、7、8 系全覆盖，技术不断迭代升级，已成为业界标杆广泛供货于国内外知名电池生产商及全球高端电动汽车。磷酸铁锂材料方面，产品持续迭代升级，在压实密度、比容量等关键技术指标上达到行业领先水平，全方位满足车企及储能系统客户不同应用场景产品需求。布局多种固态锂电材料：公司系统布局氧化物、硫化物、卤化物等固态电池材料体系。半固态正极材料采用新一代双相复合工艺，解决了超高镍正极材料安全性差、产气严重等实用化问题，实现了在半固态体系中的本质安全、超低阻抗和宽温域下优异的低高温性能；全固态正极材料采用超稳定快离子导体修饰工艺，解决了固态电解质与正极材料界面阻抗大、副反应严重等瓶颈难题，实现了在全固态电池体系中超高容量发挥、超长循环寿命；固态电解质技术保持行业领先，通过特殊组分设计技术调控锂离子通道和多元素靶向修饰工艺稳定材料结构，成功开发出高离子电导率、微纳米粒径可控调节的硫化物及氧化物固态电解质并已实现稳定制备，具备规模化供应能力。  投资建议：预计公司2025-2027年实现归母净利润7.09、9.40、13.12亿元，对应当前PE分别为37.62、28.37、20.33倍，公司产品布局完善，海外基地稳步推进，首次覆盖，给予公司“增持”评级。风险提示：技术路线发生重大变化；政策风险；竞争加剧；产品价格大幅波动。,,财信证券,增持,[None],2025-09-04,,增持,6392337,pdf_downloads/2025/2025-09-04/300073-当升科技（300073）：盈利修复，产品布局完善.pdf,300073,当升科技,当升科技（300073）：盈利修复，产品布局完善
"申建国,边文姣",2025年8月29日│中国内地 电力设备与新能源 公司发布中报，25Q2收入25.24亿元，同/环比+24.7%/+32.3%，归母净利2.01亿元，同/环比+13.6%/+81.3%，扣非净利1.85亿元，同/环比+64.4%/+177.4%，归母环比提升明显，主要系三元海外出货回暖+原材料库存收益+铁锂扭亏明显。公司25年海外三元订单有望持续攀升，铁锂盈利逐步修复，积极布局固态等新技术，维持“增持”评级。25Q2三元出货环比高增，铁锂出货基本环比持平我们推测公司25Q2三元正极出货量约1.4万吨，环增约40%，单吨净利超1.3万元/吨，环比大幅提升，主要系原材料涨价的库存受益+国际客户占比提升。我们推测公司25Q2磷酸铁锂出货量超2万吨，环比基本持平，产能利用率维持高位，随产线投产爬坡，未来盈利有望环比减亏。三元正极：海外订单回暖，25年出货量有望高增25年初公司相继公告与LG、SK等海外客户的长期订单，海外订单有望逐步放量。根据公司业绩会，公司维持25年三元出货量增长40%-50%的指引；受益于国际客户占比的提高，盈利情况有望同步提高。磷酸铁锂：产能持续释放，有望逐步扭亏公司磷酸铁锂产品大部分应用于储能领域，当前基本实现满产满销，有望逐步扭亏为盈。公司目前攀枝花一期+代工厂铁锂产能超10万吨，下半年攀枝花二期放量也有望增厚铁锂出货及盈利；同时公司正集中优质资源推进芬兰工厂建设，预计25年10月底完成第一批设备工厂验收并发货。积极布局新技术，实现技术卡位公司积极布局新兴技术路径研发及市场推广，有望受益于未来下游需求的起量：1）固态电解质：硫化物及氧化物固态电解质已实现稳定制备，具备规模化供应能力；2）固态用正极：针对硫化物固态电池的正极出货量已接近10吨；半固态用正极25H1出货接近千吨级，主要用于机器人无人机等；3）锰铁锂：锰铁锂已开始小批量供货，下半年放量；4）尖晶石：尖晶石材料与客户进行吨级规模测试，今年年底或明年上半年有望放量。维持“增持”评级考虑到海外三元出货回暖，我们上修公司三元正极材料出货量及毛利率假设，预计25-27年归母净利8.94/11.46/12.94亿元（前值7.84/9.20/10.18亿元，上修14%/25%/27%）。参考可比公司25年Wind一致预期下平均PE 28倍（前值19倍），考虑到公司海外三元出货回暖，高镍产线陆续在海外布局有望放量，给予公司25年目标PE 34倍（前值31倍），对应目标价55.76元（前值48.05元），维持“增持”评级。风险提示：新能源车销量不及预期；客户开拓不及预期；行业竞争加剧。,,华泰证券,增持,[None],2025-08-31,,增持,6370526,pdf_downloads/2025/2025-08-31/300073-当升科技（300073）：三元海外出货回暖，铁锂产能上量.pdf,300073,当升科技,当升科技（300073）：三元海外出货回暖，铁锂产能上量
