author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"訾猛,颜慧菁,程碧升,陈力宇",投资建议：维持“增持”评级。考虑到公司作为VDS行业标杆企业，随着消费逐渐复苏、大单品逐渐放量、渠道改革红利逐渐显现，未来有望保持稳健增长，给予一定估值溢价，给予公司26年28倍PE目标价14.56元/股，维持“增持”评级。业绩恢复增长。25年前三季度公司收入49.15亿元、同比-14.27%，归母净利润9.07亿元、同比+4.45%，扣非归母净利润8.27亿元、同比+2.44%。25Q3收入13.83亿元、同比+23.45%，归母净利1.71亿元、同比扭亏转正，扣非净利1.33亿元、同比扭亏转正。经营性现金流量净额2.79亿元，同比+498%。产品、运营持续优化。公司单三季度收入、利润均实现增长，一方面因为基数较低，另外也得益于公司在产品和运营端的持续优化。产品端，推进全渠道货盘区隔，其中主品牌线上、线下区隔度达七成；其次进行主要品类迭代升级，提升拉新率和动销率，线下推出大众价格带产品，今年整体有接近20%的收入是由新品贡献。运营端，线上提升效率、线下激活经销商团队及服务力。盈利能力改善显著。2025Q3毛利率同比+3.25pct至68.56%，我们预计主要系高毛利率产品占比提升所致。规模效应下期间费用率下行明显，2025Q3销售/管理/研发/财务费用率分别同比-10.03/-2.71/-2.35/-0.05pct至43.98%/10.54%/1.8%/-0.33%，扣非归母净利率同比+11.81pct至9.65%。主要品牌恢复增长。25Q3分渠道看，线下6.69亿元、同比+39.38%，线上7.04亿元、同比+11.22。2025Q3分产品看，主品牌/健力多/Lifespace国内/境外LSG收入为7.88/1.63/0.4/1.86亿元，分别同比+40.97%/+52.34%/-34.43%/+7.51%。风险提示。行业竞争加剧，监管趋严，食品安全等。,,国泰海通,增持,[None],2025-11-24,,买入,8169936,pdf_downloads/2025/2025-11-24/300146-汤臣倍健（300146）：公司跟踪报告：持续调整，恢复增长.pdf,300146,汤臣倍健,汤臣倍健（300146）：公司跟踪报告：持续调整，恢复增长
"Meng Zi,Huijing Yan,Bisheng Cheng",本报告导读：低基数下，优化产品、运营，业绩恢复增长。投资要点：投资建议：维持“优于大市”评级。考虑到公司作为VDS行业标杆企业，随着消费逐渐复苏、大单品逐渐放量、渠道改革红利逐渐显现，未来有望保持稳健增长，给予一定估值溢价，给予公司26年28倍PE目标价14.56元/股，维持“优于大市”评级。业绩恢复增长。25年前三季度公司收入49.15亿元、同比-14.27%，归母净利润9.07亿元、同比+4.45%，扣非归母净利润8.27亿元、同比+2.44%。25Q3收入13.83亿元、同比+23.45%，归母净利1.71亿元、同比扭亏转正，扣非净利1.33亿元、同比扭亏转正。经营性现金流量净额2.79亿元，同比+498%。产品、运营持续优化。公司单三季度收入、利润均实现增长，一方面因为基数较低，另外也得益于公司在产品和运营端的持续优化。产品端，推进全渠道货盘区隔，其中主品牌线上、线下区隔度达七成；其次进行主要品类迭代升级，提升拉新率和动销率，线下推出大众价格带产品，今年整体有接近20%的收入是由新品贡献。运营端，线上提升效率、线下激活经销商团队及服务力。盈利能力改善显著。2025Q3毛利率同比+3.25pct至68.56%，我们预计主要系高毛利率产品占比提升所致。规模效应下期间费用率下行明显，2025Q3销售/管理/研发/财务费用率分别同比-10.03/-2.71/-2.35/-0.05pct至43.98%/10.54%/1.8%/-0.33%，扣非归母净利率同比+11.81pct至9.65%。主要品牌恢复增长。25Q3分渠道看，线下6.69亿元、同比+39.38%，线上7.04亿元、同比+11.22。2025Q3分产品看，主品牌/健力多/Lifespace国内/境外LSG收入为7.88/1.63/0.4/1.86亿元，分别同比+40.97%/+52.34%/-34.43%/+7.51%。风险提示。行业竞争加剧，监管趋严，食品安全等。,,海通国际证券,优于大市,[None],2025-11-24,,买入,8168432,pdf_downloads/2025/2025-11-24/300146-汤臣倍健（300146）：公司跟踪报告：持续调整，恢复增长.pdf,300146,汤臣倍健,汤臣倍健（300146）：公司跟踪报告：持续调整，恢复增长
"欧阳予,范子盼,董广阳","公司发布 2025 年三季报。25 年前三季度实现营收49.15 亿元，同比-14.27%;归母净利润 9.07 亿元，同比+4.45%;扣非归母净利润 8.27 亿元，同比+2.44%单 03 实现营收 13.83 亿元，同比+23.45%:归母净利润 1.71亿元，去年同期为-0.22 亿元;扣非归母净利1.33亿元，去年同期为-0.24 亿元。评论:前期策略调整成效显现，新品放量带动增速转正。分渠道看，03线上/线下分别实现收入 7.04/6.69 亿元，分别同比+11.2%1+40%，主要系公司前期新品选代以及产品适配渠道调整策略显效，新品放量带动线上线下增速均成功转正。线下增速超过线上，主要系公司于 2403 推进健力多与蛋白粉新老切换、选代慢于预期导致线下基数偏低。分品牌看，Q3主品牌/健力多/Life-Space 国内产品ILSG 境外业务分别实现收入7.88/1.6310.4/1.86 亿元，同比+41%1+52.3%134.4%1+7.5%，主品牌、健力多在低基数上实现高增，LSG 境外持续受益于跨境电商渠道红利延续稳健增势。整体来看，2503收入超预期同增 23%。规模效应释放带动费率优化，成功实现扭亏为盈。03公司毛利率为68.56%同比+3.25pcts，主要系高毛利产品销售占比提升带动毛利率改善。销售/管理研发/财务费用率为 43.98%/10.54%1.8%1-0.33%，同比-10.03pcts1-2.7lpcts/2.35pcts1-0.05pcts，销售费用绝对值同比基本持平，但收入规模效应释放带动费率全面优化，费率合计同比-15.15pcts，为盈利能力提升的主要贡献。最终2503 净利率同比提升 14.68pcts至 13.07%，成功实现扭亏为盈。调整策略初步显效，期待来年经营势能持续向上。今年以来公司积极调整，产品端加大推新，产品策略更为清晰，针对渠道间分化的消费趋势，线下围绕蛋白粉、钙、鱼油、维生素等“高质价比”基础赛道产品满足性价比消费需求线上布局高品质差异化新品满足品类升级趋势，配合线下经销商和终端唤醒、线上高效费投和搭建直播间等渠道建设举措，调整成效已在显现，新品实现快速放量、收入贡献攀升至接近 20%，带动 03经营向好。预计04 收入端延续03稳增态势，收入降幅收窄至个位数的目标预计达成。展望26年，公司预计以更加积极的态度全面拥抱线上等增势渠道，同步推进线下渠道精细化运作，有望带动经营势能持续向上。投资建议:低基数下收入提速、盈利修复，关注后续新品放量和渠道经营进展，维持“中性”评级。受益于消费者健康意识提升，保健品行业持续扩容，但渠道剧烈变化以及需求细分化使得前期公司经营较为承压。考虑到汤臣作为保健品龙头，品牌优势深厚，面对环境变化积极变革调整，预计经营触底、期待后续势能向上，紧密关注后续新品放量和渠道经营进展。我们维持 25-27年业绩预测 8.1/9.6/10.8 亿元，对应 PE 分别 27/22/20 倍，维持目标价 13.5 元,对应 26E PE 约 22X，维持“中性”评级。风险提示:行业竞争加剧，销售不达预期，监管政策收紧，食品安全风险等",,华创证券,中性,[None],2025-10-31,,中性,7089759,pdf_downloads/2025/2025-10-31/300146-汤臣倍健（300146）：2025年三季报点评：全面调整，成效初显.pdf,300146,汤臣倍健,汤臣倍健（300146）：2025年三季报点评：全面调整，成效初显
"李梓语,陈熠",推新加速，业绩亮眼事件：公司发布2025年三季报，前三季度实现营收49.2亿元，同比-14.3%；归母净利润9.1亿元，同比+4.5%；扣非归母净利润8.3亿元，同比+2.4%。其中25Q3实现营收13.8亿元，同比+23.5%；归母净利润1.7亿元，同比+861.9%；扣非归母净利润1.3亿元，同比+652.6%。低基数下收入增速转正，汤臣倍健及健力多表现亮眼。25Q3公司营收同比+23.5%，增速转正，预计与基数走低、新品铺货上市反馈佳、线下经销商团队激活、线上运营效率提升等相关，新品在今年营收中占比近20%。分渠道来看，25Q3线上/线下渠道实现营收7.0/6.7亿元，同比+11.2%/39.4%，线下渠道增速亮眼，线上渠道恢复正增长。分品牌来看，25Q3汤臣倍健/健力多/Life-space国内/LSG实现营收7.9/1.6/0.4/1.9亿元，同比+41.0%/+52.3%/-34.4%/+7.5%，汤臣倍健及健力多基数更低、受益于线下药店渠道修复增速更高。毛利率提升费用优化，利润端同比扭亏为盈。25Q3公司毛利率同比+3.2pct至68.6%，显著提升，我们判断或与公司推进高质量发展取得成效、产品结构变化等相关。25Q3销售/管理/研发/财务费用率同比-10.0/-2.7/-2.4/-0.1pct至44.0%/10.5%/1.8%/-0.3%，各项费用率均有下降；其中销售费用率大幅优化，或主要受益于线上运营能力强化，不同平台差异化发展。综合来看，25Q3公司净利率同比+14.7pct至13.1%，同比扭亏为盈。25Q4收入端有望保持较高增长，2026年聚焦产品创新全线出击。25Q2-Q3公司新品陆续上市，线上推出高价格带产品、线下完善大众价格带布局，丰富消费者选择；且公司持续强化用户资产运营能力，提升销售转化，预计25Q4收入端在低基数下仍有望实现较高增长。在2025年企稳的基础上，2026年公司将以“再创业”心态全线出击，聚焦产品创新、确保长远健康的品牌投入，加快全球市场拓展。投资建议：因行业竞争激烈，略下调盈利预测，预期2025-2027年公司实现归母净利润7.9/9.2/10.3亿元（前次预测为8.3/9.7/10.9亿元），同比+20.4%/16.9%/11.7%，当前股价对应PE为27/23/21x。风险提示：电商渠道竞争加剧，新品培育不及预期，药店人流量持续下滑。,,国盛证券,增持,[None],2025-10-31,,增持,7083290,pdf_downloads/2025/2025-10-31/300146-汤臣倍健（300146）：推新加速，业绩亮眼.pdf,300146,汤臣倍健,汤臣倍健（300146）：推新加速，业绩亮眼
"杨骥,孙天一",25H1公司实现营业收入35.3亿元（同比-23.4%）；归母净利润7.4亿元（同比-17.3%）；扣非归母净利润6.9亿元（同比-16.6%）。25Q2公司实现营业收入17.4亿元（同比-11.5%）；归母净利润2.8亿元（同比+71.4%）；扣非归母净利润2.8亿元（同比+133.5%）。投资要点各渠道业务策略调整优化下，25Q2收入降幅收窄25年上半年，市场集中度进一步下降，行业在各细分渠道表现持续分化：于线下，大盘持续低迷，药店渠道客流及膳食营养补充剂销售规模继续下行；于线上，行业延续激烈竞争格局，兴趣电商占比快速提升，整体市场格局带来的挑战持续存在。进入二季度，公司持续调整优化各渠道业务策略，收入同比降幅缩窄。25年上半年，公司收入的具体拆分情况如下：分地区来看，25H1境内/境外分别实现收入28.4/6.9亿元，同比-28.2%/+5.3%，占营业总收入80.5%/19.5%。进一步拆分到公司主要的品牌来看（其他品牌公司未列示，这部分25H1占主营业务收入14.7%）：（1）境内业务分品牌：25H1汤臣倍健/健力多/Life-Space分别实现收入18.9/4.1/1.4亿元，同比-28.3%/-30.4%/-34.4%，占主营业务收入54.2%/11.8%/4.0%。（2）境外业务分品牌：25H1 LSG品牌实现营业收入5.3亿元，同比+4.5%，占主营业务收入15.3%。汤臣倍健主品牌和 LSG 是公司收入贡献的主力，25H1汤臣倍健主品牌在产品推新和市场拓展方面表现良好，LSG 在跨境电商和澳洲本地市场都实现了较好增长， 25H2这两个品牌将持续发力。分渠道来看，25H1公司线下/线上渠道分别实现收入18.0/16.8亿元，同比-31.6%/-13.8%，占主营业务收入51.6%/48.4%。其中，占主营业务75.5%的经销模式中（直营模式占比24.5%），境内分渠道的收入情况为：25H1境内线上/境内线下分别实现收入6.1/16.4亿元，同比-16.7%/-33.8%，占主营业务中经销模式下，境内收入的27.0%/73.0%。分产品来看，25H1片剂/粉剂/胶囊/其他产品分别实现收入7.2/4.9/9.8/13.4亿元，同比-28.2%/-16.6%/+0.4%/-34.4%，占营业总收入的20.4%/13.8%/27.8%/38.0%。其他产品包括礼盒装产品及液体饮料、软糖等其他剂型产品。经销商数量上，截至25年上半年，经销商共计640个，相比24年底减少147个，境内/境外分别有经销商597/43个，相比24年底分别减少141/6个。25Q2，公司收入的具体拆分情况如下：分地区分品牌来看（其他品牌公司未列示，这部分25Q2占主营业务收入15.2%）：（1）境内业务分品牌：25Q2汤臣倍健/健力多/Life-Space分别实现收入9.1/2.1/0.6亿元，同比-17.0%/-3.7%/-32.2%，占主营业务收入52.4%/12.2%/3.5%。（2）境外业务分品牌：25Q2 LSG品牌实现营业收入2.9亿元，同比+12.4%，占主营业务收入16.8%。 ✓ 分渠道来看，25Q2线下/线上渠道分别实现收入8.1/9.2亿元，同比-10.7%/-12.1%，占主营业务收入的46.9%/53.1%。线下线上渠道收入同比降幅均收窄，其中线上销售收入的改善受益于多款新品的推出，以及运营策略持续优化。25Q2产品和平台结构优化推升毛利率，叠加销售费用率同比下降，净利率同比提升25H1毛利率68.6%（同比持平），净利率21.6%（同比+2.5pct），销售/管理/研发/财务费用率分别为34.9%/6.4%/0.9%/-0.3%，同比-4.6/+0.9/-0.7/+0.3pct。25Q2毛利率68.4%（同比+1.7pct），毛利率小幅上升，得益于产品结构和平台结构变化，净利率17.1%（同比+8.9pct），销售/管理/研发/财务费用率39.6%/7.0%/0.5%/-0.6%，同比-11.0/+0.4/-1.5/+0.1pct。盈利预测与估值展望下半年，公司将在二季度及三季度新品陆续上市的基础上，于下半年有针对性地匹配营销资源投入，进一步扩大线下新品铺货率。线上方面持续完善集团电商整体策略，加大对核心品类的升级品投资，探索可持续的兴趣电商渠道运营模式。我们认为公司在产品和渠道端的调整之下，下半年收入有望步入上行通道。预计公司2025-2027年公司营业收入分别为62.9/66.4/70.1亿元，同比-8.1%/+5.6%/+5.5%；归母净利润分别为8.0/9.3/10.6亿元，同比+22.0%/+16.5%/+14.6%；维持买入评级。风险提示食品安全问题；行业竞争加剧；消费需求不及预期。,,浙商证券,买入,[None],2025-08-18,,买入,6319973,pdf_downloads/2025/2025-08-18/300146-汤臣倍健（300146）：25年中报点评：25Q2收入降幅收窄，期待下半年企稳向好.pdf,300146,汤臣倍健,汤臣倍健（300146）：25年中报点评：25Q2收入降幅收窄，期待下半年企稳向好
孙山山,事件2025年8月8日，汤臣倍健发布2025年半年度业绩公告。2025H1总营收35.32亿元（同减23%），归母净利润7.37亿元（同减17%），扣非净利润6.93亿元（同减17%）。其中2025Q2总营收17.41亿元（同减12%），归母净利润2.82亿元（同增71%），扣非净利润2.85亿元（同增133%）。投资要点二季度收入降幅收窄，强化费控利润提升2025H1/2025Q2公司毛利率分别同比-0.01pct/+2pct至68.55%/68.43%，主要系二季度产品与线上渠道结构优化所致；2025H1/2025Q2销售费用率分别同减5pct/11pct至34.90%/39.65%，主要系费投节奏变化叠加通过预算管理及销售复盘强化费控所致，管理费用率分别同增1pct/0.4pct至6.35%/6.96%，净利率分别同增3pct/9pct至21.61%/17.06%，公司动态优化资源分配，实现盈利改善。境外LSG增长亮眼，渠道改革持续深化产品端来看，公司2025H1主品牌/健力多/lifespace国内产品/境外LSG收入分别同比-28%/-30%/-34%/+13%至18.88/4.11/1.38/5.34亿元。境内产品销售下滑主要系受医保控费与消费萎靡影响，药店终端对高客单价产品接受度下滑，境外LSG主要受益于跨境电商发展取得高速增长。渠道端来看，公司2025H1线下/线上渠道收入分别同减32%/14%至17.98/16.84亿元。线上渠道目前仍处于策略调整过程中，通过组建自播团队缩减费投。线下渠道聚焦降本增效、优化整合经销体系，截至2025H1末经销商较年初净减少147家至640家，后续将通过丰富SKU、下探价格带、经销商唤醒计划等多策略并行驱动业务企稳。盈利预测公司内部调改持续推进，二季度盈利能力环比明显改善，随着强费控延续、差异化新品上市以及全渠道优化落地，预计全年营收降幅进一步收窄，利润率同比提升。根据2025年半年报，我们调整2025-2027年EPS分别为0.46/0.52/0.60元（前值为0.46/0.52/0.59元），当前股价对应PE分别为27/24/21倍，维持“买入”投资评级。 风险提示宏观经济下行风险、行业竞争加剧风险、原材料价格上涨风险、新品推广不及预期、渠道调整不及预期。,,华鑫证券,买入,[None],2025-08-11,,买入,6299011,pdf_downloads/2025/2025-08-11/300146-汤臣倍健（300146）：收入降幅收窄，优化费投带动盈利改善.pdf,300146,汤臣倍健,汤臣倍健（300146）：收入降幅收窄，优化费投带动盈利改善
"李梓语,陈熠",优化销售费用投放，盈利能力大幅改善事件：公司发布2025年半年报，25H1实现营收35.3亿元，同比-23.4%，实现归母净利润7.4亿元，同比-17.3%；实现扣非归母净利润6.9亿元，同比-16.6%。其中25Q2实现营收17.4亿元，同比-11.5%；实现归母净利润2.8亿元，同比+71.4%；实现扣非归母净利润2.8亿元，同比+133.5%。新品推新促进收入降幅收窄，LSG率先恢复正增长。25Q2公司营收降幅缩窄，除基数走低外，一方面受益于公司强化用户运营、提升销售转化，另一方面受益于公司加速推新，线上推出高价格带产品，线下完善大众价格带布局。分渠道来看，25Q2线上/线下渠道实现营收9.2/8.1亿元，同比-12.1%/-10.7%，降幅环比均有收窄。分品牌来看，25Q2汤臣倍健/健力多/Life-space国内/LSG实现营收9.1/2.1/0.6/2.9亿元，同比-17.0%/-3.7%/-32.2%/+12.4%，LSG收入增速率先转正，汤臣倍健主品牌、健力多环比均有显著改善。线上渠道毛利率提升，销售费用率大幅优化改善净利率。25H1公司毛利率同比基本持平，其中25Q2公司毛利率同比+1.7pct至68.4%，预计主要因产品、平台结构变化影响带动线上毛利率同比提升。25Q2销售费用率同比-11.0pct至39.6%，预计费用端在公司持续推进费用投放精益化、效率严管控的背景下得到大幅缩减。综合来看，主要受益于费用率的良好管控，25Q2公司净利率同比+8.9pct至17.1%，盈利能力显著改善。25H2低基数+新品贡献收入增速或转正，盈利能力有望持续向好。展望下半年，24H2公司收入端在消费力承压、大单品新老品替换去库存、行业竞争加剧等影响下形成极低基数，25Q2-Q3公司新品陆续上市，并将针对性匹配营销资源投入，预计25H2在极低基数、新品支撑下收入增速或迎转正，其中主品牌和LSG仍有望成为拉动营收增长的主要驱动。利润端来看，公司将持续完善电商投放策略，加大对核心品类升级品的投资，在抖音等兴趣电商或增加自播投入尝试，费投有望持续优化，贡献利润弹性，盈利能力有望持续向好。投资建议：因25H1费投优化效果显著，略调整盈利预测，预期2025-2027年公司实现归母净利润8.3/9.7/10.9亿元（前次预测为8.0/9.6/11.1亿元），同比+26.7%/17.5%/12.1%，当前股价对应PE为25/21/19x。风险提示：电商渠道竞争加剧，新品培育不及预期，药店人流量持续下滑。,,国盛证券,增持,[None],2025-08-10,,增持,6293842,pdf_downloads/2025/2025-08-10/300146-汤臣倍健（300146）：优化销售费用投放，盈利能力大幅改善.pdf,300146,汤臣倍健,汤臣倍健（300146）：优化销售费用投放，盈利能力大幅改善
"欧阳予,范子盼,严晓思,董广阳","事项： 公司发布 2025 年半年报。25 上半年实现营业收入 35.32 亿元，同比-23.43%，
归母净利润 7.37 亿元，同比-17.34%，扣非归母净利润 6.93 亿元，同比-16.59%。
单 Q2 实现营业收入 17.41 亿元，同比-11.51%，归母净利润 2.82 亿元，同比
71.44%，扣非归母净利润 2.85 亿元，同比 133.45%。评论： 高基数下调整延续，Q2 收入降幅收窄。25Q2 公司收入下滑约 11.5%，降幅环
比明显收窄，主要系得益于基数走低（24Q2 起大单品开始去库）及换新补库。
分品牌看，Q2 主品牌/健力多/Life-Space 国内产品/LSG 境外业务分别实现收
9.05/2.1/0.61/2.9 亿元，同比-17.0%/-3.7%/-32.1%/20.7%，主品牌与健力多降幅
均环比明显收窄，LSG 境外受益于跨境电商渠道红利实现亮眼增长。分渠道
看，线上/线下销售分别同比-12%/-10.8%，线上公司经营调整延续，线下人流
虽仍在下滑但随着基数降低 Q2 降幅明显收窄。销售费用率节约明显，盈利水平同比提升。25Q2 公司实现毛利率 68.4%，同
增 1.7pcts，主要系产品（线上纯鱼油、精装版氨糖等高端差异化产品占比提
升）与渠道（线上盈利水平较高的京东占比提升）结构变动所致，原材料成本
变动不大。销售费用率为 39.6%，同降 11pcts，精益投放（Q2 新品上市先铺
货、找试点渠道，故前期投入不大）与季度间费投节奏影响下，实现明显优化。
管理/研发费用率分别同比+0.4/-1.5pcts。综上，销售费用率优化主导 25Q2 销
售净利率同增 8.9pcts 至 17.1%。展望 H2，适度加大投放力度，收入环比向好有望延续。25H1 公司稳步调整，
Q2 线下新蛋白粉以及益生菌、维生素、鱼油等更多基础赛道产品上市，“质价
比”吸引人流，线上则在布局高品质差异化新品的同时资源倾斜京东等盈利较
优的渠道。展望 H2，公司总体经营策略延续，收入预计逐步向好，费用端投
放力度环比 H1 将有所增加（销售费用率 H1 同比-4.6pcts）、兴趣电商在保障
盈利的情况下倾斜资源，以驱动新品推广和人群拓展。考虑到外部消费环境仍
偏平淡，但公司费投较为理性，我们预计公司全年收入个位数下滑，销售费用
率有望优化，盈利水平有所改善，经营底部已逐渐清晰。投资建议：底部逐渐清晰，关注调整改善，维持“中性”评级。公司 Q2 收入
降幅收窄，净利率实现正增，下半年更多积极措施正在落地，经营底部逐渐清
晰，关注 H2 调整改善进度。考虑到外部消费环境仍较平淡，我们小幅下调 25-
27 年业绩预测至 8.1/9.6/10.8 亿元（原预测为 8.7/10.2/11.4 亿元），对应 PE 分
别 25/21/19 倍，维持目标价 13.5 元，对应 25E PE 约 28X，维持“中性”评级。风险提示: 行业竞争加剧，销售不达预期，监管政策收紧，食品安全风险等。",,华创证券,中性,[None],2025-08-10,,中性,6293506,pdf_downloads/2025/2025-08-10/300146-汤臣倍健（300146）：收入降幅收窄，控费业绩改善.pdf,300146,汤臣倍健,汤臣倍健（300146）：收入降幅收窄，控费业绩改善
"吕若晨,倪欣雨",2025年8月09日│中国内地 食品 25H1营收/归母净利/扣非归母净利35.3/7.4/6.9亿元，同比-23.4%/-17.3% /-16.6%；25Q2营收/归母净利/扣非归母净利17.4/2.8/2.8亿元，同比-11.5%/+71.4%/+133.5%，收入端，Q2随着健力多/蛋白粉大单品新品去库完成、渠道恢复补库，收入降幅环比Q1有所收窄（Q1收入同比-32.3%）；利润端，Q2胶囊鱼油、维生素D+K等高品质产品增长拉动毛利率同比+1.7pct，叠加低基数，以及广告及平台投流费用精益，利润实现高弹性修复。展望来看，保健品赛道受益老龄化/居民健康意识提升，长期景气向上，公司短期积极应对消费力偏弱、线上渠道分流及小品牌竞争等环境因素影响，强化性价比产品及潜力产品研发，费用端强化精益投放，当前经营底部、有望逐步向上修复，维持“买入”。Q2收入降幅环比收窄，大单品换新补库，多矩阵产品布局消费偏弱及行业竞争加剧导致公司经营仍有压力，但环比看，Q2收入降幅已有显著收窄，得益于：1）基数走低且在下半年延续（24H2蛋白粉/健力多大单品主动去库）；2）公司积极应对行业环境，推动健力多、蛋白粉两大核心单品换新、补库，此外持续推出重功能、刚需产品，如高性价比蛋白粉，以及高品质的鱼油等产品，满足不同群体需求。分产品，25H1汤臣倍健主品牌/健力多/LSG国内/LSG国外营收18.9/4.1/1.4/5.3亿元，同比-28.3/-30.4/-34.4%/+13.5%（Q2同比-17.4/-3.2%/-32.2%/+12.8%）。分渠道，25H1线上/线下营收同比-13. 8%/-31.6%（Q2同比-11.8%/-10.8%）。产品升级拉动Q2毛利率提升，控费带动利润高增25H1毛利率68.6%，同比基本持平（25Q2毛利率同比+1.7pct至68.4%），主要得益于公司高品质/高含量的鱼油胶囊、维生素D+K等产品放量拉动结构改善。费用端，25H1销售费用率同比-4.6pct至34.9%（25Q2同比-11.0pct），主要系公司重视费用精益，25H1广告费用/平台费用同比下降53.5%/22.4%；25H1管理费用率同比+0.9pct至6.4%（其中25Q2同比+0.4pct）；最终25H1归母净利同比+1.5pct至20.9%（25Q2同比+7.8pct）。盈利预测与估值考虑当前消费市场复苏偏缓影响，我们下调公司盈利预测，预计25-27年EPS为0.48/0.56/0.68元（较前次下调5%/5%/2%），参考可比公司25年28倍PE（Wind一致预期），给予公司25年28x目标PE，目标价为13.44元（前次14.28元，对应25年28x目标PE），维持“买入”。风险提示：竞争加剧、宏观经济环境表现低于预期、食品安全问题。,,华泰证券,买入,[None],2025-08-10,,买入,6293032,pdf_downloads/2025/2025-08-10/300146-汤臣倍健（300146）：收入降幅收窄，控费拉动Q2利润高增.pdf,300146,汤臣倍健,汤臣倍健（300146）：收入降幅收窄，控费拉动Q2利润高增
孙山山,事件近日，汤臣倍健发布2024年年报与2025年一季报。2024年总营收68.38亿元（同减27%），归母净利润6.53亿元（同减63%），扣非净利润6.26亿元（同减61%）。2024Q4总营收11.05亿元（同减32%），归母净亏损2.16亿元（2023Q4亏损1.55亿元），扣非净亏损1.81亿元（2023Q4亏损2.01亿元）。2025Q1总营收17.92亿元（同减32%），归母净利润4.55亿元（同减37%），扣非净利润4.09亿元（同减42%）投资要点规模效应影响毛利，净利率下滑幅度收窄2024年/2025Q1毛利率同减2pct/1pct至66.69%/68.66%，主要系产品结构变化、规模效应下降所致，2024年/2025Q1销售费用率分别同比+3pct/-1pct至44.33%/30.29%，管理费用率分别同增3pct/1pct至8.15%/5.77%，全年计划控制费用投放。净利率分别同减9pct/1pct至9.47%/26.04%，预计随着规模效应释放，加强费用控制，盈利能力逐步提升。布局重功能赛道，强化渠道产品区隔产品端来看，2024年片剂/粉剂/胶囊营收分别为10.49/6.25/11.03亿元，分别同减41%/42%/26%，2025Q1公司用钙DK做试点，通过低客单、低日服，在连锁打造爆量增利的模式做推广，试点效果超公司预期，预计2025Q2陆续在此模式下推出新规、新装产品。除基础营养赛道外，公司计划通过更多模式来推出重功能、刚需赛道，结合差异化服务与终端一起提升转化率。渠道端来看，2024年境内线上/线下产品营收分别为12.22/31.25亿元，分别同减28%/32%，公司加强线上与线下产品区隔，线下渠道价值链下移，以消费者利益为核心，线上专供比例提高，定位高端化且制定盈利红线，持续推进全渠道均衡发展。盈利预测2025Q1公司主动调整任务排放比例，平滑季度波动，后续公司延续深度改革调整趋势，强化线上与线下渠道区隔，优化抖音渠道直播效果，且制定盈利红线，预计规模效应逐季释放。根据2024年年报与2025年一季报，我们预计公司2025-2027年EPS分别为0.46/0.52/0.59元，当前股价对应PE分别为24/21/19倍，首次覆盖，给予“买入”投资评级。风险提示宏观经济下行风险、外部需求不及预期、线上渠道开拓不及预期、海外市场发展不及预期等。,,华鑫证券,买入,[None],2025-05-13,,买入,6052123,pdf_downloads/2025/2025-05-13/300146-汤臣倍健（300146）：公司事件点评报告：一季度业绩承压，关注改革成效释放.pdf,300146,汤臣倍健,汤臣倍健（300146）：公司事件点评报告：一季度业绩承压，关注改革成效释放
