author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"欧阳予,刘旭德,董广阳",公司发布 2025 年业绩快报，全年实现营收 147.2 亿元，同增 0.5%；实现归母净利12.3亿元，同增10.4%；实现扣非归母净利11.9亿元，同降2.8%。单Q4看，公司实现营收16.6亿元，同增5.2%；实现归母净利-0.1亿元，较24Q4减亏2.1亿元；实现扣非归母净利-0.3亿元，较24Q4减亏0.5亿元。Q4 量价双升，场景持续修复。Q4 量价拆分看，销量预计在去年去库低基数下同增3.1%至32.8万千升，吨价场景修复下实现低单增长。全年维度看，虽年中消费场景受损致使需求有所承压，但公司积极拓展即时零售、量贩、电商等非现饮渠道，25年轻装上阵下营收/销量表现稳健，分别同增0.5%/0.7%。具体分产品看，高档嘉士伯、风花雪月预计保持双位数增长，乐堡、乌苏、1664品牌亦延续增长态势，而主流、经济档次品牌预计有所承压；分地区看，新疆受旅游及基建红利影响实现较好增长，而云南、重庆等地需求表现相对平淡。成本红利驱动毛利提升，全年费投有所加大。盈利端，25 年毛利率同比提升，主要系成本红利、产品结构升级及供应链优化叠加，对冲佛山工厂折旧提升所致。费用端，公司费投加大，围绕渝超、音乐节、火锅烧烤等场景开展营销，持续巩固并拓展市场。此外，西部优惠税率取消预计对公司利润水平有所拖累，但与重庆嘉威诉讼和解后，计提的冲回前期计提的预计负债额外贡献归母净利润1908.0万元。综上，25年公司归母净利率/扣非归母净利率同比+0.8pcts/-0.3pct。25 年顺利收官，26 年餐饮修复下利润有望延续增长。25 年需求端虽受餐饮受损影响有所承压，但公司在“嘉速扬帆”的战略指引下积极面对，通过推出乌苏秘酿、乌苏大红袍、茶啤等精酿新品并加码非现饮渠道探索新增量，营收实现小幅增长。展望26年看，公司将持续拓展非现饮渠道，与京东、歪马联名产品将贡献部分增量，餐饮场景持续修复下，收入增长可期。同时，饮料业务25年加速铺市下，预计26年能够提供新增量。盈利端，成本虽有所波动，但公司已开展铝材套期保值对冲上涨，整体预计相对可控，叠加罐化率持续提升及所得税率平滑，利润有望保持增长。分红视角看，公司预计延续此前高分红策略，若以100%分红率测算，对应当前股息率4.7%，安全边际充足。投资建议：经营韧性显现，高股息筑底，维持“强推”评级。25 年消费场景受损背景下，公司多举并措挖掘增量，全年顺利收官。展望来看，行业高端化主线不改，高端产品有望持续引领结升级，叠加餐饮环比修复，营收/利润增长可期，同时公司高股息有望持续吸引长钱投入。结合最新业绩快报，我们调整25-27年业绩预测为12.3/13.1/13.9亿元（此前为11.54/12.64/13.46亿元），维持目标价67元，对应26E 约PE 25X，维持“强推”评级。风险提示：高端化不及预期，竞争加剧，成本大幅上行，恶劣天气等。,,华创证券,强推,[None],2026-02-05,,买入,8396789,pdf_downloads/2026/2026-02-05/600132-重庆啤酒（600132）：2025年业绩快报点评：经营展现韧性，分红价值显现.pdf,600132,重庆啤酒,重庆啤酒（600132）：2025年业绩快报点评：经营展现韧性，分红价值显现
"郭梦婕,林叙希","事件：重庆啤酒发布2025年三季报，2025Q1-Q3实现营收130.59亿元，同比-0.03%，归母净利润12.41亿元，同比-6.83%，扣非归母净利润12.22亿元，同比-6.40%。2025Q3实现营收42.20亿元，同比+0.41%，归母净利润3.76亿元，同比-12.71%,扣非归母净利润3.67亿元，同比-12.08%。结构升级延续，业绩符合预期。2025Q1-Q3公司销量/吨价分别为266.81万吨/4894元/吨，同比+0.42%/-0.45%，2025Q3销量/吨价分别为86.73万吨/4865元/吨，同比-0.68%/+1.09%，结构改善增加收入韧性。分品类看2025Q1-Q3公司高档/主流/经济产品分别实现收入77.15/46.85/3.14亿元,同比+1.18%/-1.66%/-1.21%，2025Q3公司高档/主流/经济分别实现营收24.50/15.40/1.18亿元，同比+3.73%/-3.15%/-10.50%，2025Q3嘉士伯、风花雪月高端产品预估维持同比双位数增长，乌苏、乐堡同比微增，主流产品同比略有下滑，而经济产品受区域竞争加剧影响表现不佳。分区域看，2025Q1-Q3西北区/中区/南区分别实现营收37.55/52.68/36.92亿元，同比+2.32%/-1.53%/-+0.18%，其中2025Q3西北区/中区/南区分别实现营收11.59/17.36/12.13亿元，同比+3.35%/-3.17%/+3.71%。成本红利支撑毛利率，费用及税率拖累盈利。2025Q1-Q3公司毛利率达50.17%，同比+0.97pct，2025Q3公司毛利率达50.87%，同比+1.70pct，成本端，2025Q1-Q3吨成本为2439元/吨，同比-2.34%，2025Q3吨成本2385元/吨，同比-2.29%，成本红利延续支撑毛利率增长。2025Q1-Q3销售/管理费用率分别为15.60%/3.51%，同比+0.53/+0.30pct，2025Q3销售/管理费用率分别为16.68%/3.89%，同比+1.95/+0.56pct，主要系活动费用增加。2025Q1-Q3所得税率为23.20%，同比+3.65pct,2025Q3所得税率为24.88%，同比+4.85pct。2025Q1-Q3公司归母净利率9.4%，同比-0.7pct，2025Q3公司归母净利率8.7%，同比-1.4pct，税率调整持续影响利润率。投资建议：根据公司2025年三季报业绩以及近期动销情况，我们调整公司盈利预测。预计2025-2027年收入增速0%/2%/2%，归母净利润增速分别为3%/5%/5%，EPS分别为2.38/2.49/2.62元，对应PE分别为23x/22x/21x，给予“增持”评级。风险提示:食品安全风险、结构升级不及预期、行业竞争加剧风
险。",,太平洋证券,增持,[None],2025-11-14,,增持,7794891,pdf_downloads/2025/2025-11-14/600132-重庆啤酒（600132）：结构升级延续，费用及税率拖累盈利.pdf,600132,重庆啤酒,重庆啤酒（600132）：结构升级延续，费用及税率拖累盈利
"寇星,卢周伟,吴越",事件概述公司25Q1-Q3实现收入130.6亿元，同比-0.03%，归母净利润12.4亿元，同比-6.8%，扣非归母净利润12.2亿元，同比-6.4%；其中25Q3实现收入42.2亿元，同比+0.41%，归母净利润3.8亿元，同比-12.7%，扣非归母净利润3.7亿元，同比-12.1%。分析判断:销量表现稳健，西北区领跑全国市场拆分量价来看，公司25Q1-Q3实现销量266.9万吨，同比+0.5%，对应吨价4765元/吨，同比-0.4%；其中25Q3实现销量86.8万吨，同比-0.7%，对应吨价4737元/吨，同比+1.8%。分档次来看，公司25Q1-Q3高档/主流/经济档次分别实现收入77.2/46.9/3.1亿元，分别同比+1.2%/-1.7%/-1.2%；其中25Q3高档/主流/经济档次分别实现收入24.5/15.4/1.2亿元，分别同比+3.7%/-3.2%/-10.5%，高档产品表现稳健。成本利好拉动毛利率，税率扰动净利润表现成本端来看，公司25Q1-Q3/25Q3毛利率分别为50.2%/50.9%，分别同比+1.0/+1.7pct。毛利率同比均有所提升，我们预计主因成本端利好释放所致。费用端来看，公司25Q1-Q3销售/管理/研发/财务费用率分别为15.6%/3.4%/0.08%/-0.07%，分别同比-0.5/+0.3/-0.04/+0.1pct；其中25Q3销售/管理/研发/财务费用率分别为16.7%/3.8%/0.1%/-0.2%，分别同比+2.0/+0.6/+0.01/+0.04pct，我们判断销售费用率提升主要系公司加大非即饮渠道投放。公司费用率水平基本保持稳定，但税率波动导致利润端出现一定扰动。公司25Q1-Q3/25Q3所得税率分别为23.2%/24.9%，分别同比+3.7/+4.9pct。利润端来看，公司25Q1-Q3/25Q3归母净利润率分别为9.4%/8.7%，分别同比-0.7/-1.4pct。公司25Q1-Q3/25Q3扣非归母净利润率分别为9.7%/8.6%，分别同比-0.3/-1.3pct。利润率波动主因税率波动所致。产品端积极寻求第二曲线，渠道端寻求新突破在啤酒传统场景消费疲软的背景下，公司积极寻求新突破。产品端来看，公司积极开发与新渠道适配的罐装产品，此外积极拓展啤酒之外的第二发展曲线，推出天山鲜果庄园橙味汽水、电持能量饮料等非啤酒品类，我们认为有望借助原有渠道基础实现较好发展。渠道端来看，在把握原有现饮渠道的同时，公司积极拥抱新业态，深化零食折扣店、仓储会员店战略合作，并协同定制营销激活增量。投资建议参考公司最新财务报告，我们维持公司25-27年营业收入为146.17/147.79/149.40亿元的预测；维持公司25-27年EPS为2.40/2.49/2.53元的预测。对应11月10日收盘价54.00元/股，PE分别为22.5/21.7/21.4倍，维持“买入”评级。风险提示消费复苏不及预期，新产品和新渠道开拓不及预期，成本变动超预期,,华西证券,买入,[None],2025-11-12,,增持,7635580,pdf_downloads/2025/2025-11-12/600132-重庆啤酒（600132）：Q3业绩稳健，积极寻求新突破.pdf,600132,重庆啤酒,重庆啤酒（600132）：Q3业绩稳健，积极寻求新突破
张家祯,事件：25Q1-3实现营收130.59亿元，同比-0.03%，归母净利润12.41亿元，同比-6.83%。25Q3实现营收42.20亿元，同比+0.41%；归母净利润3.76亿元，同比-12.71%。Q3收入利润符合预期。禁酒令影响下Q3销量微降，高档酒较优吨价提升25Q1-3销量为266.81万吨（同比+0.42%），吨价为4894元（同比-0.45%）。25Q3销量为86.73万吨（同比-0.68%），吨价为4865元（同比+1.09%）。 分产品看，25Q1-3高档啤酒收入77.15亿元(同比+1.18%)，主流啤酒营收46.85亿元(同比-1.66%)，经济档啤酒营收3.14亿元（同比-1.21%）；25Q3高档啤酒收入24.50亿元(同比+3.73%)，主流啤酒营收15.40亿元(同比-3.15%)，经济档啤酒营收1.18亿元（同比-10.50%）。Q3西北区和南区表现较优，中区相对承压25Q1-3西北区/中区/南区实现营业收入37.55/52.68/36.92亿元，同比变动+2.23%/-1.53%/+0.18%。25Q3西北区/中区/南区实现营业收入11.59/17.36/12.13亿元，同比变动+3.35%/-3.17%/+3.71%。税率承压影响盈利能力，成本红利持续释放1）25Q1-3公司毛利率/净利率分别同比变动+0.97/-1.40pct至50.17%/19.01%，25Q3公司毛利率/净利率分别同比变动+1.70/-2.74pct至50.87%/17.90%。2）25Q1-3销售/管理费用率分别同比变动+0.53/+0.30pct至15.60%/3.51%，25Q3销售/管理费用率分别同比变动+1.95/+0.56pct至16.68%/3.89%。3）25Q1-3经营性现金流净额为39.29亿元（同比+13.49%），25Q3经营性现金流净额为10.23亿元（同比+12.63%）。4）以营业成本口径计算，25Q1-3吨成本为2439元（同比-2.34%），25Q3吨成本为2390元（同比-2.29%），成本红利持续释放。5）25Q1-3所得税率为23.20%（同比+3.65pct），25Q3所得税率为24.88%（同比+4.85pct），预计后续税率或稳定在25%左右。盈利预测及估值我们认为：公司25年发力非现饮渠道，加强核心市场深耕，产品结构维持稳定。我们预计25年销量及吨价均保持平稳，25年原料包材采购成本或有显著改善，但所得税率提升或一定程度影响盈利能力，关注高股息下的基本面改善。 我们预计2025-2027年收入增速为0.7%、2.2%、2.2%；归母净利润增速为7.6%、4.9%、4.2%； EPS分别为2.5/2.6/2.7元/股；PE为21.7/20.7/19.8倍。当前估值具性价比，维持买入评级。催化剂：消费升级持续、乌苏及乐堡全国化开拓顺利。风险提示：啤酒整体动销较慢；乌苏动销情况不及预期。,,浙商证券,买入,[None],2025-11-03,,买入,7331597,pdf_downloads/2025/2025-11-03/600132-重庆啤酒（600132）：25Q3业绩点评报告：业绩符合预期，结构稳中有升.pdf,600132,重庆啤酒,重庆啤酒（600132）：25Q3业绩点评报告：业绩符合预期，结构稳中有升
"张宇光,方勇",2025Q3收入有所企稳，维持“增持”评级2025Q1-Q3公司营收130.59亿元，同比-0.03%；扣非前后归母净利润12.41、12.22亿元，同比-6.83%、-6.40%。2025Q3公司营收42.20亿元，同比+0.41%，扣非前后归母净利润3.76、3.67亿元，同比-12.71%、-12.08%。促销力度有所加大，我们下调2025-2027年归母净利润预测10.70/11.20/11.83亿元（前次11.29/11.81/12.46亿元），对应2025-2027年EPS 2.21/2.32/2.44元，当前股价对应2025-2027年24.2/23.1/21.9倍PE，公司分红率、股息率较高，维持“增持”评级。销量平稳，结构分化，高端略有改善2025Q3公司啤酒销量同比略降0.7%、吨价同比+1.1%，其中分档次看，高档、主流、大众啤酒收入同比+3.7%、-3.2%、-10.5%，高端增速略有改善，但结构上分化明显，低档加速下滑，中档持续承压。分区域看，西北、中区、南区营收同比+3.3%、-3.2%、+3.7%，西北区韧性强，南区短期略有改善，中区市场有待改善。。成本下降下毛利率有所提升，费用率提升导致净利率承压2025Q3公司归母净利率同比-1.34pct；其中毛利率同比+1.70pct，其中大麦、铝罐等原料价格下降带动吨成本降2.3%，降幅较2025Q2略有收窄；吨价提升1.1%，增速较2025Q2有所改善。销售、管理、研发、财务费用率同比+1.94、+0.55、+0.01、+0.04pct，费用率水平有所上升。所得税有效税率拖累净利率0.76pct。现金流良好，高股息对股价仍有较强支撑餐饮需求依然疲软，啤酒需求短期难言改善。当前西北基地市场稳中向好，华南等高端市场在波动中有所恢复，中部偏弱势市场仍较承压，行业格局呈现出龙头强化巩固基地市场的趋势，等待行业需求转暖。目前公司分红率较高，现金流良好，高分红、高股息有望延续支撑股价。风险提示：成本过快上涨风险、雨水天气风险、食品安全风险。,,开源证券,增持,[None],2025-11-03,,增持,7305536,pdf_downloads/2025/2025-11-03/600132-重庆啤酒（600132）：公司信息更新报告：现金流良好，底部仍有支撑.pdf,600132,重庆啤酒,重庆啤酒（600132）：公司信息更新报告：现金流良好，底部仍有支撑
"王言海,张馨予",渠道策略得当驱动结构改善，费用及税率拖累短期盈利事件：2025年10月30日，公司发布2025年三季报。2025年1-3季度公司实现总营收/归母净利润/扣非归母净利润130.59/12.41/12.22亿元，分别同比-0.03 %/-6.83%/-6.40%。经测算，25Q3公司实现营收/归母净利润/扣非后归母净利润42.20/3.76/3.67亿元，分别同比+0.41%/-12.71%/-12.08%。公司积极推动非现饮高端化，渠道策略得当驱动结构改善，25Q3吨价实现正增长。2025年前三季度，公司实现啤酒营收实现127.1亿元，同比+0.1%，其中量/价分别同比+0.4%/-0.4%；25Q3，公司啤酒营收实现41.1亿元，同比+0.6%，其中量/价分别同比-0.7%/+1.3%，其中销量略有下滑我们预计主要系Q3餐饮需求较弱同时华南地区多雨天气较多。分档次看，25Q3公司高档/主流/经济啤酒营收分别24.5/15.4/1.2亿元，同比+3.7%/-3.2%/-10.5%，其中高档啤酒营收占比提升1.8pct。今年以来外部餐饮、夜场渠道需求恢复仍较慢，面对下游渠道结构变化，公司积极应对加快推动非现饮渠道高端化，公司渠道策略得当驱动产品结构提振、吨价环比改善。我们预计嘉士伯和风花雪月品牌仍保持不俗增长，乐堡表现稳健，同时1664、乌苏的罐装产品亦贡献增量。成本红利延续驱动毛利率提升，费用及税率调整拖累盈利。25Q3，公司吨成本延续下降趋势同比-2.3%，驱动综合毛利率+1.7pct。费用端，25Q3销售/管理同比+1.9/+0.5pct，研发、财务费用率同比持平，Q3为啤酒旺季公司积极进行市场投入，导致销售费用率有所提升。此外Q3所得税率同比+4.8pct，综上公司扣非归母净利率同比-1.2pct至8.7%。2025年前三季度，公司吨成本同比-2.3%，驱动综合毛利率同比+1.0pct；销售/管理/研发/财务费用率同比+0.5/+0.3/持平/+0.1pct，所得税率同比+3.7pct，综上公司扣非归母净利率同比-0.6pct至9.4%。目标继续扩大份额，积极拥抱非现饮高端化趋势，期待后续行业景气复苏。24Q4公司积极降库，25年轻装上阵开局良好，同时积极进行渠道拓展，在当前外部环境下公司销量端表现仍稳健。2025年嘉士伯集团在中国市场目标再次扩大市场份额，并继续积极推动非现饮高端化。展望后续，伴随消费政策端持续刺激下游需求有望企稳修复，带动行业量价扩容。中长期啤酒行业升级空间仍较大，公司产品矩阵完备并坚持提升组织力、精耕渠道，若后续现饮需求景气复苏将提振行业升级速率，公司高端大单品势能有望恢复。投资建议：预计 2025-2027年公司营收149.37/152.06/154.57亿元，分别同比+2.0%/+1.8%/+1.7%；归母净利润分别为12.36/12.85/13.31亿元，分别同比+10.9%/4.0%/+3.5%；当前市值对应PE分别为21/20/20X，公司维持高分红（24年分红率104%），维持“推荐”评级。风险提示：现饮渠道恢复不及预期；高端啤酒竞争加剧；相关诉讼仍未决。,,民生证券,推荐,[None],2025-11-02,,增持,7271713,pdf_downloads/2025/2025-11-02/600132-重庆啤酒（600132）：渠道策略得当驱动结构改善，费用及税率拖累短期盈利.pdf,600132,重庆啤酒,重庆啤酒（600132）：渠道策略得当驱动结构改善，费用及税率拖累短期盈利
"訾猛,颜慧菁,苗欣,陈力宇,庞瑜泽",投资建议。3Q25行业延续弱景气，市场费用投放与税率优惠的收敛挤压利润，我们下调2025/26/27年EPS预测至2.28/2.45/2.61元（原值2.51/2.65/2.75元），考虑无风险收益率的下沉，公司品牌禀赋优势，高分红、高股息特点，维持目标价65.10元，对应2026年 PE 27X，维持“增持”评级。3Q25收入稳健，业绩波动。1-3Q25公司实现收入、归母净利润130.6、12.4亿元，分别同比持平、-6.8%。其中Q3单季实现收入、归母净利42.2、3.8亿元，分别同比+0.4%、-12.7%。量减价增，产品结构改善。3Q25公司实现啤酒销售86.7万千升，同比-0.7%，行业弱景气趋势延续。均价方面，3Q25公司ASP为4736.8元/万千升，同比+1.3%，均价提升得益于三季度产品结构的上扬，公司三季度高档/主流/经济啤酒产品收入为24.5、15.4、1.2亿元，分别同比+3.7%、-3.2%、-10.5%，需求承压背景下产品结构逆势上移。费用增加、实际税率上移短期挤压利润。3Q25公司毛利率50.9%，同比+1.7pct，预计主因ASP提升以及原材料价格红利；销售、管理费用率分别同比+1.9pct、+0.5pct，料公司阶段性增加费投以应对疲弱消费环境；实际所得税率同比+4.8pct至24.9%，延续上行趋势，向25%税率收敛。综上，3Q25公司归母净利率同比-1.3pct至8.9%。风险提示。成本波动、行业需求走弱、竞争加剧。,,国泰海通,增持,[None],2025-11-01,,买入,7152120,pdf_downloads/2025/2025-11-01/600132-重庆啤酒（600132）：2025年三季报点评：需求承压，结构改善.pdf,600132,重庆啤酒,重庆啤酒（600132）：2025年三季报点评：需求承压，结构改善
"朱会振,舒尚立",事件：公司发布2025年三季报，前三季度实现收入130.6亿元，同比-0.03%；实现归母净利润12.4元，同比-6.8%。其中25Q3实现收入42.2亿元，同比+0.4%；实现归母净利润3.8亿元，同比-12.7%。消费需求持续疲软，Q3结构升级持续。量方面，25Q3公司实现销量86.7万吨，同比-0.7%；单三季度销量有所承压，主要系Q3餐饮渠道需求持续疲软，叠加部分主销区雨水天气较多所致。分价格带看，25Q3公司高档/主流/经济啤酒收入增速分别为+3.7%/-3.2%/-10.5%；其中乐堡预计维持稳健表现；嘉士伯/风花雪月以及听装乌苏、1664等产品预计维持良好增长态势。价方面，得益于产品结构升级持续，25Q3公司吨价同比+1.3%至4737元/吨水平。分区域看，25Q3年西北区/中区/南区收入增速分别为+3.3%/-3.2%/+3.7%。受费率及所得税率提升影响，Q3利润端有所承压。前三季度公司毛利率为50.2%，同比+1pp；其中25Q3公司毛利率为50.9%，同比+1.7pp。单三季度毛利率提升主要系：1）毛利贡献较高的高端啤酒销量提升改善整体产品结构；2）啤酒主要原材料采购价格持续下行所致；25Q3公司吨成本同比-2.3%。费用方面，25Q3公司销售费用率为16.7%，同比+2pp，主要系公司旺季加大费用投放力度；25Q3管理费用率同比+0.6pp至3.8%；此外Q3所得税率同比+4.9pp至24.9%。综合来看，25Q3公司净利率同比-2.7pp至17.9%。非现饮渠道积极拓展，盈利能力有望持续提升。1）产品方面，随着消费力的持续复苏，中高端品牌销量有望逐步回暖；此外公司非现饮渠道推新力度较强，风花雪月茶啤、乌苏秘酿等1L装产品持续铺货，叠加天山汽水、电池能量饮料等新品上市撑起多元化布局，产品结构有望持续提升。2）渠道方面，公司持续加强非现饮渠道开发力度，罐化率提升为利润端贡献充足动能；同时亦积极开展与即时零售等新渠道合作力度。3）成本方面，预计后续原材料价格下行趋势仍将持续。展望后续，随着公司渠道库存逐步出清，叠加消费场景持续复苏大背景下，公司盈利能力有望持续提升。盈利预测与投资建议。预计2025-2027年EPS分别为2.41元、2.60元、2.76元，对应动态PE分别为22倍、21倍、19倍；维持“买入”评级。风险提示：现饮场景恢复不及预期风险，高端化竞争加剧风险，原料价格上涨风险。,,西南证券,买入,[None],2025-11-01,,买入,7386492,pdf_downloads/2025/2025-11-01/600132-重庆啤酒（600132）：Q3结构持续改善，费用及税率拖累盈利.pdf,600132,重庆啤酒,重庆啤酒（600132）：Q3结构持续改善，费用及税率拖累盈利
"苏铖,郭晓东",事件：25Q1-Q3营收130.59亿元，同比-0.03%，归母净利润12.41亿元，同比-6.83%，扣非后归母净利润12.22亿元，同比-6.40%；其中25Q3营收42.20亿元，同比+0.41%，归母净利润3.76亿元，同比-12.71%，扣非后归母净利润3.67亿元，同比-12.08%。乐堡、乌苏韧性增长，量价相对平稳。25Q1-Q3销量同比+0.42%至267万吨、吨价同比-0.36%至4765元/吨，其中25Q1销量同比+1.93%/吨价同比-0.33%、25Q2销量同比+0.03%/吨价同比-1.92%、25Q3销量同比-0.68%/吨价同比+1.28%，三季度价格表现较好带动收入韧性增长。25Q1-Q3高档、主流、经济收入增速分别为+1.18%、-1.66%、-1.21%(占比分别为61%、37%、2%)，预计乐堡维持低个位数增长，风花雪月、嘉士伯等双位数增长，重庆、大理小幅下滑，而乌苏整体小幅增长。费用投放加大、所得税率提升拖累盈利。25Q3销售净利率同比-2.74pct至17.90%，主要系销售费用投放加大、税率提升拖累。其中25Q3销售毛利率同比+1.70pct至50.87%(吨酒营收同比+1.09%、吨酒成本同比-2.29%)，销售费用率同比+1.95pct至16.68%，下半年各地省超开赛做了一些投放、需求偏弱下非现饮增投。非经科目中投资净收益小幅减少、其他变动不大。此外，25Q3所得税率延续二季度以来抬升趋势(24Q2、24Q3均为20%，25Q2、25Q3分别为27%、25%)，主要系部分区域税收优惠政策收缩。基本面、资金面均处于低位，关注后续经营节奏。短期来看，当前餐饮表现偏弱、流通相对稳健，整体啤酒量价有所承压、但韧性仍在；同时主动权益基金持仓处于相对低位，关注消费β后续修复及重啤经营节奏。中长期来看，公司将继续推进“扬帆27”和“嘉速扬帆”战略重点项目，以“6+6”品牌组合为依托，加快渠道精耕细作，进一步强化产品高端化动能。盈利预测与投资评级：当前基本面、资金面均处于低位，关注消费β后续修复及重啤经营节奏。参考25Q3报表节奏，我们更新2025~2027年归母净利润预测为10.67、11.75、12.76亿元（前值为11.05、11.99、12.86亿元），对应当前PE分别为24、22、20X，维持“增持”评级。风险提示：原材料价格波动风险、食品安全风险、高端升级不及预期、大城市战略竞争加剧。,,东吴证券,增持,[None],2025-11-01,,增持,7135132,pdf_downloads/2025/2025-11-01/600132-重庆啤酒（600132）：收入韧性增长，费用加大、税率提升拖累盈利.pdf,600132,重庆啤酒,重庆啤酒（600132）：收入韧性增长，费用加大、税率提升拖累盈利
"欧阳予,刘旭德,董广阳","公司发布 2025 年三季报，前三季度实现营业总收入 130.6 亿元，同比基本持平;实现归母净利润 12.4 亿元，同降 6.8%;扣非后归母净利润为 12.2 亿元，同降 6.4%;单 03 公司实现营业总收入 42.2 亿元，同增 0.4%;实现归母净利润 3.8 亿元，同降 12.7%;扣非后归母净利润为 3.7 亿元，同降 12.1%。评论:需求同比下降，高端逆势增长。量价拆分看，2503受场景限制影响，公司实现啤酒销量 86.7 万千升，同降 0.8%，吨价受益于产品结构升级同增 1.4%至4736.8元/千升。分档次看,单 03 高档/主流/经济产品同比+3.7%1-3.2%1-10.5%,其中高端产品表现亮眼,逆势稳增,预计嘉士伯、风华雪月销量延续较高增长,乌苏在疆内旅游红利的带动下有所修复，重庆、山城等品牌则有所承压。分地区看，西北区/中区/南区分别同比+3.3%1-3.2%1+3.7%，预计新疆、云南等旅游省份需求持续向好，长三角、珠三角区域消费场景逐步修复，而中部地区场景修复相对受阻，需求恢复速度偏慢。成本端持续优化，费投掩累盈利。单 Q3 看，公司吨成本同降 2.2%至 2390.0元/千升，毛利率同比提升 1.7pcts至 50.9%，主要系成本红利延续叠加产品结构升级，对冲佛山工厂折旧提升所致。费用端，单03公司实现销售费用率/管理费用率 16.7%/3.8%，分别同比+1.9pcts/+0.5pct，判断系需求承压下公司加大费投促进销售所致。此外，投资收益占收入比重同比下降 0.7pct，所得税占利润比重受西部优惠税率取消影响，同比提升 4.8pcts，符合我们之前的判断。综上，2503 公司归母净利润同降 12.7%，归母净利率同降1.3%pcts 至8.9%.经营稳健前行，来年盈利有望改善。三季度在场景限制背景下，高端产品持续放量，公司录得营收同增 0.4%。展望来看，公司多措并举积极布局，有望持续贡献新增量。产品端，公司高端化路径不变，持续加大嘉士伯、风花雪月、乐堡等产品投放，并推出多款1L装精酿产品协同放量，同时饮料业务亦在积极布局，天山鲜果庄园、“电持”能量饮料加速铺市，后续有望贡献新增量;渠道端，公司持续加码即时零售、量贩等新兴渠道捕捉增量，借助渠道变革的力量加速渗透华东、华南等弱势区域，实现份额增长。盈利能力方面，来年成本红利有望延续，叠加公司持续推动罐化率提升，毛利率有望持续上行，费用端在今年聚焦去库形成高基数背景下有望回落，同时税率逐步平稳，来年利润有望加速释放。投资建议:经营务实，韧性显现，股息价值凸显，维持“强推”评级。公司三季度在场景受损背景下积极布局延续增长，经营韧性显现，同时高端产品持续放量，高端化主线不变。展望来看，来年公司盈利端受成本、费用、税率等多维度受益,利润有望加速释放,我们调整 25-27 年业绩预测为 11.54/12.64/13.46亿元(前值为 12.5/12.9/13.3 亿元)，维持目标价 67 元，对应 26E 约 PE 26X,维持“强推”评级。风险提示:高端化不及预期，竞争加剧，成本大幅上行，恶劣天气等。",,华创证券,强推,[None],2025-10-31,,买入,7118208,pdf_downloads/2025/2025-10-31/600132-重庆啤酒（600132）：2025年三季报点评：短期利润承压，股息价值凸显.pdf,600132,重庆啤酒,重庆啤酒（600132）：2025年三季报点评：短期利润承压，股息价值凸显
