author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
唐俊男,投资要点：公司是国家电工行业重大技术装备支柱企业，核心业务为高压、超高压、特高压交直流开关设备的研发、制造、销售和服务。公司主要产品性能均达到国际水平，广泛应用于我国重点电力工程。高电压等级气体绝缘组合电器设备竞争壁垒较高，市场规模将持续扩大。超高压GIS、特高压GIS技术难度显著跃升，行业高度集中。“十五五”，特高压电网将重点推进 “沙戈荒”新能源基地、西南水电以及藏东南-粤港澳大湾区等特高压工程，带动GIS需求增长。GIL技术输电性能优异，市场高度集中。GIL具有输送容量大、占地面积小、可靠性高、环境适应性强等特点。我国GIL市场呈现出高度集中特点，主要由平高电气、中国西电、安靠智电等企业主导。“十五五”国家大型清洁能源基地电力输送、超大城市群地下输电通道建设以及城市电网改造将驱动我国GIL市场规模扩大。公司开关设备技术优势明显，核心产品将受益于特高压工程建设。公司聚焦开关主业，具备交直流、全系列、全电压等级的开关系列产品供应能力，推出重大创新型产品。公司在GIS领域龙头地位稳固，特高压GIS领域市场份额超35%。公司GIL产品有望在“十五五”有望持续参与国家大型输变电工程，构成重要业务增长点。公司产品出海业务进入以技术驱动、聚焦高端、深耕区域为特征的新阶段。公司转向高附加值的单机设备出口，市场从亚洲、非洲、南美洲拓展至欧洲高端市场。预计随着全球能源转型的推进，欧洲、北美区域电网系统的改造，公司产品出口有望取得更大成效。投资建议：公司作为全球领先的高压开关设备供应商，具备雄厚的技术优势、规模优势和品牌优势。公司稳健经营，行业壁垒较高，成长预期良好，维持公司“买入”投资评级。风险提示：特高压线路建设不及预期；竞争加剧，盈利能力下降风险。,,中原证券,买入,[None],2025-12-31,,买入,8304662,pdf_downloads/2025/2025-12-31/600312-平高电气（600312）：公司深度分析：高压开关龙头，长期稳健发展.pdf,600312,平高电气,平高电气（600312）：公司深度分析：高压开关龙头，长期稳健发展
"曾彪,徐梦超","报告摘要事件：公司发布2025年三季度报告。2025年前三季度，公司实现营业收入84.36亿元，同比增长6.98%；归母净利润9.82亿元，同比增长14.62%；扣非归母净利润9.77亿元，同比增长15.13%。2025年三季度，公司实现营业收入27.40亿元，同比下降3.63%；归母净利润3.18亿元，同比下降1.83%；扣非归母净利润3.15亿元，同比下降0.22%。营收受特高压交付影响，中标情况良好。2025年前三季度，公司实现营收84.36亿元，同比增长6.98%，实现稳健增长。2025年三季度，公司实现营业收入27.40亿元，同比下降3.63%，我们预计主要原因为特高压交付相对较少。今年以来，公司在特高压等电网集招的中标金额同比大幅增长，为未来业绩奠定基础。盈利能力持续提升。2025年前三季度，公司实现归母净利润9.82亿元，同比增长14.62%；扣非归母净利润9.77亿元，同比增长15.13%，利润增速明显高于营收增速，主要原因是毛利率提升和费用有效管控。销售毛利率25.09%，同比提升0.82pct，期间费用率10.39%，同比下降0.15pct，其中，销售/管理/研发费用率分别为3.42%/2.99%/4.46%,同比变化分别为-0.35/-0.33/+0.68pct。2025年三季度销售毛利率25.84%，同比提升0.26pct，环比提升4.28pct，盈利能力进一步增强。GIS龙头，受益于特高压和主网建设持续性。今年以来，长沙主变扩建、藏东南至粤港澳、蒙西至京津冀3项特高压工程获核准，“十五五”期间特高压项目储备丰富。公司持续深耕高压开关领域，今年以来实现多项新产品开发和投运，进一步奠定公司在高压开关领域的龙头地位，市占率有望进一步提升。盈利预测及投资建议：公司在高压开关领域地位稳固，网外海外持续拓展，公司业绩有望较快增长。我们预计2025-2027年公司实现归母净利润12.60/15.30/17.63亿元，同比增长23.12%/21.47%/15.20%，对应PE分别为19/16/14倍。看好公司组合电器龙头地位带来的业绩稳定增长以及网外海外突破带来的新增长空间，首次覆盖，给予“买入”评级。风险提示：需求不及预期；技术路线变更风险；原材料波动的风险；竞争加剧的风险；研报使用数据更新不及时风险。",,中泰证券,买入,[None],2025-12-21,,买入,8262621,pdf_downloads/2025/2025-12-21/600312-平高电气（600312）：特高压交付短期节奏偏慢，降本增效持续提升盈利能力.pdf,600312,平高电气,平高电气（600312）：特高压交付短期节奏偏慢，降本增效持续提升盈利能力
"张志邦,郑洋",主要观点：业绩公司发布2025年第三季度报告。 2025年前三季度实现营收84.36亿元，同比增长6.98%，实现归母净利润9.82亿元，同比增长14.62%，扣非归母净利润9.77亿元，同比增长15.13%。毛利率为25.09%，同比提升0.82Pct。2025Q3实现营收27.40亿元，同比下降3.63%，实现归母净利润3.18亿元，同比下降1.83%，扣非归母净利润3.15亿元，同比下降0.22%。毛利率为25.84%，同比提升0.26Pct。技术创新成果显著，成功研制国际首台800kV/80kA大容量断路器 公司前三季度研发支出为3.76亿元，同比增长26.2%。公司联合国网陕西电力、西安交大、中国电科院等单位研制的国际首台800千伏80千安断路器，在国网（常州）电气设备检测中心圆满完成全部型式试验考核。这一重大成果标志着我国在高压大容量断路器领域实现全球领先，为750千伏电网短路电流超标治理提供了关键技术装备支撑。公司前三季度合同负债为18.68亿元，同比增长46.32%，有望支撑公司未来业绩增长。投资建议考虑到特高压及主网建设加速，公司作为特高压领域领先企业，业绩有望实现持续增长。我们预计25/26/27年归母净利润分别为13.95/16.20/18.46亿元，对应PE分别19/16/14倍，维持“买入”评级。风险提示海外业务拓展不及预期；电网投资不及预期；行业竞争加剧。,,华安证券,买入,[None],2025-11-09,,买入,7591245,pdf_downloads/2025/2025-11-09/600312-平高电气（600312）：业绩符合预期，合同负债同比增长46.32%.pdf,600312,平高电气,平高电气（600312）：业绩符合预期，合同负债同比增长46.32%
"王蔚祺,王晓声",前三季度业绩稳健增长，盈利能力持续提升。前三季度公司实现营收84.36亿元，同比+6.98%；归母净利润9.82亿元，同比+14.62%；扣非净利润9.77亿元，同比+15.13%。2025年前三季度公司毛利率25.09%，同比+0.82pct.；净利率12.54%，同比+0.84pct.。项目节奏影响三季度业绩，盈利能力环比提升。三季度公司实现营收27.40亿元，同比-3.63%，环比-13.98%；归母净利润3.18亿元，同比-1.83%，环比+3.63%。三季度公司毛利率25.84%，同比+0.27pct.，环比+4.29pct.；净利率12.41%，同比+0.22pct.，环比+2.01pct.。网内订单大幅增长，网外持续拓展增量。网内方面，2025年以来公司电网集招中标金额同比大幅增长，市场占有率名列前茅，750kVGIS实现平高电气、平芝公司“双主体”中标；网外方面，公司中标3家央企大客户框架，再次中标中广核项目，实现1000kVGIL网外市场首次应用。产品实力持续提升，积极推动数智化转型。公司积极开发800kV交流GIL、550kV无电容灭弧室断路器、C4混合气体145kV环保GIS等核心装备，并实现世界首台550kV旁路触发间隙装置、550kVC4环保GIL成功投运。公司同时完成GIS智慧工厂可研及产线建设方案编制，安装数字化平台应用于工程中，并获评国家首批卓越级智能工厂。特高压招标复苏，26年公司订单、业绩有强力支撑。2025年以来，特高压核准、招标进度不及预期，10月蒙西-京津冀、藏东南-大湾区2条特高压直流启动招标，近期攀西特高压交流获核准，我们预计浙江环网、达拉特、攀西等特高压交流项目后续有望陆续招标，公司订单有望进一步增长。考虑到25年公司高压板块中标和交付情况，26年公司业绩具有较强支撑。风险提示：国内电网投资不及预期；原材料价格大幅上涨；行业竞争加剧。投资建议：下调25年盈利预测，上调26-27年盈利预测，维持“优于大市”评级。考虑到公司高压产品订单和交付情况，我们下调25年盈利预测，上调26-27年盈利预测，预计公司2025-2027年归母净利润为12.55/16.05/18.52亿元（原预测为12.93/15.92/18.25亿元），同比+23%/+28%/+15%，动态PE为19.5/15.2/13.2倍。,,国信证券,优于大市,[None],2025-11-04,,买入,7383865,pdf_downloads/2025/2025-11-04/600312-平高电气（600312）：盈利能力持续提升，订单饱和交付放量在即.pdf,600312,平高电气,平高电气（600312）：盈利能力持续提升，订单饱和交付放量在即
杨帅波,平高电气(600312)l投资要点事件：2025年10月21日，公司发布2025年三季报。2025Q1-3，公司营收84.4亿元，同比+7.0%；归母净利润9.8亿元，同比+14.6%；其中2025Q3，公司营收27.4亿元，同环比分别-3.6%/-14.0%，归母净利润3.2亿，同环比分别-1.8%/+3.6%，业绩略低于我们预期，主要是国内交付节奏偏慢。盈利端：盈利能力持续提升。2025Q1-3，公司毛利率、净利率分别25.1%/12.5%，同比分别+0.8pct/+0.8pct，公司主要费用中，销售费用率（3.4%）、管理费用率（3.0%）和财务费用率（-0.5%）有所下降，研发费用率（4.5%）有所上升，四项费用率总体上升0.4pct，略影响公司的盈利能力。25Q1-3，合同负债为18.7亿元，同比+46.3%，在手订单充沛。2025年电网投资加速，公司新产品持续拓展网内外。2025Q1-3，电网工程投资完成额4378亿元，同比+9.9%。国内方面，成功研发800kV交流GIL，有望受益于雅下水电站工程项目，海外方面，公司与波兰布多瓦公司正式签署145kV环保GIS单机出口合同，标志着我国自主研发的环保型高压GIS设备首次打入欧洲市场。l盈利预测与投资评级:我们下调公司预测，预测公司2025-2027年营收分别为137.6/153.2/171.1（前值为138.4/154.5/172.5亿元），归母净利润分别为12.6/15.0/17.5（前值为13.6/16.1/18.7亿元），（2025年10月27日）对应PE分别为19/16/13倍，给予“买入”评级。l风险提示：电网投资不及预期；特高压建设不及预期；研报使用的信息数据更新不及时的风险。,,中邮证券,买入,[None],2025-10-28,,买入,6907157,pdf_downloads/2025/2025-10-28/600312-平高电气（600312）：盈利能力持续改善，研发投入提升，产品持续升级.pdf,600312,平高电气,平高电气（600312）：盈利能力持续改善，研发投入提升，产品持续升级
"徐强,房青,任苒威",盈利预测与投资评级。预计2025-2027年，公司归母净利润11.79亿元、14.15亿元、16.71亿元，增速为15.2%、20.1%、18.1%。对应EPS 0.87元、1.04元、1.23元。结合公司市场地位，未来成长性，以及同业估值，给予公司2026年20倍PE，目标价20.8元，维持“增持”评级。2025前三季净利润较快增长，毛利率明显提升。2025前三季，公司总收入84.36亿元，同比增6.98%；归母净利润9.82亿元，同比增14.62%。综合毛利率25.09%，同比增0.82pct。销售、管理费率均有下降。2025前三季，公司期间费率10.39%，同比降0.15pct。（1）销售费率3.42%，同比降0.48pct。管理费率2.99%，同比降0.33pct。公司费用控制成效显著。（2）研发费率4.46%，同比增0.68pct。（3）财务费率-0.47%，同比降0.02pct。国内网内外，海外市场齐头并进。（1）国内网内：公司在电网集招及特高压中标金额同比大幅增长，市场占有率名列前茅。750千伏GIS实现平高电气、平芝公司“双主体”中标。（2）国内网外：公司中标央企大客户框架，同时实现1000千伏GIL网外市场首次应用。公司签订中煤变电站智能巡视机器人集群系统项目，丰富运维检修解决方案应用场景。（3）国外：公司对于国际市场加快转型，制定单机业务拓展规划。中标沙特高压移动变，420千伏GIS产品首次打入墨西哥市场。风险提示。电网投资不达预期，特高压建设进度不达预期，市场竞争导致毛利率下降。,,国泰海通,增持,[None],2025-10-23,,买入,6696289,pdf_downloads/2025/2025-10-23/600312-平高电气（600312）：前三季净利润较快增长，费用控制成效显著.pdf,600312,平高电气,平高电气（600312）：前三季净利润较快增长，费用控制成效显著
"邓永康,李佳,许浚哲",平高电气(600312)事件：2025年10月21日，公司发布2025年三季报。25Q1-3公司实现营业收入84.36亿元，同比增长6.98%；归母净利润9.82亿元，同比增长14.62%；扣非归母净利润9.77亿元，同比增长15.13%。单25Q3公司实现营业收入27.40亿元，同比下降3.63%，环比下降13.98%；归母净利润3.18亿元，同比下降1.83%，环比增长3.63%；扣非归母净利润3.15亿元，同比下降0.22%，环比增长3.28%。25Q1-3公司毛利率、净利率同比均持续改善。25Q1-3公司毛利率、净利率、扣非净利率分别提升至25.09%、12.54%、11.58%，分别同比提升0.82Pct、0.85Pct、0.82Pcts，公司各项盈利能力指标均持续改善。25Q1-3公司销售费用率、管理费用率均有所压降，25Q1-3公司销售费用率、管理费用率分别降至3.42%、2.99%，较24Q1-3分别同比下降0.49Pct、0.33Pct，公司降本增效措施持续推进；研发费用方面，公司研发投入力度有所加大，25Q1-3研发费用率提升至4.46%，同比提升0.68Pct；25Q1-3财务费用率为-0.47%，同比基本持平。25Q1-3公司存货金额持续提升。25Q1-3公司存货金额提升至25.08亿元，较25H1、24Q1-3的22.40亿元、23.01亿元持续增长，对公司后续业务增长提供相关支撑。国家电网特高压项目招标稳步推进，公司相关业务板块业务有望受益。近日，国家电网发布2025年特高压项目第四次设备招标采购公告，对蒙西-京津冀、藏粤工程两大特高压工程相关设备进行招标，涉及换流变压器、交流变压器、穿墙套管等核心设备，公司高压等相关业务板块有望受益。25年9月，公司公告国家电网2025年第六十批采购、2025年第六十一批采购中标情况，公司联合平芝公司、上海平高、天津平高等子公司在国家电网2025年第六十批采购、2025年第六十一批采购中分别中标13.47亿元、2230万元，公司持续受益于电网相关设备需求。投资建议：我们预计公司2025-2027年营收分别为137.64、153.27、170.32亿元，对应增速分别为11.0%、11.4%、11.1%；归母净利润分别为13.04、15.90、18.94亿元，对应增速分别为27.4%、21.9%、19.2%，以10月22日收盘价为基准，对应2025-2027年PE为17X、14X、12X，公司受益于全球电网基建周期，海外、网外持续贡献增量，维持“推荐”评级。风险提示：电网投资不及预期风险，原材料价格大幅波动风险；海外市场拓展不及预期风险等。,,民生证券,推荐,[None],2025-10-22,,增持,6686653,pdf_downloads/2025/2025-10-22/600312-平高电气（600312）：2025 年三季报点评：盈利能力持续改善，存货金额维持增势.pdf,600312,平高电气,平高电气（600312）：2025 年三季报点评：盈利能力持续改善，存货金额维持增势
"曾朵红,谢哲栋,司鑫尧","事件：公司25年Q1-3营收84.4亿元，同比+7%，归母净利润9.8亿元，同比+14.6%，扣非净利润9.8亿元，同比+15.1%,毛利率25.1%，同比+0.8pct，归母净利率11.6%，同比+0.8pct；其中25年Q3营收27.4亿元，同比-3.6％，归母净利润3.2亿元，同比-1.8%，扣非净利润3.2亿元，同比-0.2%，毛利率25.8%，同比+0.3pct，归母净利率11.6%，同比+0.2pct。盈利能力稳步提升，业绩基本符合市场预期。工程建设滞后交付节奏，网内需求旺盛结构向好。公司Q3收入端承压，截至25Q3公司存货高达25亿元，我们预计主要系公司在手1000kV GIS订单交付受客户工程建设滞后影响未交付所致。我们测算目前公司在手百万伏约39间隔，25年计划交付约10+间隔，Q4有望迎来交付高峰期。招标端，国网前5批输变电组合电器招标同比+10%，其中110/220/330/500/750kV招标同比+4%/2%/85%/7%/56%，招标需求保持稳健增长，其中750kV仍是结构性机会。展望全年，我们预计公司高压板块收入有望实现5-10%增长。GIL成为重要第二增长曲线，配电+国际期待重整再出发。公司是国内GIL的龙头企业，是苏通1000kV GIL管廊的核心供应商，雅下世纪水电工程开工，山体中需要大量的超高压GIL作为电力传输的通道，我们认为公司作为行业内经验最为丰富的企业，目前产能准备充分，GIL业务有望充分受益。国内配电Q1-3受集采影响价格竞争激烈，我们预计国网第二批招标价格战有望趋缓，国际业务目前仍处在调整阶段，海外电力设备需求旺盛，静待公司重整再出发。期间费用率保持稳定，合同负债快速增长。公司25年Q1-3期间费用8.8亿元，同比+5.5%，费用率10.4%，同比-0.2pct，25Q3经营性现金流净流入5.6亿元，同比+116.3%，现金流实现大幅改善；25年Q3末存货/合同负债25.1/18.7亿元，同比+9%/46%，在手订单充沛。盈利预测与投资评级：我们维持公司25-27年归母净利润分别为12.85/16.09/19.46亿元，同比+26%/25%/21%，现价对应PE分别为18x、14x、12x，维持“买入”评级。风险提示：电网投资不及预期，原材料价格大幅波动，竞争加剧等。",,东吴证券,买入,[None],2025-10-22,,买入,6679890,pdf_downloads/2025/2025-10-22/600312-平高电气（600312）：2025 年三季报点评：超特高压GIS需求稳健增长，业绩基本符合市场预期.pdf,600312,平高电气,平高电气（600312）：2025 年三季报点评：超特高压GIS需求稳健增长，业绩基本符合市场预期
"刘俊,边文姣,戚腾元",2025年10月22日│中国内地 电气设备 平高电气发布三季报： 2025年Q1-Q3实现营收84.36亿元（yoy+6.98%），归母净利9.82亿元（yoy+14.62%），扣非净利9.77亿元（yoy+15.13%）。国内输变电设备招标强劲，特高压目前储备线路充足，公司收入与订单结构有望持续改善，叠加公司提质增效不断深化，看好公司盈利能力有望持续提升，维持“买入”评级。毛净利率环比提升，研发保持高水平投入Q3实现营收27.40亿元（yoy-3.63%，qoq-13.98%），归母净利3.18亿元（yoy-1.83%，qoq+3.63%），Q3业绩同比下滑主要系百万伏产品交付节奏影响。公司 2025 年 Q3毛利率为25.84%，环比+4.28pct，净利率为12.41%，环比+2.01pct。提质增效叠加结构改善，盈利能力持续提升。公司 2025 年Q1-3整体费用率为10.39%，同比-0.15pct，其中，销售、管理、财务、研发费用率分别为3.42%、2.99%、-0.47%、4.46%，同比变化-0.48、-0.33、-0.02、+0.68pct，研发保持高水平投入，针对GIL产品、大容量开断技术、高海拔/环保型产品、核心零部件国产替代、国际产品品类认证等领域加大研发力度。蒙西-京津冀、藏粤特高压工程招标，特高压储备项目较多年内特高压建设与规划持续推进，国家发改委 6 月核准批复藏东南-粤港澳大湾区、蒙西-京津冀+800 千伏特高压直流输电工程；5-8 月，陇东-山东、哈密-重庆、宁夏-湖南±800 千伏特高压直流工程接连投运，金上-湖北于9月试运行。特高压项目第四次设备招标采购发布，主要需求来自蒙西-京津冀、藏粤工程。根据Data电力预测，第四次招标金额或超150亿元。加上前3批合计招标金额37.8亿元，前4批合计金额有望达到190亿元（24年全年招标金额261.6亿元），考虑到年内按计划仍有2批招标，同时输变电设备招标需求强劲，公司全年订单有支撑。展望十五五，当前披露的在储备特高压项目较多，叠加网外需求亦在提升，预计订单充足。国内输变电设备招标强劲，公司推出首台800千伏80千安断路器今年1-8月中国电网基本建设投资完成额3796亿元，同增 14.0%。其中，主网招标需求强劲，25 年 1-4 批输变电设备招标金额高达681.9亿元，同比增长 22.9%。公司750千伏GIS实现平高电气、平芝公司“双主体”中标，市场份额有望维持高位。公司成功研制国际首台800千伏80千安断路器，推动了我国大容量高压开关技术进步，为750千伏电网容量提升提供了解决方案。盈利预测与估值考虑到网外项目交付节奏存在一定不确定性，以及配电集采降价影响公司配网业务板块毛利率，我们下调公司25-27年归母净利润（-4.67%/-3.69%/-7.58%）至12.60/15.46/17.51亿元，对应EPS为0.93/1.14/1.29元。可比公司26年Wind一致预期PE均值为20倍，给予公司26年20倍PE，目标价22.8元（前值20.37元，对应21倍25年PE），维持“买入”评级。风险提示：电网投资力度不及预期，行业竞争加剧，原材料价格上涨。,,华泰证券,买入,[None],2025-10-22,,买入,6679047,pdf_downloads/2025/2025-10-22/600312-平高电气（600312）：Q1-3利润稳增，在手高压订单充沛.pdf,600312,平高电气,平高电气（600312）：Q1-3利润稳增，在手高压订单充沛
姚遥,"业绩简评10月21日,公司披露2025年三季报,前三季度实现营收84.4亿元，同比增长 7.0%:实现归母净利润 9.8 亿元,同比增长 14.6%:毛利率 25.1%，同比+0.8pct。其中，03 实现营收27.4亿元，同比-3.6%;实现归母净利润3.2亿元，同比-1.8%，毛利率 25.8%，同比+0.3pct，03 营收&amp;业绩下滑预计主要系国内交付偏慢，整体符合预期。经营分析高压板块行业领先地位稳固，海外市场突破、盈利能力持续提升，1)网内:25 年国网输变电设备前四批招标 682 亿元，同比增长23%，公司累计中标58亿元，同比+55%，市占率上升至8.5%:2)海外:公司自主研发 145 千伏环保 GlS 设备首入欧洲市场，高端电力装备国际化实现关键突破。高压产品交付占比提高、公司不断加强配网、高压设备产线的优化降本工作带动公司盈利能力持续提升，Q3 毛利率 25.8%，同比+0.3pct。25 年电网投资维持高景气，公司订单储备充足。25 年初国南网规划总投资超8250亿元，创历史新高。25年1-8月全国电网工程完成投资3796 亿元，同比+14%。公司合同负债18.7亿元，同比+46%，Q4 浙江环网、达拉特-蒙西、攀西-川渝等多条特高压线路有望陆续核准开工，为公司提供持续的订单增量。销售/管理费用管控良好，研发费用持续投入。前三季度公司销售/管理/研发费用率分别为3.4%/3.0%/4.5%，分别同比-0.5/-0.3/+0.7pct。研发方面,公司研制成功国际首台 800千伏 80千安断路器，推动了我国大容量高压开关技术进步，为我国 750 千伏电网容量提升提供了解决方案。盈利预测、估值与评级公司持续提质增效，作为开关领域绝对龙头充分受益国内主网加速扩容、配网景气度上行、海外电网投资提速，我们预计25-27年公司实现营收 133.9/146.1/163.4 亿元，同比+8%/+9%/+12%，归母净利润 12.2/14.2/17.4亿元，同比+19%/+16%/+23%，当前股价对应 PE 分别为 19/16/13 倍，维持“买入”评级。风险提示电网投资/特高压建设/海外拓展不及预期、行业竞争加剧风险。",,国金证券,买入,[None],2025-10-21,,买入,6676568,pdf_downloads/2025/2025-10-21/600312-平高电气（600312）：Q3业绩符合预期，盈利能力持续提升.pdf,600312,平高电气,平高电气（600312）：Q3业绩符合预期，盈利能力持续提升
