author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"万玮,吴文吉",投资要点下游储能需求强劲，在手订单饱满。2026年全球储能市场将迎来政策、技术、市场三重共振的爆发期，呈现“中国领跑、美欧发力、新兴市场崛起”的格局。公司储能客户覆盖国际头部企业及国内企业，当前已进入批量供货阶段。目前T客户储能需求旺盛，海外市场份额高，后续仍有新增产能持续投放。美国储能市场需求空间巨大，未来几年行业增长速度相对较快。公司依托长期与T客户的合作经验及零投诉的高制造水平，与伊顿、三菱、博世、ABB等国际头部企业达成稳定合作，为其工业控制及储能相关应用提供高可靠性PCB产品；在国内市场，公司与多家储能企业建立合作，核心供应适配高频功率转换与耐高压的储能逆变器PCB产品，未来订单规模将随国内储能市场增长稳步提升。进入英伟达、AMD供应链体系，参与下一代产品研发测试认证。公司在2020年已经开始配合国际客户自研超级计算机系统项目进行相关PCB产品的研发和测试，凭借积累多年的高多层及高密度互联硬板技术，以及车规产品的质量把控，获得了客户的信任。2023年，该项目正式量产，公司成为其主要的PCB供应商，同时公司紧密对接其下一代产品芯片研发升级迭代。该项目为公司积累了AI服务器相关PCB产品的成功生产经验，并以此为契机加快与其他AI服务器头部客户的对接，成功获得欧洲AI超算客户项目定点并已顺利导入批量交付，与国内顶尖AI实验室合作开发模组新产品已小批量交付。此外，公司目前已通过OEM方式进入英伟达、AMD的供应链体系并积极配合客户快速增量需求，同时积极参与下一代新产品的研发测试认证。布局芯片内嵌技术，预计26年年中开始投产。公司布局芯片内嵌技术，通过消除键合线，减小机械应力失效，显著提升芯片互连技术的可靠性；采用超短连接路径，电感可降至1nH以下，进一步降低开关损耗和电压过冲，大幅改善电气性能；通过内嵌的方式，不仅减少了封装体占用的空间、降低了封装成本，还一定程度提升了电气性能和散热效果。公司采用嵌埋工艺将功率芯片直接嵌入到PCB板内，通过创新的制程工艺实现器件与PCB的一体化，优化芯片与电路板的信号传输路径与散热性能，提高系统功效和可靠性。该项目预计2026年中开始投产，目标客户主要是新能源汽车、人形机器人、光伏储能、AIDC数据中心、低空飞行器等领域的客户。投资建议：我们预计公司2025/2026/2027年营业收入分别为60.0/80.1/100.0亿元，归母净利润分别为9.0/12.2/17.1亿元，维持“买入”评级。风险提示：市场复苏不及预期；竞争格局加剧风险；产品研发及技术创新不及预期；客户导入不及预期。,,中邮证券,买入,[None],2026-02-04,,买入,8394603,pdf_downloads/2026/2026-02-04/603920-世运电路（603920）：AI、储能加速成长.pdf,603920,世运电路,世运电路（603920）：AI、储能加速成长
"高宇洋,赵洪,陈诗含",全球领先的PCB厂商，盈利能力处上行通道公司拥有40年深厚积淀，位列2023年全球PCB企业第32位、2022年全球汽车PCB供应商第9位，服务客户主要为特斯拉、松下、三菱、捷普等国际知名企业。公司通过与特斯拉及小鹏的深度协同，突破了“嵌入式电路板”等核心技术，产品聚焦人工智能、人形机器人及800V高压架构等前沿领域。得益于短期不利因素消退及新能源汽车与算力需求上升，公司营收从2020年的25.36亿元增至2024年的50.22亿元，2025年前三季度继续保持10.96%的同比增速；归母净利润自2022年起显著修复，2025年前三季度达6.25亿元，同比增长29.46%；毛利率、净利率分别从2021年的15.44%、5.32%回升至2025年三季度的22.79%、14.85%。2024年顺德控股国资入主，提升了公司的信用评级与融资能力。同时，公司已实现产能超500万平方米/年，规划总产能约800万平方米/年，随着泰国基地及芯创智载基地在2026年陆续投产，规模效应将进一步释放。与大客户共成长，特斯拉链最强α世运电路深度绑定特斯拉链核心红利，全面受益商业航天、脑机接口、人形机器人、智能驾驶四大前沿赛道爆发。公司凭借高性能、高可靠性 PCB 产品，实现低轨卫星相控阵天线、激光通信模块等全链条配套，推进脑机接口核心部件研发测试，覆盖人形机器人中央控制、关节驱动等全系电子电路需求。同时紧抓新能源车电子化、智能化升级机遇，稳定供货全球主流车企，单车 PCB 用量较传统燃油车大幅提升。依托多领域技术积淀与客户资源壁垒，公司未来将持续攻坚高价值产品，巩固并提升全球新兴 PCB 领域领先地位。盈利预测与估值预计公司2025-2027年营业收入分别为61.19/79.56/113.27亿元，同比增速为21.84%/30.02%/42.37%；归母净利润为8.92/11.77/17.18亿元，同比增速为32.22%/31.89%/45.98%，当前股价对应PE为43.14/32.71/22.41倍，EPS为1.24/1.63/2.38元。考虑公司坚持大客户战略，持续推动技术升级，扩张高端产能，积极布局嵌埋技术；把握AI机遇，充分受益特斯拉生长赋能。后续随着产能持续结构性升级转向中高端产品，公司盈利能力有望保持较快增长，并向新兴应用领域延伸，故首次覆盖给与“买入”评级。风险提示下游技术发展及商业化不及预期、产品导入情况不及预期、贸易政策变化带来的供应链及客户风险等。,,浙商证券,买入,[None],2026-01-13,,买入,8332083,pdf_downloads/2026/2026-01-13/603920-世运电路（603920）：深度报告：与特斯拉共成长，有望全面拥抱新领域.pdf,603920,世运电路,世运电路（603920）：深度报告：与特斯拉共成长，有望全面拥抱新领域
"张益敏,吴姣晨","事件：2025前三季度，公司实现营业收入40.78亿元，同比增长10.96%；归母净利润6.25亿元，同比增长29.46%。业绩增长稳健，经营结构健康：公司2025第三季度实现营业收入14.99亿元，同比+17.16%，环比+10.13%，创历史新高；归母净利润2.41亿元，同比+33.77%，环比+17.98%；毛利率22.92%，环比改善0.17百分点；净利率15.66%，环比改善1.04百分点。核心业务多点开花，确立“PCB+封装”一体化新方向：新能源汽车和人形机器人等领域，在不断发展下对PCB产品的性能和规格提出了更高要求。嵌埋工艺将功率芯片直接嵌入PCB板内，能优化信号传输路径与散热性能，提高系统功效和可靠性，在新能源汽车、人形机器人等领域具有广阔的应用前景，公司具备优势，与行业头部客户紧密合作。在AI服务器领域，公司已经实现了28层AI服务器用线路板、24层超低损耗服务器和5G通信类PCB的量产。公司通过ODM厂商进入NV的高速连接器模块与电源模块领域；完成AMD全系产品认证；为多家国产算力厂商的GPU相关产品提供研发支持。储能业务是公司另一大亮点，凭借在高压产品上的技术优势和主力客户的产能扩张，订单饱满，未来增长可期。投资建议：我们预计公司2025-2027年实现营收62.47/86.08/126.44亿元，归母净利润8.70/12.57/19.22亿元。对应PE 分别为35.1/24.3/15.9倍,维持“增持”评级。风险提示：下游需求不及预期风险、汇率风险、行业竞争加剧等风险。",,财通证券,增持,[None],2025-11-03,,增持,7322677,pdf_downloads/2025/2025-11-03/603920-世运电路（603920）：营收创历史新高，汽车、AI与储能驱动增长.pdf,603920,世运电路,世运电路（603920）：营收创历史新高，汽车、AI与储能驱动增长
"张一鸣,何鲁丽",公司业绩持续增长，“AI+”打开成长天花板公司发布2025年3季报，业绩持续增长。公司2025年前三季度实现营业收入40.78亿元，同比增长10.96%；实现归母净利润6.25亿元，同比增长29.46%；实现扣非归母净利润5.4亿元，同比增长15.26%。单季度来看，2025年Q3实现营业收入14.99亿元，同比增速17.16%；实现归母净利润2.41亿元，同比增速33.77%；实现扣非归母净利润1.83亿元，同比增速7.7%。控费能力优秀，规模效应凸显。公司2025年前三季度期间费用率为7.32%，同比-1.66pct；其中销售费用率为1.2%，同比-0.28pct；管理费用率为2.99%，同比-0.35pct；财务费用率为-0.8%，同比-0.9pct；研发费用率为3.93%，同比-0.13pct；费用管控能力优秀。2025年前三季度毛利率为22.79%，同比-0.76pct；销售净利率14.85%，同比+2.31%；公司盈利能力优秀。积极开拓国内外市场，深耕核心领域，加速发展AI+、低空飞行器、人形机器人等新兴产业。公司凭借海外新能源汽车PCB领域的先发优势，进一步延伸布局国内PCB市场，目前已经形成三个重点发展板块，分别是新能源汽车、低空飞行器/无人飞行器以及人形机器人/AI+应用。公司持续开拓新客户，已经取得了海外低空飞行龙头企业（主研电动垂直起降飞行器evtol）、Panasonic Energy、人形机器人龙头企业、北美科技龙头企业A公司、M公司、T公司等客户的认证和项目定点，同时通过OEM方式进入Nvidia和AMD的供应链体系。为了更好的开拓新客户，公司于2024年筹划并实施在泰国投资新建工厂，投资金额不超过2亿美元，截至2025H1已完成主体建设，正在进行机电和设备安装，预计2025年末将正式投产，该项目一期产能设计为高多层和HDI，更加贴合市场需求。盈利预测与投资建议：考虑到公司下游增长不及预期导致前三季度业绩增长不及预期，我们适当下修公司业绩，预计公司2025-2027年营业收入分别为62.54/78.10/97.65亿元，同比增速分别为24.5%/24.9%/25.0%；预计公司2025-2027年归母净利润分别为9.13/12.12/15.47亿元，同比增速35.3%/32.8%/27.6%。当前股价对应2025-2027年PE分别为33.5/25.2/19.7x，维持“买入”评级。风险提示：下游研发/需求不及预期，汇率波动风险，原材料价格波动风险，竞争格局恶化风险。,,国盛证券,买入,[None],2025-11-01,,买入,7187058,pdf_downloads/2025/2025-11-01/603920-世运电路（603920）：公司业绩持续增长，“AI+”打开成长天花板.pdf,603920,世运电路,世运电路（603920）：公司业绩持续增长，“AI+”打开成长天花板
"耿琛,岳阳,姚德昌","世运电路发布 2025 年三季度报告，25 年前三季度实现营收 40.78 亿元（YOY+10.96%），归母净利润6.25亿元（YOY +29.46%），扣非净利润5.40亿元（YOY +15.26%）。25Q3 实现营收 14.99 亿元（YOY +17.16%），归母净利润 2.41 亿元（YOY+33.77%），扣非归母净利润1.83亿元（YOY+7.72%）。业务量提升&amp;产品结构优化，25 年前三季度稳健增长。25H1 营收增长主要系：（1）新客户&amp;新产品同步推进业务量提升。（2）公司通过导入高附加值产品，调整产品结构，从而提高产品平均单价。利润端因为营收增长、产品结构优化等25H1实现增长，25Q3保持25H1趋势，收入利润端保持增长态势。持续巩固汽车业务基本盘，积极拓展 AI/机器人等新兴板块。汽车领域公司积极开拓新能源汽车市场，目前已实现对特斯拉、宝马、大众、保时捷、奔驰、丰田、小鹏、广汽、理想、上汽、吉利等品牌新能源汽车的供货。公司积极导入智能座舱域控制器、智能驾驶视觉COB摄像头电路板、感知激光雷达和毫米波雷达电路板等自动驾驶相关的高价值产品。在AI服务器方面公司目前已经实现了28层AI服务器用线路板、5阶HDI（包括任意层互连）、6oz厚铜多层板、多层软板、多层HDI软硬结合板的批量生产能力，已基本覆盖主流AI服务器所需PCB的工艺要求。此外，公司目前已通过OEM方式进入英伟达、AMD的供应链体系并积极配合客户快速增量需求，并积极参与下一代新产品的研发测试认证。机器人领域公司自2020年起配合客户研发、生产人形机器人 PCB 产品，目前公司的 PCB 产品已基本覆盖人形机器人中央控制系统、视觉感知系统、关节驱动系统、运动控制单元、灵巧手及电源管理系统等全系电子电路需求。公司成功获得人形机器人龙头企业 F 公司的新产品定点和设计冻结进入转量产准备，同时积极推进与国内人形机器人头部客户合作。公司研发“芯创智载”布局新一代 PCB 产品。其芯片内嵌技术带来三大核心优势：（1）消除键合线，减小机械应力失效，显著提升芯片互连技术的可靠性；（2）通过消除键合线并采用超短连接路径，电感可降至 1nH 以下，进一步降低开关损耗和电压过冲，大幅改善电气性能；（3）通过内嵌的方式，不仅减少了封装体占用的空间、降低了封装成本，还一定程度提升了电气性能和散热效果。目标客户群体涵盖新能源车、AI、机器人、智能眼镜等。盈利预测与投资建议。公司质地优质，长期保持稳健成长，在汽车&amp;数通 PCB行业发展背景下公司发展前景广阔。我们预测公司2025-2027年归母净利润为8.69/12.99/16.65亿元, 参考可比公司沪电股份、深南电路等估值情况，给予公司2026年35倍市盈率，目标价63元，维持“强推”评级。风险提示：原材料涨价，汇率波动，下游需求不及预期。",,华创证券,强推,[None],2025-10-30,,买入,7037905,pdf_downloads/2025/2025-10-30/603920-世运电路（603920）：2025年三季报点评：25年前三季度稳健增长，拓展AI、机器人等打造第二增长曲线.pdf,603920,世运电路,世运电路（603920）：2025年三季报点评：25年前三季度稳健增长，拓展AI、机器人等打造第二增长曲线
彭琦,"25Q3业绩增长稳健，大客户产业链带动成长预期 ——世运电路25年三季报业绩点评报告要点：10月28日，公司发布2025年三季报。2025年前三季度，公司营收实现40.78亿元，YoY+10.96%；归母净利实现6.25亿元，YoY+29.46%；毛利率和净利率分别为22.79%和14.85%。单季度25Q3来看，公司营收实现14.99亿元，YoY+17.16%，QoQ+10.13%；归母净利实现2.41亿元，YoY+33.77%，QoQ+17.98%；毛利率和净利率分别为22.92%和15.66%。深度绑定T客户带动业绩稳健增长。T客户作为公司的重要客户，随着T客户的业务发展带动公司业绩预期。新能源车方面，2025年T客户车型迭代计划加快，2025Q3全球销量达到49.71万辆，同比/环比增加7.4%/29.4%，叠加汽车智能化提升单车PCB价值量，在销量增长、单车价值量提升和份额提升共同驱动公司在T客户汽车业务的增长。储能方面，随着上海储能工厂在2025年的投产，T客户储能业务保持增长态势，驱动公司储能PCB业务成长。此外，T客户持续推进人形机器人产品，公司配合客户开发，后续预计将随着人形机器人量产推动公司业绩增长。我们预计公司2025年营收实现57.24亿元，同比增加14%。产品结构优化改善毛利率，公允价值变动提高公司净利率。公司自25Q1以来，毛利率持续改善，主要系公司导入高附加值产品，调整产品结构，带动公司毛利率持续提升。净利率方面，公司25Q3净利率达到15.66%，环比提升1.04 pct，主要系公司公允价值变动净收益达到5700万元。我们预计公司2025年毛利率达到23.5%，净利率约为14.3%。我们预测公司25-26年营收为57.24/72.24亿元，归母净利为8.59/11.48亿元，对应PE为37x/27x，维持“买入”评级。风险提示
上行风险：下游景气度加速提升；导入客户进展顺利；公司产能释放加速
下行风险：下游需求不及预期；客户导入不及预期；其他系统性风险",,国元证券,买入,[None],2025-10-29,,买入,6969185,pdf_downloads/2025/2025-10-29/603920-世运电路（603920）：25年三季报业绩点评：25Q3业绩增长稳健，大客户产业链带动成长预期.pdf,603920,世运电路,世运电路（603920）：25年三季报业绩点评：25Q3业绩增长稳健，大客户产业链带动成长预期
葛星甫,公司为PCB行业先进企业，业绩增长态势良好。公司深耕PCB行业40年，在汽车领域积累深厚。目前，公司已具备单双面板、高/多层板、任意层互联、软板、软硬结合板等产品的量产能力，产品广泛应用于汽车电子、服务器、风光储、消费电子等领域。公司近十年营收保持稳健增长，得益于业务规模扩大、产品结构优化等，2024年，公司实现营收50.22亿元，同比+11.13%；实现归母净利润6.75亿元，同比+36.17%，创历史新高；毛利率自2021年的15.44%持续修复至23.09%。AI服务器需求快速扩张，PCB厂商有望深度受益。大模型应用快速铺展，正催生大量AI服务器需求，根据《2025年中国人工智能计算力发展评估报告》，全球AI服务器市场预计将从2024年的1251亿美元增长至2028年的2227亿美元。公司现已具备28层AI服务器用线路板、5阶HDI、6oz厚铜板等量产能力，基本覆盖AI服务器所需PCB工艺。同时，公司有序扩大产能，泰国工厂一期规划年产能约100万平方米，预计将于2025年底正式投产运营。2024年，公司已通过OEM方式成功切入NVIDIA、AMD核心供应链，服务器业务预计将为公司贡献更多业绩弹性。伴随大客户共成长，汽车、储能业务持续放量。公司与特斯拉合作逾十年，深入参与大客户多项业务。汽车业务：2019年起特斯拉已成为公司最大的汽车终端客户，随着汽车电动化、智能化趋势愈发明显，公司凭借海外新能源汽车PCB领域的先发优势，已向众多国内外头部车厂供货。未来，公司预计将持续导入新客户，重点发力自动驾驶相关的高价值产品。储能业务：2024年，特斯拉储能业务翻倍提升，公司储能产品同步放量；2025年，随着特斯拉上海储能超级工厂投产，预计公司储能产品出货量将保持快速增长。此外，基于技术同源优势，公司正逐步进入大客户人工智能、人形机器人、光伏等新产品供应链，有望进一步加深与大客户的合作关系。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为10.05/15.66/19.45亿元，同比增速分别为48.91%/55.87%/24.21%，当前股价对应的PE分别为29.18/18.72/15.07倍。我们选取沪电股份、景旺电子、深南电路为可比公司，测得2025年PE均值为37.16倍。鉴于公司与大客户合作紧密，汽车和储能业务持续放量，服务器业务在AI大模型驱动下有望快速增长，首次覆盖，给予“买入”评级。风险提示：下游需求不及预期风险；行业竞争加剧风险；地缘政治风险；原材料价格波动风险；汇率波动风险。,,华源证券,买入,[None],2025-09-11,,买入,6424838,pdf_downloads/2025/2025-09-11/603920-世运电路（603920）：首次覆盖报告：扎根汽车电子领域，AI服务器或成为新增长极.pdf,603920,世运电路,世运电路（603920）：首次覆盖报告：扎根汽车电子领域，AI服务器或成为新增长极
吴文吉,事件公司发布2025中报，上半年实现营收达25.79亿元，同比增长7.64%；归属母公司净利润3.84亿元，同比增长26.89%。投资要点AI市场占比持续提升，产品结构高端化发展。公司上半年实现营收达25.79亿元，同比增长7.64%；归属母公司净利润3.84亿元，同比增长26.89%。其中AI及服务器产品、储能及工控业务占比有所增加，未来AI市场增量主导行业增长，预计其占比将持续扩大；消费类以软板为主，作为传统业务将保持稳定或小幅下降；汽车电子与储能业务的占比或因AI的增速而略有下降，但产品结构往高端发展。布局前沿技术，新产品开发取得成果。在汽车电子领域，公司研发的汽车用高速3阶、4阶HDIPCB、HDI软硬结合板、耐离子迁移电高压厚铜PCB实现量产；在自动驾驶方面，公司成功研发了自动驾驶77GHz毫米波雷达PCB、4D高精度毫米波雷达PCB及自动驾驶数据中心服务器PCB等，为智能驾驶和自动驾驶市场提供了关键技术支持。在AI服务器领域，公司开拓的高频高速高层高阶PCB业务取得进展，云端数据中心、AI大算力模组、边缘计算等高多层超低损PCB和28层AI服务器用线路板、24层超低损耗服务器和5G通信类PCB已实现量产。投资建议：我们预计公司2025/2026/2027年营业收入分别为63.2/80.5/97.8亿元，归母净利润分别为8.9/12.0/14.2亿元，维持“买入”评级。风险提示：市场复苏不及预期；竞争格局加剧风险；产品研发及技术创新不及预期；客户导入不及预期。,,中邮证券,买入,[None],2025-09-10,,买入,6416898,pdf_downloads/2025/2025-09-10/603920-世运电路（603920）：AI及服务器产品占比持续提升.pdf,603920,世运电路,世运电路（603920）：AI及服务器产品占比持续提升
苏凌瑶,"世运电路基本盘持续稳固，AI+开拓新增长空间公司发布2025年半年报，2025年上半年公司营收利润稳步增长，逐步开辟AI+新增长曲线，维持“增持”评级。支撑评级的要点2025年上半年公司营收利润稳步增长。公司2025年上半年实现收入25.79亿元，同比+7.64%，实现归母净利润3.84亿元，同比+26.89%，实现扣非归母净利润3.57亿元，同比+19.55%。单季度来看，公司25Q2实现营收13.61亿元，同比+4.55%/环比+11.83%，实现归母净利润2.04亿元，同比+5.23%/环比+13.59%，实现扣非归母净利润1.86亿元，同比-2.00%/环比+9.03%。盈利能力方面，公司2025H1毛利率22.72%，同比-0.04pct，单季度来看，公司2025Q2实现毛利率22.75%，同比-1.92pcts/环比+0.08pct。基本盘日趋稳固，伴随国际客户开疆拓土。公司与国际科技产业领先客户的合作进一步加深。作为其主要PCB供应商，为其提供涵盖电动车三电领域关键零部件产品、辅助驾驶及自动驾驶相关产品，同时基于技术同源发展进入其储能、人工智能、人形机器人、光伏等新产品供应链。未来，在汽车业务方面，公司将继续导入新车型、新产品，持续提高技术和产能的匹配度；在储能业务方面，得益于客户2024年储能业务的翻倍提升，公司储能PCB产品大幅放量，随着客户上海储能超级工厂的投产，预计公司储能产品出货量将保持快速增长态势。此外，在人工智能和人形机器人业务方面，公司继续配合客户技术升级迭代推进发展，支持海外产能释放和未来发展空间。拥抱AI+应用，开发业绩增长曲线。1）人形机器人：25H1公司成功获得人形机器人龙头企业的新产品定点和设计冻结进入转量产准备，同时积极推进与国内人形机器人头部客户合作，通过客户认证获得新一代人形机器人项目定点；2）低空飞行器：低空飞行器与汽车在可靠性和安全性要求上高度关联，公司更容易获得国内外低空飞行器头部客户的信赖，25H1公司与海外和国内头部企业合作开发进展顺利，目前推进小批量交付。航空体系认证已顺利完成。3）AI智能眼镜：25H1公司与国内外头部AI智能眼镜客户开展合作，提供一站式供应服务，并积极参与新产品研发和推进量产供应。公司在海外头部M客户的定点项目已进入量产供应，在国内头部A客户处于新产品认证阶段。估值考虑公司基本盘持续稳固，拥抱 AI+应用开拓增长曲线，公司产品结构有望持续
优化。我们预计公司 2025/2026/2027 年分别实现收入 62.51/75.01/90.01 亿元，实
现归母净利润分别为 8.89/11.37/14.36 亿元，EPS 分别为 1.23/1.58/1.99 元，对应
2025-2027 年 PE 分别为 30.8/24.1/19.1 倍。维持“增持”评级。
评级面临的主要风险宏观经济波动导致供需关系变化的风险、行业产能大幅扩张、竞争激烈导致产品
价格下降的风险，贸易摩擦扩大的风险。",,中银国际,增持,[None],2025-09-08,,增持,6402460,pdf_downloads/2025/2025-09-08/603920-世运电路（603920）：基本盘持续稳固，AI+开拓新增长空间.pdf,603920,世运电路,世运电路（603920）：基本盘持续稳固，AI+开拓新增长空间
"罗炜斌,陈伟光",事件：公司2025上半年营业收入为25.79亿元，同比增长7.64%；归母净利润、扣非后归母净利润分别为3.84和3.57亿元，同比分别增长26.89%和19.55%。点评：业务开拓及产品结构优化，推动上半年业绩增长。公司2025上半年营业收入为25.79亿元，同比增长7.64%，一方面受益于新客户、新产品开拓，业务量整体提升，另一方面受益于产品结构优化，高价值量产品提高产品平均单价。利润方面，公司上半年归母净利润、扣非后归母净利润分别为3.84和3.57亿元，同比分别增长26.89%和19.55%。主要得益于产品结构优化、汇兑收益、理财收益等因素推动。盈利能力方面，公司上半年毛利率为22.72%，同比基本持平，净利率为14.38%，同比提升2.37个百分点。巩固汽车应用基本盘，积极推进AI+应用。汽车应用方面，公司除了持续深耕国际大客户外，还积极导入国内汽车终端客户，今年上半年获得吉利极氪、奇瑞知行、理想智驾等客户智能驾驶项目定点及进入量产供应。在AI服务器领域，公司已经实现28层AI服务器用线路板、5阶HDI等产品批量生产能力，并且通过OEM方式进入英伟达、AMD供应链体系实现量产交付，同时积极参与下一代新产品的研发测试认证。人形机器人方面，公司产品基本覆盖中央控制、视觉感知、关节驱动、运动控制、灵巧手、电源管理等多个系统，上半年获得人形机器人龙头企业F公司的新产品定点和设计冻结进入转量产准备，同时积极推进与国内人形机器人头部客户合作，通过客户验证获得新一代人形机器人项目定点。AI眼镜方面，公司上半年在海外头部M客户的定点项目已进入量产供应，在国内头部A客户处于新产品认证阶段。泰国产能释放在即，加码投建高端产能。泰国工厂目前已完成主体工程建设，机电、设备安装持续推进，预计今年底有望正式投产运营，首期产品为高多层和HDI。另外公司计划在鹤山总部周边地块新建“芯创智载”项目，总投资约15亿元，主要产品为芯片内嵌式PCB、高阶HDI，设计产能分别为18和48万平方米/年，预计2026年中投产。投资建议：预计公司2025-2026年EPS分别为1.23和1.63元，对应PE分别为32和24倍。风险提示：全球贸易摩擦超预期；下游需求不及预期；技术推进不及预期；行业竞争加剧；原材料价格波动等。,,东莞证券,买入,[None],2025-09-01,,增持,6378378,pdf_downloads/2025/2025-09-01/603920-世运电路（603920）：业务开拓及产品结构优化，推动上半年业绩增长.pdf,603920,世运电路,世运电路（603920）：业务开拓及产品结构优化，推动上半年业绩增长
