date,open,high,low,close,volume,amount,turn,peTTM,pbMRQ
2014-01-23,16.39,19.83,16.39,19.83,5926407,116329119.0,19.68579,29.360856,4.354673
2014-01-24,21.81,21.81,21.81,21.81,5683243,123951529.0,18.87807,32.2925,4.789481
2014-01-27,23.3,23.99,23.03,23.99,13644893,324416672.0,45.324341,35.52027,5.26821
2014-01-28,24.6,25.95,24.09,25.57,18907406,472824864.0,62.80487,37.859662,5.615178
2014-01-29,25.13,25.51,23.58,24.63,11668733,288245984.0,38.760116,36.467872,5.408754
2014-01-30,24.38,27.09,24.09,25.51,10483663,267498219.0,34.823661,37.770824,5.602002
2014-02-07,24.95,28.06,24.9,28.06,12978611,350584960.0,43.111148,41.546426,6.161983
2014-02-10,28.06,30.79,27.5,29.32,12785973,370726080.0,42.471261,43.412018,6.438679
2014-02-11,28.88,31.99,28.66,31.9,12187605,368546704.0,40.483657,47.232038,7.005248
2014-02-12,32.0,34.18,30.7,31.67,12766512,411006320.0,42.406617,46.891494,6.95474
2014-02-13,31.25,34.16,30.82,32.51,11169908,361927696.0,37.103166,48.135222,7.139204
2014-02-14,32.08,33.9,31.6,33.9,9981840,331034832.0,33.156751,50.193295,7.444448
2014-02-17,35.74,36.29,33.08,34.74,9646661,333497856.0,32.043385,51.437022,7.628912
2014-02-18,34.2,36.24,33.78,34.45,9385707,326875200.0,31.176572,51.00764,7.565228
2014-02-19,35.0,35.0,31.45,32.9,7223957,237730079.0,23.995871,48.712667,7.224848
2014-02-20,32.2,33.8,31.45,32.88,4992672,163718004.0,16.584195,48.683054,7.220456
2014-02-21,32.5,32.85,31.6,32.75,3972412,127990445.0,13.19519,48.490572,7.191908
2014-02-24,32.8,33.99,32.4,33.99,4720280,157607419.0,15.679389,50.326551,7.464212
2014-02-25,34.09,35.5,30.59,31.0,7077132,234529795.0,23.508161,45.899473,6.807607
2014-02-26,29.0,30.5,28.47,29.42,5495634,160470664.0,18.254888,43.560081,6.460639
2014-02-27,29.64,32.36,29.33,32.05,10438582,328725136.0,34.673915,47.454133,7.038188
2014-02-28,30.37,33.99,28.85,33.8,9997884,310879328.0,33.210045,50.045232,7.422488
2014-03-03,33.5,37.16,33.15,36.7,11669147,414194688.0,38.761491,54.339054,8.059329
2014-03-04,35.6,38.58,34.02,35.0,11872837,432112000.0,39.43809,51.821986,7.686008
2014-03-05,34.85,38.26,34.8,36.35,10930215,399561360.0,36.306976,53.820834,7.982469
2014-03-06,36.01,37.99,33.55,36.71,9310233,335282144.0,30.925869,54.35386,8.061525
2014-03-07,37.31,39.0,35.01,35.42,9984100,371897536.0,33.164258,52.44385,7.77824
2014-03-10,32.8,34.0,31.88,32.0,7327445,241080724.0,24.339628,47.380101,7.027208
2014-03-11,33.5,33.5,29.4,30.28,5664402,176075739.0,18.815486,44.833421,6.649495
2014-03-12,30.35,30.83,27.93,29.66,6053986,176898958.0,20.10957,43.915431,6.513343
2014-03-13,29.23,29.5,28.5,29.01,4245545,122976642.0,14.102458,42.953023,6.370603
2014-03-14,28.66,29.69,28.66,29.21,3845711,112203023.0,12.774327,43.249149,6.414523
2014-03-17,28.85,30.67,28.6,30.45,4599567,137793236.0,15.278416,45.085128,6.686827
2014-03-18,30.4,31.0,29.81,29.83,5117797,155321032.0,16.999824,44.167138,6.550675
2014-03-19,29.58,29.58,28.5,28.89,3791662,109640702.0,12.594792,42.775348,6.344251
2014-03-20,28.85,29.08,27.41,27.42,3382954,95466797.0,11.237183,40.598824,6.021439
2014-03-21,27.06,28.4,26.78,27.9,2565728,70612767.0,8.522598,41.309526,6.126847
2014-03-24,27.65,28.2,26.17,26.6,3250566,88615069.0,10.797429,39.384709,5.841366
2014-03-25,26.3,26.75,26.1,26.34,2467611,65064860.0,8.196682,38.999746,5.78427
2014-03-26,26.38,26.94,26.2,26.36,2126718,56440427.0,7.064335,39.029358,5.788662
2014-03-27,26.2,26.3,24.7,24.7,3122659,79189612.0,10.372559,36.571516,5.424126
2014-03-28,24.78,25.93,24.02,25.67,4282746,107959352.0,14.226029,38.007725,5.637138
2014-03-31,25.14,25.67,24.14,24.39,2318784,57853997.0,7.702322,36.112521,5.35605
2014-04-01,24.53,25.82,24.44,25.79,2963923,75177854.0,9.845285,38.1854,5.66349
2014-04-02,25.7,26.93,25.06,26.63,4331271,112305341.0,14.387215,39.429128,5.847954
2014-04-03,26.0,27.43,26.0,26.59,4195471,112426427.0,13.936127,39.369903,5.83917
2014-04-04,26.3,26.58,26.03,26.14,2133392,55982186.0,7.086504,38.70362,5.74035
2014-04-08,26.01,26.85,25.7,26.74,2626055,69412638.0,8.722986,39.591997,5.87211
2014-04-09,26.55,28.77,26.39,27.8,4227433,115341506.0,14.042295,41.161463,6.104887
