日期,股票代码,股票名称,5年均值回归的市盈率,10年均值回归的市盈率,最新市盈率,预估每股净利润增长率(%),PEG,5年均值PE回归的收益率(%),10年均值PE回归的收益率(%),最新市净率,5年均值回归的市净率,10年均值回归的市净率,报告信息
2025/11/28,876,新希望,5800.5,2903.1,39.2,464.72%,0.1,6767.88%,4758.67%,1.9,2.22,2.33,开源证券  2025-11-01  440.1  27.1  13.8  4.647238648031982  https://pdf.dfcfw.com/pdf/H3_AP202511011773273759_1.pdf
2025/11/28,408,藏格矿业,533.9,346.4,27.6,41.01%,0.7,520.62%,399.91%,6.32,4.15,14.34,"华鑫证券  2025-10-30  25.1  19.5  15.3  0.2808289799254986  https://pdf.dfcfw.com/pdf/H3_AP202510301771730956_1.pdf
东吴证券  2025-10-20  22.47  14.99  9.94  0.5035170036556587  https://pdf.dfcfw.com/pdf/H3_AP202510201765679149_1.pdf
民生证券  2025-10-18  23.0  15.0  11.0  0.4459976109624424  https://pdf.dfcfw.com/pdf/H3_AP202510181764498384_1.pdf"
2025/11/28,300498,温氏股份,112.4,68.8,14.9,27.31%,0.5,249.26%,173.25%,2.79,3.34,4.15,"国信证券  2025-10-29  12.6  16.8  22.6  -0.2533259587384832  https://pdf.dfcfw.com/pdf/H3_AP202510291771122736_1.pdf
太平洋  2025-10-28  17.39  10.1  11.08  0.2527947097739298  https://pdf.dfcfw.com/pdf/H3_AP202510281770656119_1.pdf
山西证券  2025-10-23  17.9  11.8  9.6  0.3654974673478282  https://pdf.dfcfw.com/pdf/H3_AP202510231767559090_1.pdf
开源证券  2025-10-23  17.8  10.0  7.3  0.5615236675707358  https://pdf.dfcfw.com/pdf/H3_AP202510231767521750_1.pdf
华安证券  2025-10-22  18.08  11.22  8.73  0.4391037047695099  https://pdf.dfcfw.com/pdf/H3_AP202510221767066653_1.pdf"
2025/11/28,2074,国轩高科,214.6,110.4,21.3,9.01%,2.4,245.93%,148.10%,2.49,3.03,3.99,"华安证券  2025-11-10  47.49  31.72  23.8  0.412578546934826  https://pdf.dfcfw.com/pdf/H3_AP202511101778677064_1.pdf
东兴证券  2025-11-04  23.5  31.3  24.1  -0.012526590515048897  https://pdf.dfcfw.com/pdf/H3_AP202511041774955381_1.pdf
交银国际证券  2025-10-30  22.8  49.1  30.1  -0.1296695552512952  https://pdf.dfcfw.com/pdf/H3_AP202510301772050372_1.pdf"
2025/11/28,601236,红塔证券,236.6,203.1,41.5,31.69%,1.3,214.29%,191.21%,1.64,2.07,2.71,太平洋  2025-07-03  32.57  22.73  18.78  0.316925130668789  https://pdf.dfcfw.com/pdf/H3_AP202507031702091371_1.pdf
2025/11/28,600150,中国船舶,187,130.8,38.3,42.26%,0.9,214.21%,162.76%,1.83,2.56,2.26,"诚通证券  2025-10-31  30.6  21.9  14.4  0.4577379737113252  https://pdf.dfcfw.com/pdf/H3_AP202510311772551806_1.pdf
东吴证券  2025-10-31  29.72  20.14  15.44  0.3873970110682967  https://pdf.dfcfw.com/pdf/H3_AP202510311772233909_1.pdf"
2025/11/28,600026,中远海能,108.3,73.7,20,17.36%,1.2,173.17%,125.34%,1.76,1.6,1.27,"国信证券  2025-11-06  14.2  12.1  11.7  0.10166928507388895  https://pdf.dfcfw.com/pdf/H3_AP202511061776348140_1.pdf
信达证券  2025-10-31  15.38  13.03  12.66  0.10220230493818994  https://pdf.dfcfw.com/pdf/H3_AP202510311772615929_1.pdf
国金证券  2025-10-31  11.89  8.72  7.9  0.22681020990992762  https://pdf.dfcfw.com/pdf/H3_AP202510311772420351_1.pdf
华源证券  2025-10-17  11.07  7.41  6.93  0.2638839335170764  https://pdf.dfcfw.com/pdf/H3_AP202510171763845335_1.pdf"
2025/11/28,2594,比亚迪,96.1,77.9,22.6,22.97%,1,153.37%,128.10%,3.95,7.04,5.28,"西南证券  2025-11-14  20.81  17.06  13.58  0.23790168797914646  https://pdf.dfcfw.com/pdf/H3_AP202511141781242716_1.pdf
中国银河  2025-11-07  23.32  18.69  14.91  0.250620235124027  https://pdf.dfcfw.com/pdf/H3_AP202511071776771591_1.pdf
浦银国际证券  2025-11-05  30.9  23.9  19.9  0.24609944189678434  https://pdf.dfcfw.com/pdf/H3_AP202511051775782476_1.pdf
开源证券  2025-11-04  27.7  20.8  17.0  0.2764841419719566  https://pdf.dfcfw.com/pdf/H3_AP202511041774836680_1.pdf
太平洋  2025-11-04  25.83  19.93  17.59  0.21179535475584554  https://pdf.dfcfw.com/pdf/H3_AP202511041774810139_1.pdf
海通国际  2025-11-03  28.49  20.8  17.37  0.2806967735090353  https://pdf.dfcfw.com/pdf/H3_AP202511031774464055_1.pdf
民生证券  2025-11-03  25.0  19.0  16.0  0.25  https://pdf.dfcfw.com/pdf/H3_AP202511031774438302_1.pdf
国元证券  2025-11-02  23.96  18.12  14.62  0.2801761164749508  https://pdf.dfcfw.com/pdf/H3_AP202511021773918881_1.pdf
民生证券  2025-11-02  25.0  19.0  16.0  0.25  https://pdf.dfcfw.com/pdf/H3_AP202511021773832433_1.pdf
国金证券  2025-10-31  26.6  22.42  17.87  0.2200525642991984  https://pdf.dfcfw.com/pdf/H3_AP202510311772394146_1.pdf
民生证券  2025-10-09  22.0  16.0  14.0  0.2535663410560174  https://pdf.dfcfw.com/pdf/H3_AP202510091758761572_1.pdf
中航证券  2025-09-10  23.0  18.0  13.0  0.3301243435223524  https://pdf.dfcfw.com/pdf/H3_AP202509101741012854_1.pdf
浦银国际证券  2025-09-09  30.9  28.7  24.0  0.13468057179102155  https://pdf.dfcfw.com/pdf/H3_AP202509091740843252_1.pdf
东吴证券  2025-09-04  21.71  16.6  13.76  0.25608981681525345  https://pdf.dfcfw.com/pdf/H3_AP202509041738686956_1.pdf
民生证券  2025-09-02  22.0  17.0  14.0  0.2535663410560174  https://pdf.dfcfw.com/pdf/H3_AP202509021738139982_1.pdf
东莞证券  2025-09-02  20.99  16.35  13.63  0.2409614524576067  https://pdf.dfcfw.com/pdf/H3_AP202509021738066593_1.pdf
东吴证券  2025-09-02  23.1  17.66  14.64  0.25613249797106064  https://pdf.dfcfw.com/pdf/H3_AP202509021737972611_1.pdf
太平洋  2025-09-01  23.83  18.19  14.47  0.28329870382318934  https://pdf.dfcfw.com/pdf/H3_AP202509011737545224_1.pdf
中国银河  2025-08-31  21.36  18.75  15.58  0.17089215845293482  https://pdf.dfcfw.com/pdf/H3_AP202508311737323097_1.pdf
民生证券  2025-08-31  23.0  17.0  15.0  0.23827837473378066  https://pdf.dfcfw.com/pdf/H3_AP202508311737268063_1.pdf
国金证券  2025-08-31  20.93  17.42  13.27  0.25588291612727443  https://pdf.dfcfw.com/pdf/H3_AP202508301736966063_1.pdf
东吴证券  2025-08-30  19.87  16.53  13.75  0.20211934061927028  https://pdf.dfcfw.com/pdf/H3_AP202508301736836386_1.pdf
华安证券  2025-08-13  18.94  15.4  12.95  0.20935861618804474  https://pdf.dfcfw.com/pdf/H3_AP202508131726781227_1.pdf
中国银河  2025-08-13  18.04  14.99  12.57  0.19798292421653452  https://pdf.dfcfw.com/pdf/H3_AP202508131726696159_1.pdf
民生证券  2025-08-10  17.0  14.0  13.0  0.1435437497937313  https://pdf.dfcfw.com/pdf/H3_AP202508101725017291_1.pdf
东吴证券  2025-08-06  18.43  15.34  12.76  0.20181419810682866  https://pdf.dfcfw.com/pdf/H3_AP202508061722204669_1.pdf
民生证券  2025-08-04  17.0  15.0  13.0  0.1435437497937313  https://pdf.dfcfw.com/pdf/H3_AP202508031720890791_1.pdf
民生证券  2025-07-10  32.0  27.0  24.0  0.15470053837925146  https://pdf.dfcfw.com/pdf/H3_AP202507091705938431_1.pdf"
2025/11/28,600160,巨化股份,99.5,89.6,22.9,20.73%,1.1,151.86%,139.02%,4.43,3.1,2.6,"太平洋  2025-11-08  19.61  16.45  14.36  0.1685884159077875  https://pdf.dfcfw.com/pdf/H3_AP202511081777680658_1.pdf
华安证券  2025-11-03  21.8  16.81  14.47  0.22742222056341577  https://pdf.dfcfw.com/pdf/H3_AP202511031774514426_1.pdf
开源证券  2025-10-24  18.8  13.2  11.3  0.28985146980545484  https://pdf.dfcfw.com/pdf/H3_AP202510241768313499_1.pdf
国信证券  2025-10-24  23.5  20.1  18.7  0.12101939857373112  https://pdf.dfcfw.com/pdf/H3_AP202510241767996508_1.pdf
环球富盛理财  2025-10-21  21.56  16.71  15.7  0.17185682045346828  https://pdf.dfcfw.com/pdf/H3_AP202510211766177194_1.pdf
华安证券  2025-09-28  22.38  17.18  14.79  0.2301156791857013  https://pdf.dfcfw.com/pdf/H3_AP202509281752049071_1.pdf
华金证券  2025-09-08  23.8  19.1  15.7  0.23122847874753982  https://pdf.dfcfw.com/pdf/H3_AP202509081740097765_1.pdf
中航证券  2025-09-03  20.75  15.81  13.32  0.24812171193670363  https://pdf.dfcfw.com/pdf/H3_AP202509021738163735_1.pdf
上海证券  2025-08-31  22.16  19.19  16.76  0.1498676898049094  https://pdf.dfcfw.com/pdf/H3_AP202508311737285917_1.pdf
东海证券  2025-08-28  22.84  17.37  14.97  0.23519962065749178  https://pdf.dfcfw.com/pdf/H3_AP202508281736033769_1.pdf
开源证券  2025-08-28  18.9  13.3  11.3  0.2932773761577272  https://pdf.dfcfw.com/pdf/H3_AP202508281735907646_1.pdf
国信证券  2025-08-28  23.5  20.1  18.7  0.12101939857373112  https://pdf.dfcfw.com/pdf/H3_AP202508281735871629_1.pdf"
2025/11/28,600460,士兰微,262.9,10848.1,86.1,38.52%,2.2,142.10%,1455.16%,3.89,7.72,6.29,中邮证券  2025-08-25  79.28  56.2  41.32  0.38516549418219026  https://pdf.dfcfw.com/pdf/H3_AP202508251734212394_1.pdf
