author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"伍云飞,傅肖依",核心观点创新药放量叠加出海提速，驱动业绩高质量增长。公司2025前三季度实现营收231.88亿元，同比+14.85%，归母净利润57.51亿元，同比+24.50%。Q3单季度实现营收74.27亿元，同比+12.72%，归母净利润13.01亿元，同比+9.53%。业绩高速增长主要来自于两方面：第一，创新药研发成果持续兑现，核心产品市场渗透率提升；第二，对外授权合作加速，首付款及里程碑收益贡献增量业绩。创新管线高效兑现，核心产品矩阵持续扩容。我们认为，公司持续强化由创新驱动成长：首先，今年第三季度首个国产EZH2抑制剂、首个自研口服降糖三联复方制剂获批，未来随着这些产品陆续上市，销售潜力将得到加速释放。其次，公司储备了一批优质在研管线，在继续加强肿瘤等强势领域的同时，进一步完善代谢和心血管疾病、免疫和呼吸系统疾病、神经科学领域的广泛布局，前三季度累计13项新药上市申请获NMPA受理（Q3单季达8项），其中GLP-1/GIP双靶点减重药HRS9531等重磅品种进展亮眼；第三，公司新分子模式平台、AI药物研发平台等多个新技术平台不断迭代，支撑源头创新不断涌现。BD交易频传捷报，合作模式持续创新。公司通过BD交易与自研出海双路径加速全球化落地，前三季度海外授权首付款已超8亿美元。今年第三季度，公司达成3项对外授权：1）与GSK达成 PDE3/4在内的12款创新药合作协议，首付款5亿美元，潜在总金额120亿美元；2）与Glenmark就瑞康曲妥珠单抗（SHR-A1811）达成合作，首付款1800万美元，里程碑付款及销售提成最高可达10.93亿美元；3）与Braveheart Bio就HRS-1893达成合作，首付款6500万美元，里程碑付款最高可达10.23亿美元。我们认为，凭借公司强大的自主研发实力，未来创新药成果有望持续出海，引领国产创新药出海浪潮。考虑到公司创新药持续出海，对外许可收入超预期，故我们上调公司2025-2027年EPS为1.32、1.51、1.72元（原预测值分别为1.19、1.36、1.54元）。根据PE估值法及可比公司估值水平，给予公司2026年52倍市盈率，对应目标价为78.52元，维持“买入”评级。风险提示创新药研发不及预期的风险，创新药销售不及预期的风险，仿制药进入集采的风险。,,东方证券,买入,[None],2025-11-10,,买入,7593565,pdf_downloads/2025/2025-11-10/600276-恒瑞医药（600276）：2025 年三季报点评：“创新+出海”快速推动全球化.pdf,600276,恒瑞医药,恒瑞医药（600276）：2025 年三季报点评：“创新+出海”快速推动全球化
王斌,事件：公司发布2025年三季报，2025年前三季度实现营业收入231.88亿元（+14.85%），归属于上市公司股东的净利润为57.51亿元（+24.50%），归属于上市公司股东的扣非净利润为55.89亿元（+21.08%）。对外许可交易持续落地，有望成为常态化收入来源。2025 年第三季度公司经营活动产生的现金流量净额为48.10亿元（同比+209.78%），主要是由于本报告期药品销售及海外授权首付款收到的现金增加；第三季度末公司合同负债金额为39.71亿元，与第二季度末相比大幅增长，我们认为主要是由于公司收到与GSK合作项目(HRS-9821等产品)中5亿美元首付款；后续随着项目推进，预计将逐步确认为收入。在2025年第3季度，公司与Glenmark Specialty公司签署瑞康曲妥珠单抗项目授权许可协议，与Braveheart Bio签署HRS-1893项目授权许可协议。我们认为公司中早期创新药项目储备丰富，创新药权益对外许可有望常态化，成为公司业绩新的增长动力。创新药管线不断兑现，驱动收入平稳增长。2025年第三季度，公司有SHR7280片（辅助生殖）和HRS9531(GLP-1R/GIPR，减重适应症) 的上市许可申请获得受理，阿得贝利单抗注射液（基因突变阴性NSCLC的辅助治疗及新辅助治疗）、瑞康曲妥珠单抗（HER2+阳性乳腺癌）、海曲泊帕（化疗所致血小板减少、ITP）等创新药的新增适应症的上市许可申请获得受理，泽美妥司他片（EZH2抑制剂，适应症为R/R PTCL）和全氟己基辛烷滴眼液等新品种获批上市。随着公司创新药管线持续兑现，预计创新药总收入将保持平稳增长。盈利预测和估值。根据公司近期经营情况，我们对盈利预测进行调整，预计2025年至2027年公司营业收入分别为328.11亿元、366.27亿元和416.46亿元，同比增速分别为17.2%、11.6%和13.7%；归属于上市公司股东的净利润分别为89.38亿元、105.51亿元和122.94亿元，同比增速分别为41.1%、18.0%和16.5%，以11月4日收盘价计算，对应PE分别为46.0倍、39.0倍和33.4倍，维持“买入”评级。风险提示：创新药受审评、医保支付政策变动等因素影响，获批上市速度、销售额低于预期；临床研究失败；仿制药集采降价幅度超预期。,,首创证券,买入,[None],2025-11-05,,买入,7474914,pdf_downloads/2025/2025-11-05/600276-恒瑞医药（600276）：对外许可交易持续落地，创新药管线不断兑现.pdf,600276,恒瑞医药,恒瑞医药（600276）：对外许可交易持续落地，创新药管线不断兑现
"盛丽华,陈灿",恒瑞医药(600276)收入内生增速稳健，关注BD首付款落地节奏事件公司发布2025年三季报，前三季度实现营业收入231.8亿元（+14.9%）、归母净利润57.5亿元（+24.5%）、扣非归母净利润55.9亿元（+21.1%）。25Q3收入74.3亿元（+12.7%）、归母净利润13.0亿元（+9.5%）、扣非归母净利润13.2亿元（+16.7%）。核心观点Q3收入内生增速稳健，与GSK合作首付款有望于Q4确认 25Q3收入增速符合预期，预计确认的BD首付款占比不大，内生增速相对稳健，预计创新药销售收入仍保持较快增长。综合公司Q3现金流量表以及资产负债表中合同负债项目（25Q3为39.71亿元、25H1为1.61亿元），我们预计授予GSK PDE3/4抑制剂HRS-9821等多项药物海外权益的5亿美元首付款等BD收入将于Q4确认。Q3净利率为17.6%，盈利能力相对稳定25Q1-Q3毛利率为86.2%（+0.3pct），期间费用率合计58.3%（-1.6pct），其中销售费用率29.2%（-1.0pct）、管理费用率9.2%（-0.1pct）、研发费用率21.3%（-1.2pct）、财务费用率-1.4%（+0.8pct）；净利率为24.8%（+2.0pct）。25Q3毛利率为85.5%（+0.0pct），期间费用率合计65.4%（-0.1pct），其中销售费用率32.2%（-0.8pct）、管理费用率11.3%（+0.7pct）、研发费用率23.1%（+0.2pct）、财务费用率-1.2%（-0.2pct）；净利率为17.6%（-0.5pct）。盈利预测与投资建议预计公司25/26/27年收入分别为344.4/390.5/438.8亿元，同比增长23.1%/13.4%/12.4%；归母净利润为91.8/107.0/117.7亿元，同比增长44.9%/16.6%/10.0%，对应PE为45/39/35倍。公司为根植中国、全球领先的创新型制药企业，已形成行业领先且高度差异化的创新产品矩阵，维持“买入”评级。风险提示：产品销售不及预期；新药临床进度不及预期；新药临床数据不及预期。,,中邮证券,买入,[None],2025-11-03,,买入,7307250,pdf_downloads/2025/2025-11-03/600276-恒瑞医药（600276）：收入内生增速稳健，关注BD首付款落地节奏.pdf,600276,恒瑞医药,恒瑞医药（600276）：收入内生增速稳健，关注BD首付款落地节奏
"程培,孙怡",事件：2025年10月28日，恒瑞医药发布2025年第三季度报告。2025年前三季度公司实现营业收入231.88亿元，同比增长14.85%；实现归母净利润57.51亿元，同比增长24.50%；实现扣非归母净利润55.89亿元，同比增长21.08%。三季度收入保持较快增长，经营稳健。公司单三季度实现营收74.27亿元，同比增长12.72%，其中包含上半年公司与Merck KgaA关于SHR7280项目达成合作的1500万欧元首付款；实现归母净利润13.01亿元，同比增长9.53%；实现扣非归母净利润13.17亿元，同比增长16.89%。公司单三季度销售毛利率为85.45%，与去年同期基本持平，费用率方面，销售费用率/管理费用率/研发费用率分别为32.2%/11.33%/23.12%，与去年同期比分别-0.75pcts/+0.7pcts/+0.18pcts，预计公司费用率总体将逐步收窄。海外战略持续推进，多项BD合作落地。三季度公司多项BD合作落地，包括1）7月28日，公司就HRS-9821（PDE3/4抑制剂）在内的12款创新产品与GSK达成合作，公司将获得5亿美元首付款&总金额约120亿美元的选择权行使费和里程碑付款&分梯度销售提成；2）9月5日，公司就HRS-1893项目（Myosin抑制剂）海外权益与Braveheart Bio达成合作，公司将获得6500万美元首付款含现金及等值股权&技术转移后1000万美元近期里程碑款&最高可达10.13亿美元开发和销售里程碑付款&销售提成；3）9月24日，公司就瑞康曲妥珠单抗部分国际市场权益与Glenmark达成合作，公司将获得1800万美元首付款&最高可达10.93亿美元注册和销售里程碑付款&销售提成，BD常态化将成为公司未来收入的新增长引擎。创新产品持续兑现，为业绩带来持续增量。三季度公司多款创新产品上市，包括：EZH2抑制剂泽美妥司他片，用于治疗脸板腺功能障碍相关干眼的全氟己基辛烷滴眼液，以及口服降糖三联复方制剂恒格列净瑞格列汀二甲双胍缓释片。此外，多项产品获得NDA受理，包括：HRS9531注射液用于成人长期体重管理适应症（6mg剂量组48周平均减重19.2%）、海曲泊帕用于儿童原发以及成人化疗引发血小板减少症、瑞康曲妥珠单抗用于HER2+BC。在刚结束的ESMO大会上，公司共发布46项研究成果，公司在研管线充足，创新产品持续兑现，看好公司未来创新药收入占比持续提升，推动公司业绩持续快速增长。投资建议：考虑公司研发管线丰富，且有较大体量授权收入确认贡献业绩增量，我们预计公司2025-2027年归母净利润为86.66/100.73/121.31亿元，同比增长37%/16%/20%，EPS分别为1.31/1.52/1.83元，当前股价对应2025-2027年PE为49/42/35倍，维持“推荐”评级。风险提示：市场竞争的风险，市场推广不及预期的风险，新品研发不及预期的风险。,,银河证券,推荐,[None],2025-10-31,,买入,7114605,pdf_downloads/2025/2025-10-31/600276-恒瑞医药（600276）：业绩保持稳定增长，创新兑现、国际化加速.pdf,600276,恒瑞医药,恒瑞医药（600276）：业绩保持稳定增长，创新兑现、国际化加速
刘闯,事件：2025年10月27日，恒瑞医药发布三季报。公司实现营业收入231.88亿元，同比增长14.85%；归属于上市公司股东的净利润57.51亿元，同比增长24.50%。前三季度研发费用达49.45亿元，据此公司累计研发投入已超500亿元。主业增长稳健。财务方面，2025年前三季度：公司实现营业收入231.88亿元，同比增长14.85%；归母净利润57.51亿元，同比增长24.50%；扣非归母净利润55.89亿元，同比增长21.08%；单独三季度：公司实现营业收入74.27亿元，同比增长12.72%；归母净利润13.01亿元，同比增长9.53%；扣非归母净利润13.17亿元，同比增长16.89%。费用方面，2025年前三季度：研发费用49.45亿元，同比增长8.72%，研发费用率21.33%；销售费用67.80亿元，同比增长10.99%，销售费用率29.24%；管理费用21.27亿元，同比增长13.49%，管理费用率9.17%。新产品陆续上市，创新管线价值不断兑现。报告期内：EZH2抑制剂泽美妥司他片、全氟己基辛烷滴眼液等获批上市，海曲泊帕、HRS9531注射液、瑞康曲妥珠单抗等8项品种适应症获上市申请受理，注射用SHR-1501、HRS-5635注射液等4款产品被纳入突破性治疗品种名单，获得48个临床批件，新产品逐步上市，创新管线价值不断兑现。国际化进程全面提速，海外BD交易或提供常态化利润。2025年第三季度，公司达成3项海外BD授权：1）与GSK合作共同开发至多12款创新药物（含HRS-9821大中华区以外授权），获得5亿美元首付款，潜在120亿美元的行权费和里程碑付款；2）将HRS-1893海外权益授权给BraveheartBio，获得6500万美元首付款（现金及等值股权），潜在最高10.13亿美元的里程碑付款；3）将瑞康曲妥珠单抗部分国际市场权益授权给Glenmark，获得1800万美元首付款，潜在最高10.93亿美元的里程碑付款。潜力在研管线有望通过BD交易为公司提供常态化利润。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为94.31/113.31/136.93亿元，同比增速分别为+48.84%/+20.14%/+20.85%，当前股价对应的PE分别为44/37/30倍。鉴于公司创新产品收入及占比不断提升，在研管线丰富，全球化拓展进度顺利，维持“买入”评级。风险提示：竞争格局恶化风险、销售不及预期风险、行业政策风险等。,,华源证券,买入,[None],2025-10-31,,买入,7095384,pdf_downloads/2025/2025-10-31/600276-恒瑞医药（600276）：主业稳健增长，创新管线价值持续兑现.pdf,600276,恒瑞医药,恒瑞医药（600276）：主业稳健增长，创新管线价值持续兑现
杜向阳,事件：2025年前三季度，公司实现营业收入231.88亿元，同比增加14.85%；实现归母净利润57.51亿元，同比增加24.50%；实现扣非归母净利润55.89亿元，同比增加21.08%。收入稳健增长，费用率管理良好。分季度看，Q1-Q3公司分别实现营业收入72.06/85.56/74.27亿元，同比分别增长20.14%/12.53%/12.72%；实现归母净利润18.74/25.76/13.01亿元，同比分别增加36.90%/24.88%/9.53%。前三季度，毛利率86.22%（+0.25pp）；净利率24.84%（+1.97pp），归母净利率24.80%（+1.92pp），利润率稳步提升。费用率管控良好，研发费用率21.33%（-1.20pp），销售费用率29.24%（-1.02pp），管理费用率9.17%（-0.11pp）。BD成果不断，持续布局全球化进程。25Q3公司已实现3笔对外授权，首付款总计5.83亿美元，里程碑付款总计可达141.16亿美元，以及各自相应的销售提成：1）与GSK 就PDE3/4抑制剂等12款药物达成合作，首付款 5 亿美元、里程碑付款最高可达120亿美元；2）与Glenmark就瑞康曲妥珠单抗(SHR-A1811)达成合作，首付款1800万美元、里程碑付款最高可达10.93亿美元；3）与Braveheart Bio就HRS-1893达成合作，首付款6500万美元，里程碑付款最高可达10.23亿美元。创新药管线持续突破，多领域布局彰显研发实力。自中报披露以来，公司上市药品：1）中国首个自主研发的口服降糖三药联合固定复方制剂恒格列净瑞格列汀二甲双胍缓释片；2）卡瑞利珠单抗联合苹果酸法米替尼用于复发或转移性宫颈癌患者的一线治疗；3）氟唑帕利联用治疗DRD+的转移性去势抵抗性前列腺癌的一线治疗。获批临床试验：1）获批瑞康曲妥珠单抗单药对比多西他赛+卡铂+曲妥珠单抗+帕妥珠单抗新辅助治疗HER2+乳腺癌的Ⅲ期临床研究。2）SHR-A2102（nectin-4 ADC）、SHR-7787（DLL3 ADC）获批开展Ⅱ期临床。3）SHR-A2102联合疗法ⅠB/Ⅱ期临床。4）SHR-1905、HRS-2329、SHR-4298、 HRS-2129获批开展临床试验。公司创新管线层次丰富，广泛布局多适应症。盈利预测与投资建议：预计公司2025-2027年归母净利润分别为78.8/94.9/112.6亿元，对应PE为54X/45X/38X。创新药管线持续布局，国际化出海成果颇丰，龙头效应明显，维持“买入”评级。风险提示：研发及商业化不及预期风险；行业政策风险；国际化风险等。,,西南证券,买入,[None],2025-10-30,,买入,7040647,pdf_downloads/2025/2025-10-30/600276-恒瑞医药（600276）：出海屡创佳绩，创新驱动增长.pdf,600276,恒瑞医药,恒瑞医药（600276）：出海屡创佳绩，创新驱动增长
"阳景,胡泽宇","恒瑞医药(600276)尽管公司3Q25业绩不及市场预期，我们仍然长期看好公司在全球范围内强大的研发实力与执行力、创新药收入的强劲增速以及能见度不断提升的国际化前景。维持“买入”评级和目标价。3Q25收入和净利润不及市场预期。3Q25公司总收入达到人民币74.3亿元（+12.7%YoY,-13.2%QoQ），略低于我们预期，亦低于VA（VisibleAlpha）一致预期。我们认为收入不及预期主要源于实际首付款确认收入较此前市场预期低。另外，3Q25扣非归母净利润为13.2亿元（+16.9%YoY,-45.4%QoQ），好于我们预期，但低于VA一致预期，主要由于总收入低于预期，毛利率略低于预期，而管理费用率、销售费用率、研发费用率高于预期以及非经营性损失高于预期（由于美元汇率下跌导致三季度产生1.5亿元未实现汇兑损失）。3Q25整体毛利率（以总收入计）为85.5%，低于2Q25（87.8%）但略好于1Q25(85.2%）。在3项经营费用中，管理费用增长最为显著。三季度管理费用为8.4亿元（+20.2%YoY,+20.4%QOQ），管理费用率为11.3%，明显高于前两个季度的8.1%-8.2%水平，主要由于公司三季度加大了人才招聘力度，招募了较多高端管理人才，使得员工薪酬费用增长明显。此外，尽管研发费用和销售费用绝对值环比较为稳定（但两者费用率比例仍有明显上升），但同比仍较3Q24分别增长13.7%、10.1%。我们推算三季度许可收入约1亿元，产品收入约73亿元，其中创新药收入约40亿元。在电话会上，管理层分享9M25共计确认2.9亿美元的首付款收入，对应约人民币20.9亿元（采取9M25美元对人民币平均汇率7.218），减去上半年确认的许可收入（19.9亿元），我们推算三季度许可收入约为1亿元。在此基础上，我们推算三季度产品收入约为73亿元（+12.9%YoY,+3.6%QoQ）。此外，管理层表示，9M25创新药收入约占产品收入55%，基于此我们计算出三季度创新收入约为40亿元（+3%QoQ）。管理层表示三季度创新药收入同比增速在1H25基础上进一步提速（注：1H25创新药增速为+23.1%YoY），而仿制药同比增速则与上半年较为一致。与上半年趋势一致的是，增速较快的创新药品种仍然稳定在瑞维鲁胺、达尔西利、恒格列净三款产品。近期重点关注医保谈判结果，2026-2027年有望迎来更多领域的创新药销售爆发期。国家医保谈判将于近日进行，此次公司将有4款药品首次参与医保谈判，即IL17、JAK1抑制剂、HER2ADC和PCSK9，以及多款已上市药物新增适应症参与医保简单续约。此次参与谈判的产品数达到了恒瑞历史新高。若医保降价幅度温和，我们认为公司股价短期内或迎来小幅上涨机会。此外，我们预计公司将于2026-2027年迎来多个领域的创新药销售爆发期。除了上述4款创新药明年纳入医保预计将迎来显著放量，重磅药物HRS9531(GLP-1/GIP)亦有望于2026年迎来获批（NDA已于今年9月2日递交）。整体而言，我们预计2026-2027年创新药实现21%-27%收入增速。国际化进程正稳步推进中。作为双轮驱动的两大战略之一，公司正在有条不紊地推进国际化进程。自2020年以来，公司已实现15笔对外许可交易，总交易额超过270亿美元，成为国内对外授权的龙头企业之一。此外，公司已在海外开启超过20项临床研究。在众多出海资产中，备受关注的NewCo公司Kailera已于近期完成6亿美元的外部融资，有助于顺利推进HRS9531(GLP-1/GIP)的海外三期注册临床以及HRS-7535(口服GLP-1小分子)，HRS-4729(GLP-1/GIP/Glucagon)的海外临床试验。维持“买入”评级和目标价（A股人民币80元，H股95港元）。我们将公司2025E归母净利润预测上调至89亿元，主要由于将近期BD交易首付款、海外参股公司投资收益预测纳入模型。此外，我们维持2026E/2027E归母净利润预测基本不变。我们采取SOTP估值方法对创新药及仿制药业务分别估值：（1）对于创新药业务，基于DCF估值（WACC：7.7%，永续增长率：3%），我们预计公司创新药业务估值约为4,700亿元;(2)对于仿制药业务，我们预计其估值约600亿元(基于PE倍数估值，采取20x2026E PE)。加总上述两者估值，我们得到公司目标市值约为5,300亿元，对应A股目标价人民币80元，H股目标价95港元（采取7%H/A溢价，与H股上市以来溢价平均数一致），维持“买入”评级。投资风险：销售不及预期、竞争激烈、研发延误或失败、国际化进展不及预期、利润不及预期。",,浦银国际,买入,[None],2025-10-30,,买入,7027606,pdf_downloads/2025/2025-10-30/600276-恒瑞医药（600276）：近期重点关注医保谈判结果.pdf,600276,恒瑞医药,恒瑞医药（600276）：近期重点关注医保谈判结果
侯雅楠,事件：公司发布2025年三季报，2025年前三季度实现营业收入231.88亿元，同比+14.85%；实现归母净利润57.51亿元，同比+24.50%；实现扣非归母净利润55.89亿元，同比+21.08%；基本每股收益为0.89元/股。其中25Q3实现收入74.27亿元，同比+12.72%；实现归母净利润13.01亿元，同比+9.53%；实现扣非归母净利润13.17亿元，同比+16.89%。点评：内生增长与海外拓展同步助力营收增长公司25Q3实现营收74.27亿元，同比+12.72%，内生增长与海外拓展同步助力营收放量。25Q3公司出海捷报频传，达成3项海外BD授权，与GSK共同开发至多12款涵盖呼吸、自免、炎症与肿瘤领域的创新药物（含HRS-9821大中华区以外授权）、以“NewCo模式”将HRS-1893海外权益授权给BraveheartBio、将瑞康曲妥珠单抗部分国际市场权益授权给Glenmark，首付款后续有望逐步确认，进一步增厚报表业绩。公司前三季度合同负债达到39.71亿元，相比半年报增加38.10亿元。研发持续投入，三季度3款新药上市2025年前三季度公司实现毛利率86.22%，同比+0.25pct.，销售/管理/研发费用率分别为29.24%/9.17%/21.33%，分别同比-1.02/-0.11/-1.20pct.，整体费效比显著提升，综合实现净利率24.84%，同比+1.97pct.，盈利能力不断向上。公司前三季度研发费用达49.45亿元，据此公司累计研发投入已超500亿元，高研发投入推动创新能力持续向好。25Q3公司创新成果加速转化，3款新药实现上市，分别为中国首个自主研发的EZH2抑制剂泽美妥司他片，用于既往接受过至少1线系统性治疗的复发或难治外周T细胞淋巴瘤成人患者；海外引进的全氟己基辛烷滴眼液，为全球唯一一款用于治疗睑板腺功能障碍相关干眼的药品；降糖新药恒格列净瑞格列汀二甲双胍缓释片(I)、(II)，为中国首个自主研发的口服降糖三联复方制剂。另外还有8项上市申请获受理、4项产品被纳入突破性治疗品种名单、48个临床试验获批，为后续新药研发再添动能。盈利预测中性情景下，我们预计公司2025-2027年归母净利润分别为80.45/98.66/117.02亿元，EPS分别为1.21/1.49/1.76元/股，对应2025年PE为52.49倍，维持“买入”评级。风险提示药品研发失败风险：新药特别是创新药开发过程通常耗时较长、成本高昂且结果难以预测。若新药开发或商业化过程未成功或耗时过长，公司的盈利能力和业务前景可能受到不利影响。药品集采风险：药品带量集中采购步入常态化，公司存在产品价格、销量下降的风险，进而影响业绩表现。海外地缘政治风险：公司创新药和仿制药均有海外布局，若海外地缘政治发生超预期风险，有可能拖累公司在海外的经营情况，进而对公司业绩造成相关影响。行业竞争激烈导致价格下降的风险：若未来行业竞争激烈，或有可能导致公司药品价格下降，对公司的盈利能力和市场份额等方面造成波动。关键预期不能成立的风险：本报告中公司盈利预测部分对公司收入及主要盈利能力指标等多项数据进行预测，若未来行业发展或公司经营情况出现与预测变动较大的情况，将使测算模型存在偏差的风险。,,渤海证券,买入,[None],2025-10-29,,买入,6969574,pdf_downloads/2025/2025-10-29/600276-恒瑞医药（600276）：出海捷报频传，新药加速上市.pdf,600276,恒瑞医药,恒瑞医药（600276）：出海捷报频传，新药加速上市
"代雯,李奕玮","2025年10月28日│中国内地/中国香港 化学制药 公司1-3Q25实现营收231.9亿元（+14.9%yoy），归母净利润57.5亿元（+24.5%yoy），扣非净利润55.9亿元（+21.1%yoy）。其中3Q25收入74.3亿元（+12.7%yoy），归母净利润13.0亿元（+9.5%yoy），扣非净利润13.2亿元（+16.9%yoy）。我们推测3Q25公司没有大额BD收入确认，内生收入利润增速与表观差异不大。考虑到25年三季报中合同负债较25年中报增加38亿元（我们估计为今年7月与GSK达成BD交易的5亿美金首付款），叠加国内创新药及海外美国白紫首仿加速放量，我们预计25年表观收入超330亿元，归母净利润85-90亿元，归母净利润达增速35%以上。维持“买入”评级。1-3Q25费用率同比下降，带动净利率提升公司持续提质增效，1-3Q25公司销售/管理/研发费用率分别为29.2%/9.2%/21.3%，分别同比-1.1/-0.1/-1.2pct。其中3Q25公司销售/管理/研发费用率分别为32.2%/11.3%/23.1%，分别同比-0.8/+0.7/+0.2pct。1-3Q25公司归母净利润率24.8%，同比+1.9pct，其中3Q25归母净利润率17.5%，同比-0.5pct。展望全年，考虑到24年研发费用率较高，我们预计公司25年归母净利润率有望持续提升。新产品陆续获批，创新药占比持续提升25年公司多款重磅产品获批上市，包括艾玛昔替尼（JAK1抑制剂，3M25获批）、瑞康曲妥珠单抗（HER2 ADC，5M25获批）、泽美妥司他片（EZH2抑制剂，8M25获批）等，其中艾玛昔替尼和瑞康曲妥珠单抗即将开启医保谈判。此外，HRS9531（GLP-1/GIP）已于9M25递交NDA，有望26年获批上市。考虑到25-26年多款大单品陆续获批上市销售，且适应症不断拓展，我们认为公司的创新药收入将持续快速增长，预计25/26/27年创新药扣BD收入占比分别有望达56.2%/64.4%/71.3%（24年创新药扣BD收入占比51.8%）。BD持续兑现，GLP-1系列产品有望迎来海外进展9M25公司达成两笔新BD：1）与Braveheart Bio就Myosin抑制剂达成总金额10.88 亿美元的交易。2）与Glenmark Specialty就瑞康曲妥珠单抗达成总金额超11亿美元的交易。我们认为后续潜在BD 产品还包括Amylin，HSR4597（IL-4Rα抗体偶联），以及自免双抗系列（IL-23p19/IL36R等）。此前BD的产品亦有望迎来新的海外进展：1）我们认为TSLP下半年披露国内II期数据，有望成为恒瑞第一个BIC产品。2）Kailera于10M25完成6亿美元融资，HRS9531（GLP-1/GIP）有望今年底进入全球III期临床，有望成为最有潜力的GLP-1/GIP口服多肽产品；HRS7535（GLP-1小分子）也有望26年开展全球III期。盈利预测与估值考虑部分产品销售节奏短期放缓，我们调整公司2025-2027年归母净利润至87.5/111.1/134.8亿元（相比前值下调0.1%/0.4%/0.3%），对应EPS为1.32/1.67/2.03元。基于公司仿制药业务保持稳定，创新药逐步放量，采用SOTP估值，分别给予公司A/H估值6,533亿元/7,204亿港元，对应目标价98.43元/108.53港元（前值103.21元/114.27港元）。风险提示：产品研发进展不及预期，产品销售不及预期，核心技术人员流失。",,华泰证券,买入,[None],2025-10-29,,买入,6940601,pdf_downloads/2025/2025-10-29/600276-恒瑞医药（600276）：1-3Q25营收及利润稳健增长.pdf,600276,恒瑞医药,恒瑞医药（600276）：1-3Q25营收及利润稳健增长
王维肖,国际化进程全面加速，创新研发持续兑现业绩保持稳定增长。2025年10月28日，恒瑞医药发布2025年第三季度报告。2025年前三季度公司实现营业收入231.88亿元，同比增长14.85%；实现归母净利润57.51亿元，同比增长24.50%；实现扣非归母净利润55.89亿元，同比增长21.08%。2025年单三季度，公司实现营收74.27亿元，同比增长12.72%；实现归母净利润13.01亿元，同比增长9.53%；实现扣非归母净利润13.17亿元，同比增长16.89%。公司业绩保持稳定增长。国际化进程全面提速。2025年三季度，公司三项海外BD授权交易陆续落地，持续推进国家化进程：（1）7月28日，公司与GSK达成合作，共同开发至多12款创新药物（含HRS-9821大中华区以外授权），公司获得5亿美元首付款，潜在总金额约120亿美元的选择权行使费和里程碑付款，及相应的分梯度的销售提成；（2）9月5日，公司以“NewCo模式”将HRS-1893海外权益授权给Braveheart Bio，首付款含现金及等值股权共6500万美元以及完成技术转移后的1000万美元近期里程碑款，公司还将收取最高可达10.13亿美元的与临床开发和销售相关的里程碑付款，及相应的销售提成；（3）9月24日，公司将瑞康曲妥珠单抗部分国际市场权益授权给Glenmark，在保留中美欧日等主要市场基础上，收取1800万美元首付款，另有最高可达10.93亿美元的与注册和销售相关的里程碑付款，及相应的销售提成。此外，公司瑞康曲妥珠单抗获得美国孤儿药认证，并不断强化国际化人才体系建设。看好公司国际化进程全面提速。创新研发持续兑现。公司创新研发持续兑现。2025年第三季度，公司EZH2抑制剂泽美妥司他片及海外引进的全氟己基辛烷滴眼液获批上市。此外，公司8项NDA获得受理，其中包括HRS9531注射液用于成人长期体重管理适应症，该产品在为期48周的III期减重临床试验中，6mg剂量组平均减重19.2%，且安全性良好。在2025 ESMO年会上，公司发布了46项肿瘤领域研究成果，其中包含9项口头报告和2项简短的口头报告。目前公司已在中国获批上市24款1类创新药和5款2类新药，同时在研管线储备充足，有100多个自主创新产品正在临床开发，400余项临床试验在国内外开展。看好公司创新研发持续兑现，进而推进公司业绩持续增长。投资建议：基于公司与GSK达成合作的5亿美金首付款，我们上调公司的盈利预测，预计公司2025-2027年实现营收353.36/371.35/428.79亿元，同比增长26.3%/5.1%/15.5%；实现归母净利润94.84/98.94/115.21亿元，同比增长49.7%/4.3%/16.4%，对应PE为45/43/37倍，维持“推荐”评级。风险提示：BD收入波动风险；市场竞争加剧风险；产品研发不及预期风险；仿制药集采风险；政策变化风险。,,民生证券,推荐,[None],2025-10-28,,增持,6911712,pdf_downloads/2025/2025-10-28/600276-恒瑞医药（600276）：国际化进程全面加速，创新研发持续兑现.pdf,600276,恒瑞医药,恒瑞医药（600276）：国际化进程全面加速，创新研发持续兑现
