author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
尤少炜,"投资要点业务结构优化，传统稳基 + 新产业破局铁路装备作为核心主业，受益于干线铁路建设与检修后市场需求，保持高速增长；新产业聚焦清洁能源装备（风电、储能等），契合“双碳”战略，成为重要增长极；城轨与现代服务业务稳步推进，多板块协同形成抗周期能力。2025年前三季度，公司实现总营收1838.65亿元，同比增长20.49 %，实现归母净利润99.64亿元，同比上升37.53%。分业务来看2025年上半年公司铁路装备实现收入597.06亿元，同比增长42.21%，主因动车组、货车业务需求旺盛。新产业业务收入407.33亿元，同比增长35.59%，以清洁能源装备为核心增长极，风电整机及零部件、储能设备、氢能装备等业务快速拓展，“氢春号”氢能源有轨电车正式运行，“启航号”漂浮式风机完成并网试运行。城轨与城市基础设施业务收入174.02亿元，同比增长6.27%，主因城轨地铁车辆新造业务增加。全球化深化，海外项目与区域拓展双突破以“一带一路”为契机，践行 “本地化制造、采购、用工、维保、营销” 五本模式，重大海外项目落地成效显著，海外基地与渠道布局完善，境外收入稳步增长，抗单一市场波动风险能力增强。2025年上半年公司新签订单约 1,460 亿元，其中新签海外订单约 309 亿元。国际业务协同并进，持续推进 “平台公司 + 优势企业” DLS 业务拓展模式，2 月新签迪拜地铁蓝线项目实现 GCC 地区高端市场重大突破，使 DLS 业务成为国际业务版图重要一极。高标准推进 “一带一路” 重大合作项目，雅万高铁、中老铁路运维服务赢得赞誉并取得良好社会经济效益与示范效果，匈塞高铁项目试验及生产按计划顺利推进并获塞方积极评价。研发加码技术突破，筑牢竞争壁垒公司持续高研发投入支撑核心技术攻关与产品迭代，专利储备与行业标准参与度领先，核心产品技术达到国际先进水平，支撑进口替代与全球市场拓展。公司通过深化科技体制改革、构建创新治理体系，聚焦轨道交通及新产业布局技术与产品创新；同时围绕“双赛道双集群”产业布局，加大实施研发投入。2025 年上半年，公司推出 CR450 动车组样车等22 款实车及“赤霄”光伏逆变器等产品，新增专利申请 1630 项（含发明专利 1216 项、海外专利 37 项）；2025前三季度研发总投入达108.19亿元，重点支持战新产业高质量发展及轨道交通装备核心技术升级。盈利预测预测公司2025-2027年收入分别为2723.17、2895.25、3064.83亿元，EPS分别为0.49、0.53、0.58 元，当前股价对应PE分别为14.0、12.8、11.8倍，考虑公司订单持续落地，维持“买入”投资评级。风险提示境外经营不及预期风险；铁路投资下滑风险；汇率大幅波动风险；产业结构调整风险；技术更新迭代风险；市场竞争加剧风险；战略调整风险；产品质量风险。",,华鑫证券,买入,[None],2025-12-23,,买入,8268492,pdf_downloads/2025/2025-12-23/601766-中国中车（601766）：公司动态研究报告：业务结构优化，新产业破局.pdf,601766,中国中车,中国中车（601766）：公司动态研究报告：业务结构优化，新产业破局
陈郁双,前三季度业绩快速增长：公司发布2025年三季报，2025年前三季度公司实现营业总收入1838.65亿元，同比+20.49%；实现归母净利润99.64亿元，同比+37.53%；扣非归母净利润90.96亿元，同比+51.67%。结合Q2业绩测算得，Q3公司营业总收入为641.07亿元，同比+2.50%，较Q2环比-9.82%；归母净利润为27.19亿元，同比-10.70%，较Q2环比-35.16%；扣非归母净利润24.35亿元，同比-7.68%，较Q2环比-36.84%。前三季度毛利率实现增长，控费效果良好：根据公司三季报数据测算，公司前三季度销售毛利率及净利率分别为21.30%及6.84%，同比变化+0.09pp及+0.64pp。结合半年度以及一季报数据测算，Q3公司销售毛利率及净利率分别为20.34%及5.71%，同比变化-0.57pp及-0.62pp，较Q2环比变化-0.37pp及-1.69pp。费用方面，前三季度公司销售、管理、财务、研发费用率分别为2.04%、5.59%、-0.08%、5.88%，同比变化-0.21pp、-0.61pp、-0.17pp、-0.47pp。新产业业务领增收入，城市基础设施短期承压：根据公司三季报披露，2025年前三季度公司在铁路装备、新产业、现代服务方面收入均实现增长，城轨与城市基础设施收入端略有下滑。具体来看：1）前三季度铁路装备收入877.17亿元，同比+22.23%，主要由于动车组收入增长所致。细分到各车型，机车、客车、动车组、货车收入分别为166.99、60.00、526.16、124.01亿元，同比变化+9.52%、+20.19%、+29.68%、+13.25%。结合今年及去年半年度数据测算得Q3只有动车组收入实现同比增长，实力拉动铁路装备收入增长。2）城轨与城市基础设施收入为272.88亿元，同比-3.99%，主要由于城市基础设施收入不及预期。3）新产业收入为660.97亿元，同比+31.91%，主要由于Q3清洁能源装备收入增长。4）现代服务收入为27.64亿元，同比+20.15%。前三季度新签订单规模可观，国际业务贡献显著：公司数据显示，2025年前三季度订单拓展成效突出，新签订单约2472亿元，同比+16.49%，其中国际业务签约额约467亿元，同比+36.55%。不仅整体新签订单量庞大，国际业务签约额也形成重要补充，展现出国内外市场协同发力的格局。根据公司9月30日发布的Q3重大合同签订情况，可以看出公司业务结构的核心优势：1）以动车组为代表的核心板块订单占比高，且主要对接国铁集团等核心客户，显示出公司在国内轨交装备领域的稳固地位；2）订单覆盖机车、城轨车辆、货车等多个细分品类，且机车、城轨业务中包含维保服务，货车业务涵盖修理服务，体现出“制造+后市场”的业务延伸能力，进一步增强盈利稳定性。Q3重大合同总金额占公司2024年营业收入的比例达22%，为未来业绩增长提供了明确支撑。投资建议：公司前三季度营收与利润实现快速增长，且收入增长动能呈现结构化优势。新产业业务成为核心增长引擎，海外市场拓展成效显著，与国内市场形成协同发力格局，叠加轨交装备行业潜力释放的动力，未来发展趋势稳健，维持“买入”评级。我们预计2025-2027年归母净利润分别为143.21、165.06、175.56亿元，EPS为0.50、0.58、0.61元，PE为15.37、13.34、12.54倍，参考行业2025平均PE，给予合理区间7.59-9.11元。风险提示：战略风险、市场风险、产品质量风险、汇率风险、境外经营风险、产业结构调整风险。,,财信证券,买入,[None],2025-11-11,,买入,7623282,pdf_downloads/2025/2025-11-11/601766-中国中车（601766）：2025 三季报点评：业绩快速增长，新签订单规模拓展突出.pdf,601766,中国中车,中国中车（601766）：2025 三季报点评：业绩快速增长，新签订单规模拓展突出
"鲁佩,王霞举",事件：公司披露2025年三季报业绩。2025年前三季度公司实现收入1838.65亿元，同比增长20.49%；归母净利润99.64亿元，同比增长37.53%；扣非归母净利润90.96亿元，同比增长51.67%。下游景气持续，铁路装备+新产业保持快速增长。2025年前三季度，公司铁路装备业务收入877.17亿元，同比+22.23%；城轨与城市基础设施业务收入272.88亿元，同比-3.99%；新产业收入660.97亿元，同比+31.91%；现代服务收入27.64亿元，同比+20.15%。25Q3公司收入641.07亿元，同比+2.50%；净利润27.19%，同比-10.70%；单季度业绩下滑主要系较高毛利率的动车组交付有所放缓。期间费用控制良好，盈利能力保持稳定。前三季度公司综合毛利率21.30%，可比口径同比+0.09pct；净利率6.84%，可比口径同比+0.64pct。公司期间费用内部控制良好，前三季度四项期间费用率合计13.43%，可比口径同比-1.46pct。新签订单稳健增长，国际业务表现亮眼。2025年前三季度公司新签订单2472亿元，同比+16.49%；其中国际业务订单金额467亿元，同比+36.55%。公司大力拓展“一带一路”沿线地区市场，同时积极开拓欧美等其他区域市场，国际业务进展顺利。未来随着公司雅万高铁、中老铁路、匈塞高铁等示范项目落地和产品竞争力的不断提升，国际业务有望保持良好增长。投资建议：预计公司2025-2027年将分别实现归母净利润140.27亿元、140.78亿元、155.27亿元，对应EPS为0.49、0.49、0.54元，对应PE为16倍、16倍、14倍，维持推荐评级。风险提示：固定资产投资不及预期的风险，新产品拓展不及预期的风险，市场竞争加剧的风险，海外市场拓展不及预期的风险等。,,银河证券,推荐,[None],2025-11-06,,买入,7540120,pdf_downloads/2025/2025-11-06/601766-中国中车（601766）：下游景气持续，业绩延续快速增长.pdf,601766,中国中车,中国中车（601766）：下游景气持续，业绩延续快速增长
倪正洋,"2025年11月02日│中国内地/中国香港 运输设备 中国中车发布三季报：Q3实现营收641.07亿元（yoy+2.50%，qoq-9.82%），归母净利27.19亿元（yoy-10.70%，qoq-35.16%）。2025年Q1-Q3实现营收1838.65亿元（yoy+20.49%），归母净利99.64亿元（yoy+37.53%），扣非净利90.96亿元（yoy+51.67%）。25Q3收入/利润同比有所下滑主要系上半年动车组交付节奏较快，三季度有所放缓，我们预计轨交设备行业未来新增动车组及高级修将维持稳中有升态势，公司作为轨交设备龙头有望受益于行业持续高景气，维持“买入”评级。25年前三季度盈利能力提升，费用积极管控降本增效成果显著2025年前三季度，公司毛利率为21.3%/yoy+0.09pct，净利率为6.84%/yoy+0.64pct；25Q3单季度毛利率为20.34%/yoy - 0.57pct，净利率为5.71%/yoy - 0.62pct。期间费用率方面，前三季度公司销售费用率2.04%/yoy - 0.21pct；管理费用率5.59%/yoy - 0.61pct；财务费用率 - 0.08%/yoy - 0.17pct；研发费用率5.88%/yoy - 0.47pct，整体费用率有所下降。毛利率提升或因动车组业务收入增加，净利率单季下降或受信用减值损失增加等影响。铁路装备高景气，城轨业务略有下滑公司25年前三季度营业收入较上年同期增加20.49%，主要是铁路装备业务和新产业业务收入增加所致。25年Q1-Q3铁路装备业务、城轨与城市基础设施业务、新产业业务、现代服务业务分别占营业收入的47.71%、14.84%、35.95%、1.50%。25年Q1-Q3铁路装备业务的营业收入比上年同期增加22.23%，主要是动车组收入增加所致。其中机车业务收入166.99亿元、客车业务收入60.00亿元、动车组业务收入526.16亿元、货车业务收入124.01亿元。城轨与城市基础设施业务的营业收入比上年同期减少3.99%，主要是本期城市基础设施收入减少所致。新产业业务的营业收入比上年同期增加31.91%，主要是本期清洁能源装备收入增加所致。现代服务业务的营业收入比上年同期增加20.15%，主要是本期服务类业务收入增加所致。新签订单旺盛，海内外市场景气度共振2025年1-9月，公司新签订单约2,472亿元人民币，相较去年同期2,122亿元人民币同比增长16.5%。2025年1-9月，公司国际业务签约额约467亿元人民币，相较去年同期342亿元同比增长36.5%，公司海外市场进展顺利。国内轨交行业同样持续高景气，2025年1-9月动车组累计生产1491辆，同比增长8.6%。2025年1至9月，全国铁路完成固定资产投资5937亿元，同比增长5.8%，高基数下仍有增长。中国中车作为轨交设备龙头有望充分受益。盈利预测与估值我们维持盈利预测，预计公司25-27年归母EPS分别为0.51/0.53/0.57元。可比公司25年iFind一致预期PE均值为16.15倍（前值16.59倍），考虑到公司为全球轨交装备龙头，充分受益于动车组及高级修招标增长，H股参考近1年对A股估值折价约40%，我们给予公司25年A/H 股22/13.7倍PE（前值22/13.2），对应目标价11.22元/7.66港币（前值11.22元/7.42港币），维持“买入”评级。风险提示：铁路固定资产投资不及预期，高级修推进节奏存在不确定性。",,华泰证券,买入,[None],2025-11-03,,买入,7307971,pdf_downloads/2025/2025-11-03/601766-中国中车（601766）：海内外铁路市场共振景气.pdf,601766,中国中车,中国中车（601766）：海内外铁路市场共振景气
"周尔双,钱尧天,陶泽",铁路设备和新产业业务驱动，营收实现高增25Q1-Q3公司实现营业收入1838.65亿元，同比+20.49%；实现归母净利润99.64亿元，同比+37.53%；实现扣非归母净利润90.96亿元，同比+51.67%。单Q3公司实现营业收入641.07亿元，同比+2.50%，归母净利润27.19亿元，同比-10.70%，扣非归母净利润24.35亿元，同比-7.68%。分业务看：25Q1-Q3铁路装备实现营收877.17亿元，同比+22.23%（主要系动车组收入增加，其中动车组业务收入526.16亿元、机车业务收入166.99亿元、客车业务收入60.00亿元、货车业务收入124.01亿元。）；25Q1-Q3城轨与城市基础设施实现营收272.88亿元，同比-3.99%（主要系城市基础设施收入减少。）；25Q1-Q3新产业实现营收660.97亿元，同比+31.91%（主要系清洁能源装备收入增加）；25Q1-Q3现代服务实现营收27.64亿元，同比+20.15%。铁路装备和新产业是公司25Q1-Q3业绩增长的核心驱动力。盈利能力稳中有升，期间费用管控良好25Q1-Q3公司销售毛利率为21.30%，同比+0.06pct；销售净利率为6.84%，同比+0.64pct；公司盈利能力稳定，小幅提升。25Q1-Q3公司期间费用率为13.43%，同比-1.47pct，期间费用管控良好；其中销售/管理/财务/研发费用率分别为2.04%/5.59%/-0.08%/5.88%，同比-0.21pct/-0.62pct/-0.17pct/-0.47pct，其中财务费用率主要系汇兑收益影响。25Q1-Q3公司经营活动产生的现金流量净流出115.28亿元，同比-251.24%，主要系招标量大，公司购买商品、接受劳务支付的现金增加所致。25Q1-Q3公司合同负债334.11亿元，同比+20.45%，表明公司在手订单饱满。“十四五”收官在即，看好轨交装备需求持续向好（1）动车组招标回暖：2025年度国铁集团已累计公开招标350km/h动车组278组（首次68组，第二次210组），已超过2024年年度招标数量。（2）铁路固定资产投资持续复苏，中长期规划托底动车组采购延续性：2025年1-9月铁路固定资产投资完成额为5937亿元，同比+5.8%，其中，9月完成896亿元，同比增长7.0%，创年内单月投资新高。“十四五”规划指出，2021-2025年预计铁路固定资产投资共计4万亿元，为完成目标2025年需完成铁路固定资产投资9153亿元，其中剩余Q4铁路固定资产投资额目标超过3000亿元。铁路固定资产投资将保障2025年轨交装备采购与维修的招标落地。盈利预测与投资评级：综合考虑铁路固定资产投资复苏向好的趋势，我们微调了公司2025-2027年归母净利润预测为138.08/147.57（原值148.00）/158.60（原值159.04）亿元，当前股价对应动态PE分别为17/16/15倍，维持公司“买入”评级。风险提示：铁路固定资产投资不及预期，动车组招标不及预期，宏观经济风险。,,东吴证券,买入,[None],2025-11-01,,买入,7135852,pdf_downloads/2025/2025-11-01/601766-中国中车（601766）：2025 年三季报点评：业绩快速增长，铁路设备和新产业业务驱动.pdf,601766,中国中车,中国中车（601766）：2025 年三季报点评：业绩快速增长，铁路设备和新产业业务驱动
"刘卓,虞洁攀",上半年利润高增，动车组招标规模维持高位l投资要点事件：中国中车披露2025年半年报。上半年公司业绩大增。2025H1，公司实现营收1197.58亿元，同比+33%；实现归母净利润72.46亿元，同比+72%；实现扣非归母净利润66.61亿元，同比+98%。2025Q2，公司实现营收710.87亿元，同比+23%，环比+46%；实现归母净利润41.93亿元，同比+31%，环比+37%；实现扣非归母净利润38.55亿元，同比+43%，环比+37%四大业务板块同比均实现正增长，其中铁路装备营收增速最快，同比增长超40%。分版块来看，2025H1，铁路装备营收597.06亿元，同比+42%，得益于国内铁路客运、货运和铁路建设的良性发展，铁路装备需求支撑良好，动车组新造延续去年的态势，机车新造招标与去年相比有较好提升；城轨业务营收174.02亿元，同比+6%，基本符合年初的预期，上半年保持稳定；新产业营收407.33亿元，同比+36%，受益于风电、储能等清洁能源装备的订单交付增长；现代服务营收19.17亿元，同比+16%。国铁集团今年招标已突破2024年度总额，继续看好轨交行业景气度。2025H1，公司新签订单约1460亿元，同比增长4.2%；其中，海外新签订单约309亿元，同比增长3.7%，国内新签订单约1151亿元，同比增长4.4%。2025年1-8月，国铁集团完成了两次复兴号招标，合计招标278组，金额约472亿元，超标规模已超过2024年全年度数量，轨交装备行业景气度持续向好。公司注重股东回报，中期分红比例高。公司计划派发现金红利31.57亿元（含税），占2025半年报归母净利润的43.57%。l盈利预测与估值我们预计公司2025-2027年营业收入2773.87/2960.35/3106.32亿元，同比增长12.55%/6.72%/4.93%；预计归母净利润144.63/162.59/171.75亿元，同比增长16.76%/12.42%/5.64%；对应PE分别为14.86/13.22/12.52倍，维持“增持”评级。风险提示：下游需求不及预期；行业竞争加剧风险；国铁集团投资力度不及预期；国内外政策变化风险。,,中邮证券,增持,[None],2025-09-09,,增持,6406678,pdf_downloads/2025/2025-09-09/601766-中国中车（601766）：上半年利润高增，动车组招标规模维持高位.pdf,601766,中国中车,中国中车（601766）：上半年利润高增，动车组招标规模维持高位
陈郁双,上半年公司归母净利润大幅提升，Q2业绩快速增长：公司发布2025年半年报。2025年上半年，公司实现营业收入1197.58亿元，同比增长32.99%；实现归母净利润72.46亿元，同比大幅增长72.48%。测算得Q2营业收入为710.87亿元，同比增长22.87%，较Q1环比增长146.06%；归母净利润41.93亿元，同比增长31.33%，较Q1环比增长137.33%。业务多方位提升，业务结构维持稳定：分业务来看，2025年上半年公司各项业务规模均实现扩张，尤以铁路装备及城市轨道交通业务盈利能力更为突出。铁路装备方面，2025年上半年收入共计597.06亿元，同比增长42.21%，主要由于动车组和货车业务增长所致，毛利率为25.17%，同比+2.46pct；城轨与城市基础设施业务收入为174.02亿元，同比增长6.27%，主要由城轨地铁车辆新造业务贡献，毛利率为18.86%，同比+0.81pct；新产业与现代服务收入分别为407.32亿元与19.17亿元，同比分别增长35.59%及16.39%。铁路装备业务、城轨与城市基础设施业务、新产业业务、现代服务业务分别占总收入的49.86%，14.53%，34.01%，1.60%，业务结构基本位置稳定。我国铁路动车组招标超预期，公司受益内销规模大增：根据国铁采购平台披露，2025年我国复兴号智能动车组招标超预期，2025年1-8月两次招标数额总计达到278组，较上年同期同比增长68.48%。同时，2025年上半年全国铁路完成固定资产投资3559亿元，同比增长5.5%，累计投产新线301公里，为铁路发展注入动能。受益于行业的优异表现，公司上半年中国大陆营业收入为1065.24亿元，同比增长36.84%，动车组业务收入达373.95亿元，同比增长40.97%。新签订单稳步增长，城轨车辆表现优异：公司2025年半年报显示，上半年新签订单总额约1460亿元，同比增长4.21%，其中新签海外订单约309亿元，同比增长3.60%；测算得国内新签订单1151亿元，同比增长4.35%。根据公司2025年5月13日与7月30日公告，可测算得公司在城轨车辆方面签订合同金额同比实现超过80%的大幅增长，为未来公司城轨与城市基础设施业务增长打下基础。投资建议：今年以来铁路市场需求呈现稳定复苏趋势，公司是全球领先的轨道交通设备供应商，连续多年占据全球轨道交通设备销售规模首位。未来，随着公司订单的不断兑现，业绩有望稳步增长，我们预计2025-2027年归母净利润分别为151.20、169.98、185.63亿元，EPS分别为0.53、0.59、0.65元，PE分别为15.01、13.35、12.23倍，维持“买入”评级，给予合理区间7.13-8.55元。风险提示：战略风险、市场风险、产品质量风险、汇率风险、境外经营风险、产业结构调整风险。,,财信证券,买入,[None],2025-08-28,,买入,6359688,pdf_downloads/2025/2025-08-28/601766-中国中车（601766）：2025年半年报点评：轨交设备上半年利润高增，铁路装备与城轨共同维持业绩增长.pdf,601766,中国中车,中国中车（601766）：2025年半年报点评：轨交设备上半年利润高增，铁路装备与城轨共同维持业绩增长
"周尔双,钱尧天,陶泽",投资要点25H1业绩高增，铁路设备和新产业业务齐头并进25H1公司实现营收1197.58亿元，同比+32.99%；实现归母净利润72.46亿元，同比+72.48%；实现扣非归母净利润66.61亿元，同比+98.25%。单Q2公司实现营收710.87亿元，同比+22.85%；归母净利润41.93亿元，同比+31.32%，扣非归母净利润38.55亿元，同比+43.18%。分业务看：25H1铁路装备实现营收597.06亿元，同比+42.21%（主要系动车组、货车收入增加，其中动车组收入373.95亿元，同比+40.97%；25H1货车收入81.06亿元，同比+73.13%；机车收入97.58亿元，客车收入43.93亿元）；25H1城轨与城市基础设施实现营收174.02亿元，同比+6.27%（主要系城轨地铁车辆收入增加）；25H1新产业实现营收407.33亿元，同比+35.59%（主要系清洁能源装备收入增加）；25H1现代服务实现营收19.17亿元，同比+16.39%。铁路装备、新产业业务实现高增是公司25H1业绩增长的核心驱动力，主要系铁路动车组跨年订单上半年交付量大，风电等新产业实现较快增长。毛利率略有增长，经营活动产生的现金流量出现净流出25H1公司销售毛利率为21.81%，同比+0.4pct，Q2单季度销售毛利率为20.71%，同比+1.26pct，环比-2.71pct。其中25H1铁路装备业务毛利率为25.17%，同比+2.46pct；城规与城市基础设施业务毛利率为18.86%，同比+0.81pct；新产业业务毛利率为17.74%，同比-3.01pct，主要系毛利率较低的风电整机和储能业务收入占比提升。25H1公司销售净利率为7.45%，同比+1.3pct，Q2单季度销售净利率为7.41%，同比+0.51pct，环比-0.09pct。25H1净利率增幅高于毛利率增幅主要系期间费用管理得当，25H1期间费用率为12.87%，同比-2.4pct，其中销售/管理/财务/研发费用率分别为2.0 %/5.4%/-0.2%/5.7%，同比分别-0.4pct/-1.0pct/-0.2pct/-0.8pct。其中财务费用主要系汇率波动影响，本期为汇兑收益。2025H1公司经营活动产生的现金流量净流出89.98亿元，同比-587.64%，主要系招标量大，持续进行生产准备，采购支出大。2025年第二批动车组招标210组，看好轨交装备需求持续向好（1）动车组招标回暖：2025年度国铁集团已累计公开招标350km/h动车组278组（首次68组，第二次210组），已超过2024年年度招标数量。（2）铁路固定资产投资持续复苏，中长期规划托底动车组采购延续性：2025年1-6月铁路固定资产投资完成额为3559亿元，同比+5.5%，证实了铁路固定资产投资正在复苏。“十四五”规划指出，2021-2025年预计铁路固定资产投资共计4万亿元，为完成目标2025年需完成铁路固定资产投资9153亿元。铁路固定资产投资将保障2025年轨交装备采购与维修的招标落地。盈利预测与投资评级：考虑到铁路固定资产投资复苏向好，我们维持公司2025-2027年归母净利润预测为138.08/148.00/159.04亿元，当前股价对应动态PE分别为16/15/14倍，维持公司“买入”评级。风险提示：铁路固定资产投资不及预期，动车组招标不及预期，宏观经济风险。,,东吴证券,买入,[None],2025-08-27,,买入,6355152,pdf_downloads/2025/2025-08-27/601766-中国中车（601766）：25H1业绩实现高增，铁路设备和新产业业务齐头并进.pdf,601766,中国中车,中国中车（601766）：25H1业绩实现高增，铁路设备和新产业业务齐头并进
"范益民,胡明柱",评论：上半年毛利率及净利率同比提升。上半年公司毛利率/净利率分别为21.81%/7.45%，同比+0.40pct/+1.33pct；销售/管理/财务/研发费用率分别为1.99%/5.44%/-0.23%/5.66%，同比-0.37pct/-1.04pct/-0.22pct/-0.78pct。Q2毛利率/净利率分别为20.71%/7.41%，同比分别+1.26pct/+0.51pct。铁路装备&amp;新产业业务增长较快。1）铁路装备业务：收入597.06亿元，同比+42.21%，其中动车、机车、客车、货车收入分别为373.95/97.58/43.93/81.60亿元，分别同比+40.97%/+19.85%/+66.78%/+74.28%，铁路装备业务中铁路装备修理改装业务收入223.58亿元，同比+11.81%。2）城轨及城市基础设施业务：收入174.02亿元，同比+6.27%，其中车辆收入158.49亿元，同比+37.88%。3）新产业业务：收入407.33亿元，同比+35.59%。4）现代服务业务：收入19.17亿元，同比+16.4%。铁路客流向好、全国铁路固定资产投资同比增长。1）铁路客流：2025年1-7月，全国铁路完成旅客发送量26.91亿人次，同比+6.7%。2）动车组招标：根据国铁集团招标平台，今年前两次累计招标时速350公里动车组278组；前两次动车组高级修招标累计663.5组，其中三级修90.25组、四级修235.25组、五级修338组。3）铁路固定资产投资：2025年1-7月，全国铁路固定资产投资完成4330亿元，同比+5.6%。投资建议：考虑到公司上半年业绩较好，我们上调公司业绩预期。预计公司2025-2027年营收分别为2792.19/3137.79/3519.83亿元（前值为2589.96/2743.39/2918.29亿元），归母净利润分别为141.42/153.51/169.75亿元（前值为134.08/144.22/153.57亿元），对应EPS分别为0.49、0.53、0.59元。参考可比公司估值水平，考虑到公司作为全球轨道装备制造业龙头，给予2026年20倍PE，目标价调整为10.60元，维持“强推”评级。风险提示：客流量不及预期；行业政策变化风险；高级修及动车招标不及预期；新兴产业不及预期。,,华创证券,强推,[None],2025-08-27,,买入,6354551,pdf_downloads/2025/2025-08-27/601766-中国中车（601766）：收入及利润双增长，铁路装备及新兴业务增长较快.pdf,601766,中国中车,中国中车（601766）：收入及利润双增长，铁路装备及新兴业务增长较快
"王霞举,鲁佩",事件：公司披露2025年中报业绩。2025H1公司实现营业收入1197.58亿元，同比增长32.99%；实现归母净利润72.46亿元，同比增长72.48%；实现扣非归母净利润66.61亿元，同比增长98.25%。铁路装备+新产业高增，中报业绩亮眼。公司25Q2实现收入710.87亿元，同比增长22.85%；归母净利润41.93亿元，同比增长31.22%，环比增长37.33%，延续一季度的高增态势，中报业绩创历史同期最好水平。分板块来看，铁路装备收入597.06亿元，同比+42.21%，主要系今年以来铁路客运保持强劲增长，货运回暖，公司动车组和货车上半年实现批量交付，其中动车组收入373.95亿元（+40.97%），机车收入97.58亿元（+19.85%），客车收入43.93亿元（+66.78%），货车收入81.60亿元（+74.28%）；城轨与城础设施业务收入174.02亿元，同比+6.27%，主要系城轨车辆新造业务实现较好增长；新产业业务收入407.33亿元，同比+35.59%，主要系风电、储能等行业需求景气，公司清洁能源装备收入高增；现代服务业务收入19.17亿元，同比+16.39%。上半年公司新签订单约1460亿元，其中海外订单309亿元，稳中略增。期间费用控制良好，盈利能力稳中有升。25H1公司毛利率21.81%，同比+0.40pct。分板块来看，铁路装备毛利率25.17%，同比+2.46pct；城轨与城市基础设施毛利率18.86%，同比+0.81pct；新产业毛利率17.74%，同比-3.01pct，主要受产品结构影响，低毛利业务收入占比提升；现代服务毛利率30.86%，同比-2.67pct。25H1销售净利率7.45%，同比+1.32pct。公司期间费用管理良好，销售/管理/财务/研发费用率分别为1.99%/5.44%/-0.23%/5.66%，同比-0.37pct/-1.04pct/-0.22/-0.77pct。铁路装备和新产业共驱，看好全年业绩表现。今年1-7月全国铁路完成旅客发送量26.91亿人，同比增长6.7%；国家铁路累计发送货物23.31亿吨，同比增长3.3%。今年以来国铁集团累计招标时速350公里动车组278组，在去年国铁及地方铁路招标265.5组的高基数上继续实现增长；两次动车组高级修招标累计663.5组，其中五级修338组。货运回暖叠加老旧内燃机车更新，今年机车招标累计455台，同比增长26.39%，其中4400马力内燃机车170台，采购量为近年来最高。国铁采招需求维持高位，有效支撑公司铁路装备交付持续放量。新产业方面，今年以来国内外风电、储能等下游行业保持强劲发展态势，公司新产业业务有望保持良好增长势头。投资建议：预计公司2025-2027年将分别实现归母净利润140.20亿元、140.99亿元、155.88亿元，对应EPS为0.49、0.49、0.54元，对应PE为16倍、16倍、14倍，维持推荐评级。风险提示：固定资产投资不及预期的风险，新产品拓展不及预期的风险，市场竞争加剧的风险，海外市场拓展不及预期的风险等。,,银河证券,推荐,[None],2025-08-26,,买入,6349110,pdf_downloads/2025/2025-08-26/601766-中国中车（601766）：铁路装备+新产业增长亮眼，看好全年业绩表现.pdf,601766,中国中车,中国中车（601766）：铁路装备+新产业增长亮眼，看好全年业绩表现
