author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"于健,谷亦清",事件2025年11月14日，中国外交部和驻日领事馆首次发布“近期避免前往日本”的提示。并在12月11日、1月26日多次提醒。 赴日旅游人次在12月显著下滑。根据JNTO数据，2025年全年赴日本的大陆游客数量为909.6万人，同比+30.3%，其中10/11/12月为71.6/56.3/33.0万人，同比+22.8/+3.0/-45.3%。2026年1月，中国大陆赴日本航班取消率达47.2%，较2025年12月增长7.8个百分点。2026年2月已有49条航线取消全部航班，比一月进一步增加。影响分析日本免税业因中国游客减少显著承压。根据日本百货店协会数据，10/11/12月日本全国百货店免税商品销售额为546.7/502.2/519.3亿日元，同比+7.5/-2.5/-17.1%，购物人数为56.4/50.8/50.0万人，同比+8.9/-2.2/-16.7%。12月中国内地游客购买免税商品金额和购物人数均同比减少约40%。日本消费回流或将打开百亿级别空间。日本旅游热度下滑后，海南成为新热门目的地。去哪儿旅行、携程等平台数据显示，截至2月初，春节假期目的地为海南的日均机票订单量同比增长超45% 北京、上海、成都位列海南客源城市前三甲。过去日本约40%的中国大陆游客来自上海及周边地区，约25%来自北京。 根据日本观光厅数据，2025年中国大陆游客在日本旅游消费合计20026亿日元，其中购物金额为7533亿日元。假设30%的购物消费回流至国内免税店，则可为免税行业增加约100亿人民币空间。国内免税消费增长持续，看好春节旺季表现。春运首周（2月2日—2月8日）海口海关共监管离岛免税购物金额11.06亿元，免税购物人数19.19万人次，购物件数89.5万件，环比分别提升6.3%、26%、9.4%。春节期间海南地区旅游人次将继续增长。民航部门统计显示，今年春运海南民航旅客吞吐量预计达817.5万人次，创历史同期新高，琼州海峡客滚运输预计运送旅客超466万人次，车辆117万台次，同比分别增长12%和10%。盈利预测、估值与评级基于日本消费回流、海南旅游火热、免税折扣降低、人民币升值、市内免税进展暂缓等多项因素，我们调整25/26/27年公司EPS预测值至1.77/2.79/3.34元，参考2026年2月11日收盘价97.00元，对应PE估值为52.16/33.15/27.69倍。维持“买入”评级。风险提示消费回流不及预期、消费恢复不及预期、高端消费不及预期、汇率水平大幅波动,,国金证券,买入,[None],2026-02-12,,买入,8417326,pdf_downloads/2026/2026-02-12/601888-中国中免（601888）：公司点评：赴日旅游大幅下滑，免税消费回流可期.pdf,601888,中国中免,中国中免（601888）：公司点评：赴日旅游大幅下滑，免税消费回流可期
刘冉,投资要点：就自身历史而言，中国中免从一家执行外汇管理任务的政策性公司，最终成长为利用国内大市场政策红利改变全球行业格局的商业巨头，其发展路径在全球免税业中具有不可复制的独特性。就经营战略而言，免税经营可划分为全球扩张驱动型、本土深耕型以及二者兼具型。中免的门店主要聚焦在中国本土，目前仍处于全球扩张的初级阶段。就规模而言，2023年免税商品销售额口径下中国中免全球排名第二。中国中免享有高利润率的核心在于它是一家掌握稀缺牌照和渠道资源的特许运营商，而非单纯的旅游零售商。我们从市场性质、特许经营费、客户结构、渠道组合与政策目标等维度来阐述了中国中免的盈利模式。中国中免在短时间内成长为全球级别的旅游零售巨头，正是因为迎合了中国消费回流的历史契机。由此，全球的商业格局也被重塑：在海南成为旅游购物中心后，香港、韩国等传统免税目的地的地位急速下降。此外，世界奢侈品品牌开始重视中国市场，中国市场的话语权和议价权前所未有地增强。公司财报显示出较大的业务波动性。首先，当对特定区域和渠道，以及对特定购物人群产生较大依赖后，业务增长便会出现较大的波动。其次，2021年之后人民币兑美元持续贬值，对于进口商品的消费产生了一定的限制作用。第三，跨境电商的崛起对线下免税商品经营有着直接的冲击。第四，高净值人群对于奢侈品的消费是有周期的。第五，高端消费需求的进阶和多变与运营商对大单品集成式采购的追求形成冲突，这也会导致后者的经营波动加剧。中国的免税商品运营商将经历关键的转型：在牌照红利逐渐减弱的同时，必须建立起真正的市场化竞争力，其发展路径将从“政策驱动”转向“市场驱动、全球化驱动”，中国运营商有望实现二次进化。投资建议：我们预测公司2025、2026、2027年的每股收益分别为1.89、2.40、2.68元，参照2月5日的收盘价，对应的市盈率分别为48.80、38.55、34.53倍。我们对公司首次覆盖，给予公司“谨慎增持”的投资评级。风险提示：市场竞争加剧的风险；普通居民的消费情绪疲弱，以及高净值人群前期集中采购导致的疲劳，会直接压制对免税商品的需求；所收购资产整合效果不及预期的风险；估值过高的风险。,,中原证券,谨慎增持,[None],2026-02-06,,中性,8402027,pdf_downloads/2026/2026-02-06/601888-中国中免（601888）：市场竞争加剧，中国运营商的二次进化.pdf,601888,中国中免,中国中免（601888）：市场竞争加剧，中国运营商的二次进化
"吴劲草,王琳婧",事件：中国中免发布公司公告，其全资孙公司中免国际拟以最高不超过3.95亿美元现金方式收购DFS大中华区旅游零售业务相关股权及资产。同时，公司与LVMH集团签订合作协议，待上述收购事项交割后，中免将以77.21港元/H股，分别向DFS实控人LVMH附属公司Delphine SAS和Miller家族旗下信托Shoppers Holdings HK增发不超过733.01万股及463.74万股H股股份，募集资金最多约9.24亿港元。强化港澳门店布局，赋能国际化战略：DFS成立于1960年，是全球领先的高端旅游零售商，其门店遍布全球主要机场及市中心核心地段，DFS在中国港澳地区的9家门店具有显著的区位优势与品牌积淀。2024年9家中国港澳门店营收41.5亿元，净利润1.3亿元，按照收购价计算对应PE为25倍；2025年前三季度营收27.5亿元，净利润1.3亿元。本次收购是中免的首次跨境并购，中免将进一步强化在港澳地区免税市场的优势地位，整合DFS会员、品牌和门店资源，拓展海外渠道，推进国际化战略。H股定增引入LVMH集团，深化战略合作：公司拟向Delphine SAS及Shoppers Holdings HK增发H股，认购价每股77.21港元，增发完成后LVMH集团/Miller家族分别持股0.35%和0.22%，公司大股东中国旅游集团持股比例50.01%。公司与LVMH签署战略合作谅解备忘录，深化大中华区合作，LVMH作为股东和战略合作方，有利于推进旗下品牌与中免在各个渠道的进一步合作。海南离岛免税持续高景气，关注相关政策催化：根据海口海关，2025年12月海南离岛免税销售额34.2亿元，同比+17%，购物人次45万人次，同比-3%，客单价7623元，同比+21%。封关首月（25.12.18-26.1.17）离岛免税销售额48.6亿元，同比+47%，购物人次74.5万人次，同比+30%，客单价6523元，同比+13%。盈利预测与投资评级：中免集团作为旅游零售龙头市场地位稳固，海南自贸港封关后离岛免税销售高景气，相关政策陆续出台，市内免税店落地有望带来长期销售增量。考虑到离岛免税25年前三季度承压，Q4迎来景气拐点，调整公司盈利预期，预计25-27年归母净利润分别为38.7/52.2/58.1亿元（前值为43.3/50.0/55.2亿元），对应PE 50/37/33倍，维持“买入”评级。风险提示：政策推进不及预期、居民消费意愿恢复不及预期等。,,东吴证券,买入,[None],2026-01-26,,买入,8360451,pdf_downloads/2026/2026-01-26/601888-中国中免（601888）：收购DFS大中华区，引入LVMH深化战略合作.pdf,601888,中国中免,中国中免（601888）：收购DFS大中华区，引入LVMH深化战略合作
"邓文慧,曹晶",事件：2026年1月19日晚间，中国中免公告：1）中免收购DFS中国港澳门店及大中华区无形资产。全资孙公司中免国际与DFS新加坡/DFS中国香港签署《框架协议》，约定中免国际拟以不超过3.95亿美元现金方式收购对方持有的DFS大中华区旅游零售业务相关股权及资产。2）LVMH+Miller家族将认购中免H股。待上述收购事项交割后，中免将以77.21港元/H股分别向Delphine SAS（LVMH间接全资附属公司）、Shoppers Holdings HK（Miller家族信托的间接全资附属公司）增发分别不超过733.0万股及463.7万股H股。DFS中国港澳门店系优质旅游零售网络，交易助力公司打造国潮出海平台和国际化业务中台。交易标的涉及DFS 中国港澳门店与DFS大中华区无形资产。从区位来看，DFS中国香港是DFS免税及旅游零售业务的发源地，中国香港尖沙咀商业区的T Galleria购物中心是旅游零售的标杆性地标；DFS同样占据中国澳门市场的核心地段和重要份额。数据维度观察，DFS中国港澳地区9家旅游零售门店于2024年/2025年1-9月实现营收41.5/27.5亿元，净利润为1.3/1.3亿元。此次交易拓展中免在中国港澳的服务网络，将进一步提高公司在中国港澳地区旅游零售市场的优势地位。依托中国港澳窗口优势，中免继续推动国货精品出海。中国澳门门店商业模式相对成熟，总体交易对价合理。DFS中国澳门门店拥有相对成熟的商业模式；中国香港门店则受市场环境影响，近期尚未能实现稳定盈利。合计来看，根据仲量联行评估测算，截至2025年9月30日，DFS中国港澳9家门店业务总估值合计为31.3亿元（约4.4亿美元），结合2024年1.3亿元净利润，对应PE为25X。经协商，本次交易以4亿美元企业价值为基础，经惯常调整后，最终收购价格不超过3.95亿美元。LVMH将认购公司H股，进一步深化大中华区合作。从公告来看，认购价为77.21港元/H股，较2026年1月19日收盘价87.40港元折让约11.66%。增发后，中国旅游集团/ Delphine SAS（LVMH间接全资附属公司）/ Shoppers Holdings HK（Miller家族信托的间接全资附属公司）持股比例为50.01%（此前50.30%）/0.35%(此前0%)/0.22%(此前0%)。同时，与LVMH的战略合作有望助力中免实现产业升级、商品结构优化、服务水平提升，进一步增强中免核心竞争力。投资建议：考虑到封关后公司核心市场海南展现的积极势头，我们预计公司2025-2027年营业收入分别为545.2/621.8/696.3亿元，同比增速分别为-3.5%/+14.0%/+12.0%；归母净利润分别为38.8/51.8/58.2亿元，同比增速分别为-9.0%/+33.5%/+12.3%。EPS分别为1.88/2.50/2.81元，当前股价对应PE分别为51X/38X/34X。鉴于公司竞争优势稳固，维持“推荐”评级。风险提示：经济增长放缓；竞争格局恶化；资产整合不及预期；汇率波动风险。,,国联民生证券,推荐,[None],2026-01-21,,增持,8349734,pdf_downloads/2026/2026-01-21/601888-中国中免（601888）：收购DFS大中华区业务，携手LVMH开启新篇章.pdf,601888,中国中免,中国中免（601888）：收购DFS大中华区业务，携手LVMH开启新篇章
顾熹闽,"中国中免(601888)事件：1）公司公告拟以最高不超过3.95亿美元收购DFS大中华区核心业务及包括品牌所有权、IP资产在内的无形资产；2)待上述交割事项完成后，拟定向对LVMH集团间接全资附属公司Delphine SAS,以Miller家族为受益人的家族信托ShoppersHoldings HK Limited各增发不超过733万股、464万股H股股份。本次对DFS大中华区核心业务进行收购，将强化公司高端消费复苏+国货消费品出海平台逻辑。本次收购标的为DFS大中华区核心门店资产，主要包括2间香港核心商业地段尖沙咀、铜锣湾门店，以及7家位于澳门核心高端博彩娱乐场，涵盖金沙伦敦人、澳门银河、美狮美高梅等。从财务表现看，伴随大中华区高端消费复苏，2024-2025年前三季度标的资产经营持续改善，净利润各为1.27亿、1.33亿人民币，其中澳门门店贡献多数营收及利润。由于港澳是内地乃至全球高净值人群在大中华区进行高端消费与服务的核心区域，以及与LVMH集团的深度绑定，公司本次收购将进一步强化在免税购物领域的高端属性，充分享受本轮高端消费复苏与回流趋势。同时，港澳作为中国大陆面向国际开放的重要窗口，也将有利于公司吸引国货平台进驻，推动国货精品出海。基于核心地段与品牌资产组合价值，本次交易PE估值略高于A股过往类似资产水平。交易估价以EV/EBITDA与EV/销售额为基础，均低于可比公司及中免自身水平。但由于香港门店目前处于亏损状态，假设2025年DFS香港与澳门年化利润为1.5亿，则从PE角度看合并后最高不超过3.95亿美元对应的PE估值约为18.3倍，略高于此前A股市场免税重组案例估值。投资建议：暂不考虑DFS大中华区业务并表影响，预计2025-27年公司归母净利38.8亿、54.4亿、58.8亿元，对应PE估值为50X/36X/33X。基于高端消费复苏驱动海南免税渠道景气边际向上，以及政策明确免税行业作为提振消费及扩大入境消费的重要渠道，公司作为行业龙头未来有望充分受益，维持“推荐”评级。风险提示：免税销售复苏进展低于预期的风险；行业竞争加剧的风险。",,银河证券,推荐,[None],2026-01-21,,买入,8348029,pdf_downloads/2026/2026-01-21/601888-中国中免（601888）：携手DFS+LVMH，高端复苏+国货出海平台逻辑强化.pdf,601888,中国中免,中国中免（601888）：携手DFS+LVMH，高端复苏+国货出海平台逻辑强化
"李小民,宋环翔",公司发布公告，全资孙公司中免国际拟通过自有资金不超过3.95亿美元收购DFS大中华区业务，同时与LVMH集团签订合作协议且后续将向其增发股份，加强两者的全球合作。公司的国际化业务布局全面深化，海南免税销售迎来多重政策利好，维持买入评级。支撑评级的要点收购DFS大中华区股权，巩固港澳地区优势地位。公司全资孙公司中免国际拟以不超过 3.95 亿美元的现金，收购 DFS大中华区旅游零售业务的相关股权及资产，包括 DFS新加坡、DFS香港持有的DFS CotaiLimitada100%股权以及其持有的香港2家门店的相关资产（含人员、租赁合同、固定资产及存货），以及DFS大中华区的无形资产。本次收购有利于公司进一步整合旅游零售资源，提高在港澳地区的优势地位，增厚公司利润，助力公司长期的国际化和全球化布局。24年和25Q1-3，DFS港澳地区门店的净利润分别为1.28、1.33亿元，截至25年9月30日，DFS位于港澳的9家门店的总估值为31.34亿元（约4.41亿美元），交易对价为3.95亿美元，假设25年DFS港澳门店净利润约为1.5亿元，对应P/E为18x，收购估值较为合理。引入头部奢侈品集团LVMH，实现强强联合。公司拟向LVMH 间接全资附属公司 DelphineSAS及Miller家族信托旗下的ShoppersHoldingsHK定向增发 H 股股份。发行价格为77.21 港元/股，合计增发不超过1196.75万股，占发行后A +H总股本的0.57%，限售一年，预计认购所得款项约9.24亿港元。此次增发股份将公司与LV集团在股权层面实现绑定，也展现出了奢侈品集团对于公司渠道的认可，有望深化两者的合作，强化公司的供应链和品牌优势，实现互利共赢。估值鉴于25年前三季度公司业绩仍有承压，我们调整公司25-27年EPS为1.92/2.54/3.08元，当前股价对应市盈率为50.2/37.8/31.2倍。中长期来看，封关后离岛免税销售热度持续高涨，政策端多重利好持续释放，公司在各渠道布局逐步完善，看好公司作为龙头企业在免税行业景气上行的基础上迎来业绩增长，维持买入评级。评级面临的主要风险市场竞争加剧、消费意愿恢复不及预期、国际游客恢复不及预期。,,中银国际,买入,[None],2026-01-21,,买入,8348065,pdf_downloads/2026/2026-01-21/601888-中国中免（601888）：收购DFS大中华区业务，携手LVMH，全面深化国际业务布局.pdf,601888,中国中免,中国中免（601888）：收购DFS大中华区业务，携手LVMH，全面深化国际业务布局
"于健,谷亦清",事件1月19日晚间，中国中免发布公告，宣布其全资孙公司拟以不超过3.95亿美元（约合人民币27.5亿元）现金方式收购DFS大中华区旅游零售业务相关股权及资产。同时，公司与LVMH集团签署战略合作备忘录，拟在双方战略契合的零售领域建立合作关系。 交割完成后，中免将以77.21港元/H股，分别向LVMH附属公司Delphine SAS、DFS联合创始人Miller家族旗下信托Shoppers Holdings HK增发分不超过733.01万股及463.74万股H股股份，分别占中免总股本的0.35%和0.22%。影响分析扩展旅游零售版图，覆盖高端消费客群。DFS 是全球领先的高端旅游零售商，成立于 1960 年，其门店遍布全要机场及市中心核心地段。DFS大中华区在香港、澳门合计拥有9家门店。香港、澳门是我国高端旅行消费的重要目的地，公司收购DFS大中华区后，可整合其全球品牌、会员体系与门店资产，对公司覆盖高端消费客群、稳固大中华区竞争优势具有积极意义。战略合作LVMH，扩大公司渠道优势。中国中免将与LVMH在产品销售、门店开设、品牌推广、文化交流、旅游服务及客户体验等领域开展合作。引入LVMH作为战略合作伙伴与股东，有助于公司在奢侈品采购、品牌资源配置与联合推广等方面获取更多便利。盈利预测、估值与评级经审计，DFS大中华区2024年营收/净利润分别为41.49/1.28亿元，2025年1-9月营收/净利润分别为27.54/1.33亿元，收购完成后将纳入公司合并报表。考虑收购与定向增发事件，我们调整25/26/27年公司EPS预测值至1.89/2.64/3.34元，参考2026年1月20日收盘价96.09元，对应PE估值为50.84/36.39/28.79倍，维持“买入”评级。风险提示收购推进不及预期；业务整合进展受阻；国际消费环境恶化；高端消费不及预期。,,国金证券,买入,[None],2026-01-20,,买入,8347551,pdf_downloads/2026/2026-01-20/601888-中国中免（601888）：公司点评：收购DFS大中华区业务，战略合作LVMH.pdf,601888,中国中免,中国中免（601888）：公司点评：收购DFS大中华区业务，战略合作LVMH
"刘越男,许樱之,宋小寒","本报告导读：
公司通过自有资金收购 DFS 大中华区业务并引入 LVMH 等战略投资者，以此深化
全球零售合作，未来有望实现高质量发展。投资要点：投资建议。我们认为，本次交易若达成，有望显著提升公司在全球奢侈品领域的溢价能力和国际话语权。公司有望成为具有全球化竞争力的旅游零售综合服务商。暂不考虑收购，我们预计公司2025年-2027年归母利润各39.47亿元、53.28亿元、61.26亿元，对应EPS各1.91元、2.58元、2.96元；给予公司2026年45倍估值，给予目标价116.1元，维持“增持评级”外延扩张，拟以自有资金收购DFS大中华区旅游零售业务的相关股权及资产：公司全资孙公司中免国际拟以不超过3.95亿美元的现金，收购DFS大中华区旅游零售业务的相关股权及资产。本次交易涵盖了DFS CotaiLimitada100%股权、中国香港2家核心门店的资产（含人员、租赁合同、固定资产及存货），以及DFS大中华区的品牌所有权、会员体系和知识产权等核心无形资产。本次收购资金完全来源于中免国际自有资金，不影响公司现有主营业务的正常开展。强强联手：引入顶级奢侈品巨头及创始人家族入股。公司拟向LVMH间接全资附属公司DelphineSAS及Miller家族信托旗下的ShoppersHoldingsHK定向增发H股股份。发行价格定为77.21港元/股，认购股份的总代价最多为 9.24 亿港元，并应由认购方于认购完成日期结算。若认购方根据《股份认购协议》认购最高数量的股份，则认购事项的所得款项总额预计约为 9.24 亿港元。在扣除相关开支后，公司计划将所得款项净额用于补充本公司资本及支持本公司在国内外业务发展。认购方已承诺认购完成后有1年的禁售期，我们认为，这体现了全球奢侈品巨头对中免长期价值的认可。协同效应显著：深化大中华区零售领域战略合作 公司已与 LVMH签署战略合作谅解备忘录，双方将在产品销售、门店开设、品牌推广、文化交流、旅游服务及客户体验等多个领域开展深度合作。通过整合 DFS 在港澳市场的核心地段份额和标杆性地标（如中国香港尖沙咀 T Galleria），公司将实现产业升级和商品结构优化，进一步增强在全球旅游零售市场的竞争力。风险提示。国际客流恢复缓慢；消费需求疲软；行业竞争加剧，交易失败或不及预期的风险。",,国泰海通,增持,[None],2026-01-20,,买入,8346509,pdf_downloads/2026/2026-01-20/601888-中国中免（601888）：跟踪报告：强强联手 LVMH，开启新纪元.pdf,601888,中国中免,中国中免（601888）：跟踪报告：强强联手 LVMH，开启新纪元
"樊俊豪,曾珺",2026年1月20日│中国内地/中国香港 旅游综合 中国中免1月19日晚间公告，其全资孙公司中免国际拟以不超过3.95亿美元现金收购DFS新加坡和DFS香港持有的DFS Cotai Limitada 100%股权及DFS大中华区相关资产。同时，交易交割后中国中免将向LVMH间接全资子公司Delphine SAS及Miller家族信托受托人Shoppers Holdings HK分别增发不超过733万股和464万股H股，认购价为77.21港元/股，总对价最高达9.24亿港元，增发后中旅持股中免的比例降至50.01%。我们认为，本次交易有助于中免整合优质旅游零售网络，强化港澳市场地位，并借助港澳窗口推动国货出海，提升公司核心竞争力。维持“买入”评级。DFS港澳深耕高奢旅游零售，标杆项目坐落头部度假区DFS为全球领先的高端旅游零售商，成立于1960年，由LVMH与Miller家族最终共同持有。公司长期深度绑定全球一线奢侈品牌资源，大中华区是DFS最重要市场之一。澳门DFS的标志性资产重点布局澳门伦敦人、美狮美高梅等核心区位，构成高奢旅游零售的核心网络。香港DFS资产则涵盖DFS香港广东道店（香港标志性免税综合店）、香港铜锣湾店（美妆天地）。港澳核心门店盈利稳健、交易对价合理估值基准日为2025年9月30日，9家门店业务总估值为31.34亿元人民币（约4.41亿美元）。24年/25年1-9月，DFS港澳地区旅游零售门店营收达人民币41.49亿/27.54亿，净利润达1.28亿/1.33亿，净资产5.97/1.74亿，对应PE分别为25/23X。最终交易价格以4亿美元企业价值为基础，经惯常调整后上限为3.95亿美元。截至3Q25，公司账上现金充裕，达319.69亿元。拟收购DFS港澳、联手LVMH，强化旅游零售产业引领效应我们认为本次收购对中免具备较大战略意义：1）巩固市场地位与规模：利于中免进一步整合优质旅游零售网络，获港澳核心标杆门店资源，扩大当地市场份额，增厚业绩。2）提升协同效应：整合DFS品牌、会员体系，有望借鉴其成熟运营经验提升效率，并依托港澳窗口搭建国货出海平台。3）优化资本结构：向LVMH附属公司等增发H股，引入战略股东，实现股权层面战略绑定，有望深化与LVMH合作，强化供应链和品牌优势，实现互利共赢。盈利预测与估值考虑封关后离岛免税正加速景气修复（封关首月海南离岛免税销售额48.6亿元/yoy+46.8%，海口海关），我们上调公司25-27年归母净利润至39.60亿元/52.41亿元/61.83亿元（分别上调8%/10%/10%），对应EPS分别为1.91/2.53/2.99元。考虑此前政策端利好正逐步兑现至公司利润端，降低溢价率，上调A股目标价至115.75元/港股目标价至104.36港币。（分别对应26年46倍/38倍PE；参考公司港股上市以来折价率均值，维持H-A折价率为18%。目标价前值为104.16元/93.96港币，对应26年45倍/37倍PE，H-A折价率18%）风险提示：免税政策变动风险；市场竞争加剧风险；收购进展不顺利风险。,,华泰证券,买入,[None],2026-01-20,,买入,8346430,pdf_downloads/2026/2026-01-20/601888-中国中免（601888）：拟收购DFS港澳、联手LVMH强化协同布局.pdf,601888,中国中免,中国中免（601888）：拟收购DFS港澳、联手LVMH强化协同布局
"于健,谷亦清",投资逻辑我们认为中免业绩增长持续性会超预期。我们认为公司增长的核心来自基本面回暖，而非市场认为的政策刺激。政策刺激是短期的，而基本面的改善是长期的。从内需看，高端消费的恢复是免税行业复苏的基础，免税行业存在整体性机会；从外需看，入境游客的消费潜力，并未被市场充分认识。因此中免业绩增长持续性将超预期。高端消费筑底回暖是中免业绩回升的核心驱动。免税是进口化妆品、奢侈品等高档消费品流通的重要渠道，将极大受益于高端消费恢复；25Q3以来，我们观察到大量高端消费的改善信号，例如太古集团高端零售物业销售额25Q3同比增速全部转正、奢侈品集团LVMH亚洲除日本外25Q1/Q2/Q3销售额分别同比-11/-6/+2%，整体趋势好转。我们认为背后的核心原因是：高净值人群消费信心率先恢复，由财富效应驱动。从持续性看，高净值人群的贡献或将随资产价格上升而持续，中产的消费信心也存在改善机会。 海南地区的相关政策有望起到加速行业修复的催化剂作用：政府消费券+黄金税改放大免税价格优势；离岛免税规则优化扩人群、扩品类；海南封关强化政策预期与消费热情；16条旅游支持政策增加海南旅游吸引力。新渠道市内免税店将开发海外游客的消费潜力。参考韩国经验，免税店是吸纳入境消费的关键渠道，2015-2024年韩免外国人销售额占比达83%。2023年起，我国政策大力支持入境旅游，效果开始显现。25Q1/Q2/Q3外国人出入境分别达1743.7/2061.6/2013.4万人次，同比上升33.4/27.6/22.3%。中免的市内免税店未来将充分开发入境游客的消费潜力。盈利预测、估值和评级我们预测25/26/27年公司营业收入分别为552.0/656.8/762.9亿元，同比-2.3/+19.0/+16.2%；归母净利润分别为39.7/52.4/66.1亿元，同比-6.9/+31.9/+26.2%。参照2026年1月12日收盘价95.40元，对应PE为49.69/37.71/29.91倍。高端消费复苏提供向上基础，政策增加向上弹性，外需扩张提供增量，参考公司历史估值，我们给予2026年45X PE，目标价113.90元，首次覆盖给予“买入”评级。风险提示海南政策不及预期、市内免税开店受阻、口岸免税竞争加剧、高端消费不及预期、跨境电商竞争风险,,国金证券,买入,[None],2026-01-13,,买入,8327482,pdf_downloads/2026/2026-01-13/601888-中国中免（601888）：高端消费筑底回暖，免税龙头乘势而上.pdf,601888,中国中免,中国中免（601888）：高端消费筑底回暖，免税龙头乘势而上
