date,code,peTTM
2015-11-26,sh.601888,32.298994
2015-11-27,sh.601888,31.357297
2015-11-30,sh.601888,30.568473
2015-12-01,sh.601888,31.088241
2015-12-02,sh.601888,31.993248
2015-12-03,sh.601888,31.987133
2015-12-04,sh.601888,32.421293
2015-12-07,sh.601888,32.372373
2015-12-08,sh.601888,33.130623
2015-12-09,sh.601888,34.610433
2015-12-10,sh.601888,34.879489
2015-12-11,sh.601888,33.442484
2015-12-14,sh.601888,34.622663
2015-12-15,sh.601888,34.769421
2015-12-16,sh.601888,33.815494
2015-12-17,sh.601888,34.910064
2015-12-18,sh.601888,35.674429
2015-12-21,sh.601888,37.563938
2015-12-22,sh.601888,36.805688
2015-12-23,sh.601888,36.340955
2015-12-24,sh.601888,36.451023
2015-12-25,sh.601888,36.071898
2015-12-28,sh.601888,34.873374
2015-12-29,sh.601888,35.521556
2015-12-30,sh.601888,36.940217
2015-12-31,sh.601888,36.267576
2016-01-04,sh.601888,34.145699
2016-01-05,sh.601888,33.852183
2016-01-06,sh.601888,34.543169
2016-01-07,sh.601888,31.779226
2016-01-08,sh.601888,32.733153
2016-01-11,sh.601888,31.968789
2016-01-12,sh.601888,32.451867
2016-01-13,sh.601888,31.363412
2016-01-14,sh.601888,32.127776
2016-01-15,sh.601888,30.935368
2016-01-18,sh.601888,30.76415
2016-01-19,sh.601888,31.644698
2016-01-20,sh.601888,30.75192
2016-01-21,sh.601888,30.281071
2016-01-22,sh.601888,30.446174
2016-01-25,sh.601888,30.874218
2016-01-26,sh.601888,28.56278
2016-01-27,sh.601888,26.830559
2016-01-28,sh.601888,26.533116
2016-01-29,sh.601888,27.923206
2016-02-01,sh.601888,27.78966
2016-02-02,sh.601888,28.196368
2016-02-03,sh.601888,28.888378
2016-02-04,sh.601888,29.021923
2016-02-05,sh.601888,28.190297
2016-02-15,sh.601888,27.601482
2016-02-16,sh.601888,28.287422
2016-02-17,sh.601888,27.722887
2016-02-18,sh.601888,27.170493
2016-02-19,sh.601888,26.964105
2016-02-22,sh.601888,27.911065
2016-02-23,sh.601888,27.619693
2016-02-24,sh.601888,28.924799
2016-02-25,sh.601888,26.557397
2016-02-26,sh.601888,26.988386
2016-02-29,sh.601888,25.22801
2016-03-01,sh.601888,25.610436
2016-03-02,sh.601888,26.478484
2016-03-03,sh.601888,26.059635
2016-03-04,sh.601888,25.391907
2016-03-07,sh.601888,26.120338
2016-03-08,sh.601888,26.035354
2016-03-09,sh.601888,25.731841
2016-03-10,sh.601888,25.452609
2016-03-11,sh.601888,25.22801
2016-03-14,sh.601888,25.798614
2016-03-15,sh.601888,26.751645
2016-03-16,sh.601888,26.187111
2016-03-17,sh.601888,26.569537
2016-03-18,sh.601888,27.036948
